Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,LLE1,LLE2
RNU1-70P,Pseudogene,RNU1,1.0589720346665086,-0.129000000655651,3.78,0,0.3311852868570771,-0.03504917361890937
RNU1-72P,Pseudogene,RNU1,0.9534901143507074,-0.217999994754791,7.42,0,0.2986190490040254,-0.04368612863131318
RNU1-73P,Pseudogene,RNU1,0.995433712586518,0.284000009298325,1.98,0,0.4489345018291066,-0.02603065098867177
RNU1-74P,Pseudogene,RNU1,0.7312480576223469,-0.109999999403954,0.19,0,0.23011032414140387,-0.03353017007699323
RNU1-75P,Pseudogene,RNU1,1.103957823425985,-0.17399999499321,0.16,0,0.32076915454753213,-0.033849626833006644
RNU1-76P,Pseudogene,RNU1,1.2015003462505542,-0.180999994277954,0,0,0.32456152269806254,-0.028578814137381912
RNU1-77P,Pseudogene,RNU1,1.3078958314572533,0.300999999046326,0.48,0,0.9383994551930487,0.12617235687313325
RNU1-78P,Pseudogene,RNU1,1.3051669876956435,0.305000007152557,0,0,0.3984586834938799,0.0053074049582507955
RNU1-7P,Pseudogene,RNU1,1.5037402892264422,0.214000001549721,0,0,-0.10191636122945254,0.07866930051933019
RNU1-80P,Pseudogene,RNU1,1.4670380286460751,0.30799999833107,0,0,-0.34963666764268403,0.10351624333136301
RNU1-82P,Pseudogene,RNU1,1.4946267117159788,-0.130999997258186,0.08,0,0.3581150233775904,-0.010676524296565605
RNU1-83P,Pseudogene,RNU1,1.3131253229864706,-0.250999987125397,2.76,0,0.3106696579046843,-0.024360887034582734
RNU1-84P,Pseudogene,RNU1,1.080151475359839,0.0649999976158142,0,0,-0.5352998293180823,0.08711485424590155
RNU1-88P,Pseudogene,RNU1,1.13971865230983,0.282999992370605,0,0,0.4576067583592198,-0.01801257407519308
RNU1-8P,Pseudogene,RNU1,0.7578388960813414,-0.0469999983906746,0,0,-0.3221881195725927,0.03757544164300325
RNU1-91P,Pseudogene,RNU1,1.150706299264613,-0.229000002145767,3.22,0,0.3074626999876014,-0.03284817980918923
RNU1-93P,Pseudogene,RNU1,0.6576905607017558,-0.0790000036358833,1.08,0,0.32073624970036835,-0.056378811595558166
RNU1-94P,Pseudogene,RNU1,1.1444243445158986,0.263999998569489,0.7,0,0.45227196724147284,-0.018349930620762504
RNU1-96P,Pseudogene,RNU1,0.8147547802520594,0.214000001549721,0,0,0.4162180781999873,-0.038510763194858015
RNU1-98P,Pseudogene,RNU1,1.2808266759291422,-0.240000002086163,0,0,0.3117776281685751,-0.025870344061913745
RNU2-10P,Pseudogene,RNU2,1.3334013752142089,0.119000002741814,0,0,0.4208732748749363,-0.012444306315505445
RNU2-12P,Pseudogene,RNU2,1.0130832464976265,0.186000004410744,0,0,0.4211235844205532,-0.028067768504703643
RNU2-13P,Pseudogene,RNU2,0.7684575826783514,-0.127000004053116,0.44,0,0.22807016148880804,-0.03225804338363851
RNU2-14P,Pseudogene,RNU2,1.1638712540167198,0.238000005483627,0,0,0.8310092064626866,0.12624235843629936
RNU2-16P,Pseudogene,RNU2,1.123756206199048,0.284500002861023,0,0,-0.18230656327114045,0.08164329910052054
RNU2-17P,Pseudogene,RNU2,1.078590884992962,0.421000003814697,0.29,0,0.4970463537250083,-0.016384597757698884
RNU2-18P,Pseudogene,RNU2,1.3722185772666264,-0.153499998152256,0.78,0,1.3692073823721633,0.12619276819220818
RNU2-19P,Pseudogene,RNU2,0.7856563952430573,-0.300999999046326,0,0,0.2644433343679217,-0.05579600310670943
RNU2-20P,Pseudogene,RNU2,1.0547583239526523,-0.104999996721745,0,0,0.33798055647325337,-0.03456696784101768
RNU2-21P,Pseudogene,RNU2,0.6836002453570611,0.127500001341105,0,0,0.3822589475493217,-0.048655003855205305
RNU2-22P,Pseudogene,RNU2,0.6553638252275752,0.30799999833107,1.25,0,1.2459004763722972,0.12650059513999476
RNU2-23P,Pseudogene,RNU2,1.0865596138260258,0.214000001549721,0.39,0,0.434019980526764,-0.023086506596634547
RNU2-24P,Pseudogene,RNU2,1.457382492464118,0.398999989032745,0,0,1.67572875454601,0.1260010389983254
RNU2-25P,Pseudogene,RNU2,1.4184680908328773,-0.0280000008642673,10.54,0,0.38322252705816295,-0.012001489614302023
RNU2-26P,Pseudogene,RNU2,0.9638308822325962,0.305000007152557,0,0,0.7086271755918002,0.12628530991646325
RNU2-27P,Pseudogene,RNU2,1.2230381245444182,-0.0794999990612268,1.38,0,0.3558918954479242,-0.024367825307027056
RNU2-28P,Pseudogene,RNU2,1.249699061439249,-0.23199999332428,0,0,0.3122939479236592,-0.027377504648462024
RNU2-29P,Pseudogene,RNU2,1.2129432066910355,0.284000009298325,0,0,0.4620096245288771,-0.0140726442371339
RNU2-30P,Pseudogene,RNU2,1.3056148830242968,0.165999993681908,0.46,0,2.440269920012292,0.1263880644528565
RNU2-31P,Pseudogene,RNU2,1.0756423041154524,0.0120000001043081,0,0,0.3736340675827913,-0.029887048545148058
RNU2-32P,Pseudogene,RNU2,0.9820163705766074,-0.0799999982118607,0.08,0,0.2662513182613128,-0.021316678797625437
RNU2-33P,Pseudogene,RNU2,1.230172513604261,-0.212999999523163,0.43,0,0.2614585544565944,-0.01249017830533797
RNU2-34P,Pseudogene,RNU2,0.8037685261468772,-0.0309999994933605,0,0,0.34396867404335596,-0.046564507255147644
RNU2-35P,Pseudogene,RNU2,0.7827443997084278,-0.0820000022649765,0.73,0,-0.3609109292434234,0.062371646554172745
RNU2-36P,Pseudogene,RNU2,1.254798695736776,0.206000000238419,0.18,0,1.5818632519659386,0.12630481898287926
RNU2-37P,Pseudogene,RNU2,0.9026988733925584,0.30799999833107,0.44,0,0.44981246502327915,-0.030537101816658016
RNU2-38P,Pseudogene,RNU2,0.9233163765547988,-0.0149999996647239,0,0,0.3561820511620737,-0.039280302130971195
RNU2-39P,Pseudogene,RNU2,0.6139898463621979,-0.010499999858439,0,0,0.33772434945650326,-0.05681864112175094
RNU2-3P,Pseudogene,RNU2,1.327540649112821,0.214000001549721,0,0,0.44826512222511655,-0.00998425571118956
RNU2-40P,Pseudogene,RNU2,1.4177258260025094,0.156000003218651,0,0,0.4368906665023212,-0.006764178322779707
RNU2-41P,Pseudogene,RNU2,0.8781138894200936,-0.0050000001210719,0,0,0.3562448044068655,-0.041544348033359504
RNU2-42P,Pseudogene,RNU2,1.4139619521281666,-0.209999993443489,3.41,0,0.32953180965166395,-0.017481748908141154
RNU2-43P,Pseudogene,RNU2,1.2979653022796658,-0.0685000009834766,0.04,0,0.36375160349709706,-0.019874746292586325
RNU2-44P,Pseudogene,RNU2,1.342820208907016,0.239999994635582,2.44,0,0.4567315168169695,-0.008401415957631903
RNU2-45P,Pseudogene,RNU2,1.1144689648255022,-0.0920000001788139,0,0,-0.6796973930518707,0.14363442125899786
RNU2-46P,Pseudogene,RNU2,1.13731722236396,0.212999999523163,0.44,0,0.4367729971553987,-0.020318687628003835
RNU2-47P,Pseudogene,RNU2,1.6246680635077144,0.0060000002849847,0,0,-0.12364945987278156,0.08016182906320549
RNU2-48P,Pseudogene,RNU2,1.327540649112821,0.30799999833107,0.12,0,0.4755140889443812,-0.007258378388021735
RNU2-50P,Pseudogene,RNU2,1.4088030760486474,0.214000001549721,0,0,0.4532228556811985,-0.005578047131421587
RNU2-51P,Pseudogene,RNU2,1.0226337049490182,0.30799999833107,0.54,0,-0.048240523293980875,0.036692203689340404
RNU2-53P,Pseudogene,RNU2,0.9451505506683398,0.0579999983310699,0,0,-0.21839760647891898,0.05164184730702129
RNU2-54P,Pseudogene,RNU2,1.2614028993985489,-0.160000003874302,0.96,0,0.33440998870056177,-0.02460435391253581
RNU2-56P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,0.4624973605031359,-0.01956409332680814
RNU2-59P,Pseudogene,RNU2,1.545766509240956,0.146999999880791,0.4,0,-0.14442951329146214,0.11498721205287335
RNU2-5P,Pseudogene,RNU2,1.2542935432827758,0.30799999833107,1.5,0,-0.10114226621938631,0.07278448225552557
RNU2-60P,Pseudogene,RNU2,1.3025356026398056,0.306500002741814,0,0,0.4736385607395972,-0.008635728452742736
RNU2-61P,Pseudogene,RNU2,1.0911293006406748,0.207000002264977,0,0,0.5254430363097267,0.12621832537616462
RNU2-62P,Pseudogene,RNU2,0.7637905104484723,0.164000004529953,0,0,0.3982008034548598,-0.042958660287141466
RNU2-64P,Pseudogene,RNU2,1.618508462617001,0.206000000238419,0,0,0.46418261235767133,0.005650507149785968
RNU2-65P,Pseudogene,RNU2,1.351820733550501,0.239999994635582,0.11,0,1.8007744577153104,0.12620929543607162
RNU2-68P,Pseudogene,RNU2,0.7819759987924836,0.252000004053116,0.71,0,0.42502184619746836,-0.03926066728140813
RNU2-69P,Pseudogene,RNU2,1.458839874956582,-0.198499999940395,0,0,0.09318934522793203,0.12603283914810393
RNU2-6P,Pseudogene,RNU2,1.078590884992962,0.28999999165535,2.27,0,0.506539895295348,0.12622549960131452
RNU2-70P,Pseudogene,RNU2,0.8926128524607979,0.239999994635582,0,0,0.4291474993732595,-0.03322967167432915
RNU2-71P,Pseudogene,RNU2,1.157809424568716,-0.28999999165535,0,0,0.2501121128581568,-0.023055027806537006
RNU2-72P,Pseudogene,RNU2,0.9163031642292292,-0.0309999994933605,1.97,0,0.3510578378472236,-0.04016317134162914
RNU2-7P,Pseudogene,RNU2,1.1122775932654518,0.246999993920326,3.45,0,0.4453397921431549,-0.020641643540333224
RNU2-8P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,0.4624973605031381,-0.01956409332679961
RNU2-9P,Pseudogene,RNU2,0.6228216214921369,0.282999992370605,0,0,0.42322527496253803,-0.04766702169586803
RNU4-10P,Pseudogene,RNU4,0.9924080782017566,-0.20100000500679,0,0,0.30592588341602694,-0.04096560833193617
RNU4-11P,Pseudogene,RNU4,1.157809424568716,0.284000009298325,0,0,0.4589225989817133,-0.0170081434987264
RNU4-12P,Pseudogene,RNU4,1.4993215569954594,0.263999998569489,0,0,0.4734490451020795,7.633267906604952e-4
RNU4-13P,Pseudogene,RNU4,1.3056148830242968,-0.136000007390976,0,0,0.34433279048612875,-0.02142612519409867
RNU4-14P,Pseudogene,RNU4,1.281182559973579,-0.201999999582767,0.23,0,0.5259009015566237,0.12612358412227684
RNU4-15P,Pseudogene,RNU4,1.133175181492786,0.379000008106232,0,0,0.4866439880187368,-0.015008597781832141
RNU4-17P,Pseudogene,RNU4,1.0100039661131353,-0.0230000000447035,0,0,0.359273717603718,-0.034629675441288636
RNU4-18P,Pseudogene,RNU4,1.0723335610099518,-0.172999992966652,0,0,-0.29681533758142964,0.056244245181733855
RNU4-20P,Pseudogene,RNU4,1.265155993734027,0.30799999833107,0,0,0.40719493798941064,7.485404733105641e-4
RNU4-21P,Pseudogene,RNU4,1.2680769888133556,0.30799999833107,1.24,0,1.2420924242817566,0.1262113828954636
RNU4-22P,Pseudogene,RNU4,1.067137602162732,0.238000005483627,0.58,0,0.017871564410013762,0.0545467414540396
RNU4-23P,Pseudogene,RNU4,1.0420284821118444,0.305000007152557,0.74,0,0.4581640780033322,-0.02273905464010149
RNU4-24P,Pseudogene,RNU4,1.0745137825134128,0.0140000004321337,0.78,0,0.3741488825613855,-0.029890556812965065
RNU4-25P,Pseudogene,RNU4,1.3742694474228672,0.207000002264977,2.34,0,0.44904450789630673,-0.007656311052128698
RNU4-26P,Pseudogene,RNU4,1.5581734311952813,0.0890000015497208,0,0,0.42628415823426496,-9.433722435749933e-4
RNU4-27P,Pseudogene,RNU4,1.3743780939125043,0.282000005245209,0.46,0,0.3826122426935713,0.010593726019840361
RNU4-28P,Pseudogene,RNU4,0.9853697230372052,0.187999993562698,0.14,0,1.1834593670546893,0.12629999721733043
RNU4-29P,Pseudogene,RNU4,0.9382248785298216,-0.0695000011473894,0.49,0,0.34117420432691004,-0.040081155069914685
RNU4-30P,Pseudogene,RNU4,1.2873545350099709,0.239999994635582,0.14,0,0.5692201274229097,0.1261679575060553
RNU4-31P,Pseudogene,RNU4,1.428786098403947,0.146999999880791,0,0,0.43496427339157806,-0.006420175563851357
RNU4-32P,Pseudogene,RNU4,1.2563463968724369,0.301999986171722,3.7,0,-0.2859230522441869,0.058275218969481374
RNU4-33P,Pseudogene,RNU4,0.6946856547412297,0.300000011920929,0,0,0.43298119345153585,-0.042996980193311315
RNU4-34P,Pseudogene,RNU4,1.2605183251352958,0.214000001549721,0,0,1.2134515460642872,0.1261165765832705
RNU4-35P,Pseudogene,RNU4,1.2563463968724369,0.282999992370605,0,0,0.37675181871006524,0.0038385596379141326
RNU4-36P,Pseudogene,RNU4,1.399019721353865,0.30799999833107,0.75,0,0.4799363672202851,-0.0034073455166228504
RNU4-37P,Pseudogene,RNU4,1.364561107527415,-0.119500000029802,0,0,0.35303297393766025,-0.01763302718741444
RNU4-38P,Pseudogene,RNU4,0.7808482165695992,-0.0930000022053719,5.73,0,0.32448612370666496,-0.04974961371918092
RNU4-39P,Pseudogene,RNU4,1.0939931570728023,0.207000002264977,2.41,0,1.8358433391444247,0.126318363304799
RNU4-41P,Pseudogene,RNU4,1.2873545350099709,-0.0879999995231628,0.86,0,0.3573589921483345,-0.021034942307193466
RNU4-42P,Pseudogene,RNU4,0.8805874496719812,0.189999997615814,0,0,-0.05469098746532321,0.03903000854904104
RNU4-43P,Pseudogene,RNU4,1.2169675703495997,-0.398999989032745,0,0,0.26255092692299264,-0.03406483142738739
RNU4-44P,Pseudogene,RNU4,0.7636615353538341,0.30799999833107,0,0,0.4399771114322338,-0.038678757996187745
RNU4-45P,Pseudogene,RNU4,1.4534203414798776,0.0035000001080334,0,0,0.3362611211408026,0.005343686574393278
RNU4-46P,Pseudogene,RNU4,1.4095071255619152,0.30799999833107,13.15,0,-0.10136325224365603,0.09017520175238389
RNU4-47P,Pseudogene,RNU4,1.4929647843122915,0.30799999833107,0.66,0,0.7903894376266839,0.12604475064401685
RNU4-48P,Pseudogene,RNU4,0.7633908293859666,-0.10249999910593,0.43,0,0.3206358135702049,-0.051033238281802736
RNU4-49P,Pseudogene,RNU4,1.5382325212127226,-0.105000000447035,0,0,0.3685671684685187,-0.0075030949299582615
RNU4-4P,Pseudogene,RNU4,1.1489031982258795,0.0850000008940697,0.52,0,0.3997211655633368,-0.02357767118295222
RNU4-50P,Pseudogene,RNU4,1.2563463968724369,-0.158000007271767,0.64,0,0.3346937373291366,-0.024827659223084553
RNU4-51P,Pseudogene,RNU4,0.6450652508311419,0.30799999833107,0.93,0,0.43193146124016546,-0.04566965386319134
RNU4-52P,Pseudogene,RNU4,0.7802628730789173,0.211999997496605,0.55,0,0.7725731257172145,0.12641523340855412
RNU4-53P,Pseudogene,RNU4,1.0420284821118444,0.203999996185303,1.17,0,-0.6224663113840898,0.13250999907057917
RNU4-54P,Pseudogene,RNU4,1.1308836239973503,0.115000002086163,0,0,0.4074736545017627,-0.02365712540058055
RNU4-55P,Pseudogene,RNU4,0.9887861509090494,0.305000007152557,0,0,0.45466203973525826,-0.025757735201139102
RNU4-56P,Pseudogene,RNU4,0.8805874496719812,0.30799999833107,1.02,0,0.44828343081929123,-0.03179892380602628
RNU4-57P,Pseudogene,RNU4,0.7461438513887281,0.0689999982714653,0,0,0.3693761657926553,-0.0468299768656055
RNU4-58P,Pseudogene,RNU4,1.4041518553280172,0.30799999833107,0,0,0.480258230385138,-0.0031307035521748023
RNU4-59P,Pseudogene,RNU4,0.9282437628007808,-0.0815000012516975,2.33,0,0.3370502166580593,-0.0410065776003747
RNU4-5P,Pseudogene,RNU4,1.260725817863713,0.151999995112419,0.59,0,0.42612048079977954,-0.015440885289247865
RNU4-60P,Pseudogene,RNU4,1.36364221115871,-0.0759999975562096,0.96,0,0.36571974285573977,-0.016428721636974664
RNU4-61P,Pseudogene,RNU4,0.7141628226311706,0.347000002861023,0,0,0.18876244707339065,0.009596992249474764
RNU4-62P,Pseudogene,RNU4,1.442808667539477,0.0549999997019768,0.98,0,-0.20496149613894585,0.06570961030797168
RNU4-64P,Pseudogene,RNU4,0.7954415893983545,-0.216999992728233,0,0,0.28937998124985514,-0.05268691250375931
RNU4-65P,Pseudogene,RNU4,1.5382325212127226,-0.207000002264976,0,0,0.33890894114124676,-0.010360920286848978
RNU4-66P,Pseudogene,RNU4,1.2584885049659955,-0.0054999999701976,0,0,0.3797975481393168,-0.020219273001135452
RNU4-67P,Pseudogene,RNU4,1.0839066953409258,0.282999992370605,0,0,0.4542987279529404,-0.021078433111110618
RNU4-68P,Pseudogene,RNU4,1.108540938416856,0.204999998211861,0.73,0,0.713424157374444,0.12618483272745196
RNU4-69P,Pseudogene,RNU4,1.4816722006718532,0.0979999974370003,0,0,0.42398624042014366,-0.004906921327074889
RNU4-6P,Pseudogene,RNU4,0.8541217066490528,0.305000007152557,0,0,0.44552026921482996,-0.033413649894614296
RNU4-70P,Pseudogene,RNU4,1.1244911677465947,0.30799999833107,0,0,0.4641835178715597,-0.018021778033941574
RNU4-71P,Pseudogene,RNU4,0.9836257058282896,-0.0240000002086162,0,0,0.35733911051033745,-0.03614750590390696
RNU4-72P,Pseudogene,RNU4,1.2247348248328036,0.194999992847443,0.11,0,0.43660178537172034,-0.016110822352227983
RNU4-73P,Pseudogene,RNU4,1.3056148830242968,0.414000004529953,0,0,0.5043260939610845,-0.005451101487922198
RNU4-74P,Pseudogene,RNU4,1.0787044328279962,0.305000007152557,0,0,0.4605015186043289,-0.02067278999530289
RNU4-75P,Pseudogene,RNU4,0.8088805568904728,0.30799999833107,0,0,0.4431305358012825,-0.035972813448166385
RNU4-76P,Pseudogene,RNU4,1.0346382091890651,0.239999994635582,0,0,0.4384727952187973,-0.025176056916799576
RNU4-77P,Pseudogene,RNU4,0.4898424488559952,-0.0195000004023314,0,0,0.32701012173909444,-0.06429519337963889
RNU4-78P,Pseudogene,RNU4,1.461045226241475,-0.0819999985396862,2.87,0,0.3701896529987087,-0.011170448242095666
RNU4-79P,Pseudogene,RNU4,0.8621985076575545,0.214000001549721,0,0,0.41949227333356837,-0.0357692275086577
RNU4-7P,Pseudogene,RNU4,1.157809424568716,0.30799999833107,0,0,0.46608359463464155,-0.01622068359803871
RNU4-81P,Pseudogene,RNU4,0.603025741962873,0.0179999992251396,0,0,0.345243541968861,-0.056594183994613835
RNU4-82P,Pseudogene,RNU4,1.3149407036173275,-0.0274999998509884,1.17,0,0.3768599646446623,-0.01772983785687411
RNU4-83P,Pseudogene,RNU4,1.2013360946652842,0.30799999833107,0,0,-0.14922365324299305,0.05457893650970221
RNU4-84P,Pseudogene,RNU4,0.6746947006479569,0.30799999833107,0,0,0.43394232507417757,-0.043936363960512766
RNU4-85P,Pseudogene,RNU4,1.4402019671464517,0.26800000667572,1.28,0,0.4708970920656025,-0.002327180650865568
RNU4-87P,Pseudogene,RNU4,0.6353832207999052,0.207999996840954,1.11,0,0.40243129848221804,-0.049058979184097934
RNU4-88P,Pseudogene,RNU4,1.37321582913964,0.282000005245209,0,0,0.4707681174170569,-0.005549885220301726
RNU4-89P,Pseudogene,RNU4,1.331916104954989,0.0579999983310699,0.53,0,0.40293244736735734,-0.014306558753780008
RNU4-8P,Pseudogene,RNU4,0.7390272922779039,0.301999986171722,0,0,-0.010398653127999978,0.016682783988974745
RNU4-90P,Pseudogene,RNU4,1.133175181492786,0.214000001549721,0,0,0.9099504951369112,0.12621603605901488
RNU5A-2P,Pseudogene,RNU5,0.9282437628007808,-0.0169999997597188,0,0,0.35590781513038544,-0.03906224804971882
RNU5A-3P,Pseudogene,RNU5,1.310152769906705,0.30799999833107,0,0,1.0783373398682463,0.1261450036506202
RNU5A-4P,Pseudogene,RNU5,1.2829780110085771,0.0099999997764825,0,0,0.38585548998842945,-0.018409108255553374
