Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,UMAP1,UMAP2
RNU1-134P,Pseudogene,RNU1,1.2841159072489396,0.194999992847443,2.63,0,6.05079879784347,-2.027750619218554
RNU1-136P,Pseudogene,RNU1,1.355484204373131,0.212999999523163,0,0,3.2747365477061403,-11.002700217530933
RNU1-138P,Pseudogene,RNU1,0.6777421021865655,0.266999989748001,0,0.02,2.9666546823954714,-12.556451209352222
RNU1-139P,Pseudogene,RNU1,1.3893713094824591,0.238000005483627,0,0,-0.4722687957310544,-9.797719367311206
RNU1-140P,Pseudogene,RNU1,1.2630648268022358,-0.101999998092651,0,0,-0.6151425597691403,-11.597311385438648
RNU1-141P,Pseudogene,RNU1,0.8133977602982752,0.30799999833107,0.05,0,7.819279575583948,-1.3930353005387446
RNU1-142P,Pseudogene,RNU1,0.6707309769915321,-0.003000000026077,0,0,2.1422047855830324,-13.597257979676929
RNU1-143P,Pseudogene,RNU1,0.9754147891914526,-0.149999998509884,1.44,0,0.7298750671124591,-13.081282981202808
RNU1-146P,Pseudogene,RNU1,1.1999115854621238,0.214000001549721,0.6,0,0.366608494756235,-10.223629363343921
RNU1-148P,Pseudogene,RNU1,1.3507776619968357,-0.0219999998807907,0.38,0,-12.116097545387731,-2.998676904008593
RNU1-149P,Pseudogene,RNU1,1.121852610141116,0.282999992370605,0.33,0,6.2917765619731085,-4.268921263978686
RNU1-14P,Pseudogene,RNU1,1.5539021224474874,0.305000007152557,0,0.01,3.313341045615686,-10.951788314149585
RNU1-150P,Pseudogene,RNU1,1.0077230176801788,-0.197999998927116,0,0,0.57267281213165655,-13.04680288629314
RNU1-151P,Pseudogene,RNU1,1.5838832928100035,-0.034000001847744,0.29,0,-1.611947870018469,-9.994928725526538
RNU1-15P,Pseudogene,RNU1,1.2784145729612908,-0.133000001311302,0,0,-0.6380842683338986,-12.058452971742359
RNU1-16P,Pseudogene,RNU1,1.1225103567464991,0.306500002741814,4.48,0,1.1933328154063356,-9.94689882592937
RNU1-17P,Pseudogene,RNU1,1.2339810972377103,-0.0469999983906746,0,0,-0.4156422374272214,-11.542172797486987
RNU1-18P,Pseudogene,RNU1,1.080151475359839,0.214000001549721,1.14,0,1.4165544154620302,-10.335881598756519
RNU1-19P,Pseudogene,RNU1,1.5156777921626827,-0.0240000002086162,0.75,0,-1.5185204503559935,-10.088685401246753
RNU1-2,Functional,RNU1,3.367531070239497,0.284000009298325,3848.22,0.99,-5.157487010719763,-4.5378626664139885
RNU1-20P,Pseudogene,RNU1,1.0077230176801788,-0.20099999755621,0,0,0.5716323311007155,-13.055903800294605
RNU1-21P,Pseudogene,RNU1,1.3424906824753824,0.246999993920326,0.15,0,-0.1624984500431882,-9.73747671441814
RNU1-22P,Pseudogene,RNU1,1.494893181088722,-0.028999999165535,0,0.01,-1.6039572713398802,-10.247732528016773
RNU1-23P,Pseudogene,RNU1,1.399019721353865,0.30799999833107,0,0,-0.2840922830128537,-9.320248015687671
RNU1-24P,Pseudogene,RNU1,1.4314734703758671,-0.123999997973442,0,0,-1.7560449597859251,-10.401811011598316
RNU1-27P,Pseudogene,RNU1,0,0.898999989032745,6836.16,1,-5.3963128087544305,-7.10467995004436
RNU1-28P,Pseudogene,RNU1,0,1.32599997520447,6836.16,1,-5.368894672157751,-7.066398032472338
RNU1-29P,Pseudogene,RNU1,1.2680769888133556,0.211999997496605,1.59,0,0.08838715576888456,-10.332944281861987
RNU1-3,Functional,RNU1,0,0.446000009775162,3848.22,0.77,5.435611629722132,11.030564896299634
RNU1-30P,Pseudogene,RNU1,0.6392812773692297,-0.233999997377396,0.86,0,1.712388658759607,-13.690082915590015
RNU1-31P,Pseudogene,RNU1,0.9275632321828916,-0.19200000166893,0.72,0,1.0189210715270174,-13.318357833192554
RNU1-32P,Pseudogene,RNU1,1.0704275812050392,-0.0219999998807907,0,0.01,0.5905874575054778,-11.917910941407886
RNU1-33P,Pseudogene,RNU1,0.8361956955218505,-0.114000000059605,0.44,0,8.10478820824386,-2.321973212526049
RNU1-34P,Pseudogene,RNU1,1.1725585892129031,-0.29899999499321,4.09,0,-0.02160695767639742,-12.63366926507732
RNU1-35P,Pseudogene,RNU1,1.1805115701484947,-0.17399999499321,0,0,-0.13498142934082613,-12.468680747316089
RNU1-36P,Pseudogene,RNU1,1.094656183228604,0.296000003814697,0.44,0,1.3967839124179018,-10.024625190065112
RNU1-38P,Pseudogene,RNU1,0.9407201574620816,0.305000007152557,0,0,2.7045864107585085,-10.682408698365894
RNU1-39P,Pseudogene,RNU1,1.1367583441220122,-0.13400000333786,5,0,0.03197582983733549,-12.44192827539226
RNU1-4,Functional,RNU1,0.0211794406933301,0.266000002622604,4585.69,0.72,5.407536888358607,11.004820458128247
RNU1-40P,Pseudogene,RNU1,0,-0.116500001400709,0,0.39,13.002517605063929,-7.6667617638566155
RNU1-41P,Pseudogene,RNU1,0,0.005499999737367,0.41,0.36,13.002492809531702,-7.666764624879565
RNU1-42P,Pseudogene,RNU1,1.5630427231677666,0.266999989748001,0,0,5.386255169150843,-4.619517215059008
RNU1-43P,Pseudogene,RNU1,1.473575631269275,-0.0549999997019768,0,0,-1.6072755811238157,-10.256352790162769
RNU1-44P,Pseudogene,RNU1,0.8736844124046139,-0.208000004291534,0,0,1.2465955855822695,-13.45791948632976
RNU1-45P,Pseudogene,RNU1,1.330249126100227,0.266999989748001,0,0,-0.02358905053375826,-9.61039865808269
RNU1-46P,Pseudogene,RNU1,1.1436897974398292,0.0255000004544854,0,0,0.3870718272900714,-11.564985640809741
RNU1-47P,Pseudogene,RNU1,1.36380005838769,0.282999992370605,0.43,0.01,3.2917000296092165,-11.010115035340991
RNU1-48P,Pseudogene,RNU1,0.042881830539582,-0.0410000011324883,0.41,0.36,13.00254907631637,-7.666790374086108
RNU1-49P,Pseudogene,RNU1,1.2451912679323929,-0.0780000016093254,0,0,-0.5425826070332395,-11.54403246240398
RNU1-51P,Pseudogene,RNU1,1.48015409390887,0.305000007152557,1.08,0,-12.506556606056677,-2.9491595108964104
RNU1-52P,Pseudogene,RNU1,1.1225103567464991,0.622500002384186,0,0.5,1.1520586254573,-9.367625602052417
RNU1-54P,Pseudogene,RNU1,0.9551927752691908,0.309499993920326,0,0,2.097112679717554,-10.166672118470874
RNU1-55P,Pseudogene,RNU1,1.165137332319151,0.30799999833107,0.05,0,-12.538186168434606,-2.2691530068375725
RNU1-56P,Pseudogene,RNU1,0.7836393056532164,0.0279999997001141,0.57,0,2.904059791800989,-12.128404982850757
RNU1-57P,Pseudogene,RNU1,1.0043648020355127,0.319000005722046,0.37,0,1.9530577900385988,-10.063117392823901
RNU1-58P,Pseudogene,RNU1,1.2572531788261518,0.30799999833107,0.12,0,0.4324504675841464,-9.712189086244312
RNU1-5P,Pseudogene,RNU1,1.3748986916753505,0.30799999833107,0.69,0.01,-0.18076739287613497,-9.34108007745525
RNU1-61P,Pseudogene,RNU1,2.461303478718926,0.397000014781952,0.15,0.76,-1.8190356252217161,-9.267596610353198
RNU1-62P,Pseudogene,RNU1,1.1436897974398292,0.284000009298325,0,0,-12.418295955421911,-2.740662701890673
RNU1-63P,Pseudogene,RNU1,1.016613153279848,-0.131500001996756,0,0,0.5691429989910258,-12.955230124757495
RNU1-64P,Pseudogene,RNU1,1.3211813065630749,0.430000007152557,0.13,0.01,0.19827985191108122,-9.415673621461597
RNU1-65P,Pseudogene,RNU1,1.5020230372783343,-0.142000004649162,0,0,-1.7809718606495726,-10.287526496217456
RNU1-67P,Pseudogene,RNU1,0.8048187463465466,0.214000001549721,10.7,0,6.9458879473185675,-1.5554422219254633
RNU1-68P,Pseudogene,RNU1,1.2133208353357092,-0.0645000003278255,1.44,0,-0.4412450549626218,-11.616017707154956
RNU1-6P,Pseudogene,RNU1,1.0613253058546563,0.296999990940094,0.69,0,2.3616327288127077,8.619038216306958
RNU1-70P,Pseudogene,RNU1,1.0589720346665086,-0.129000000655651,3.78,0,0.4316601099944247,-12.757097609803882
RNU1-72P,Pseudogene,RNU1,0.9534901143507074,-0.217999994754791,7.42,0,0.8613273146128787,-13.23697508172771
RNU1-73P,Pseudogene,RNU1,0.995433712586518,0.284000009298325,1.98,0,2.022831821677698,-10.135133155153003
RNU1-74P,Pseudogene,RNU1,0.7312480576223469,-0.109999999403954,0.19,0,2.9305266382670534,-12.120985396669116
RNU1-75P,Pseudogene,RNU1,1.103957823425985,-0.17399999499321,0.16,0,0.16457867049933805,-12.628872283265796
RNU1-76P,Pseudogene,RNU1,1.2015003462505542,-0.180999994277954,0,0,-0.23048583245514498,-12.429123290345874
RNU1-77P,Pseudogene,RNU1,1.3078958314572533,0.300999999046326,0.48,0,-12.358100986244665,-2.38846410112163
RNU1-78P,Pseudogene,RNU1,1.3051669876956435,0.305000007152557,0,0,3.3233801367259157,-10.960794814393726
RNU1-7P,Pseudogene,RNU1,1.5037402892264422,0.214000001549721,0,0,5.618599319694056,-4.598901637361254
RNU1-80P,Pseudogene,RNU1,1.4670380286460751,0.30799999833107,0,0,5.20090284371139,-3.9564861138322014
RNU1-82P,Pseudogene,RNU1,1.4946267117159788,-0.130999997258186,0.08,0,-1.783855771782385,-10.294323333070484
RNU1-83P,Pseudogene,RNU1,1.3131253229864706,-0.250999987125397,2.76,0,-0.5975645539784299,-12.292303450868335
RNU1-84P,Pseudogene,RNU1,1.080151475359839,0.0649999976158142,0,0,6.969380760428919,-2.922247298524584
RNU1-86P,Pseudogene,RNU1,0.0451094581000798,-0.295000001788139,0,0.39,13.002349758384241,-7.666569121644701
RNU1-88P,Pseudogene,RNU1,1.13971865230983,0.282999992370605,0,0,1.045083755490793,-10.009737380311694
RNU1-89P,Pseudogene,RNU1,1.842611340319725,0.146999999880791,1.18,0.01,-1.6745670793080198,-9.398104079530444
RNU1-8P,Pseudogene,RNU1,0.7578388960813414,-0.0469999983906746,0,0,8.128092193839564,-2.356178410814013
RNU1-91P,Pseudogene,RNU1,1.150706299264613,-0.229000002145767,3.22,0,0.033018017051233195,-12.637794860170093
RNU1-93P,Pseudogene,RNU1,0.6576905607017558,-0.0790000036358833,1.08,0,2.0365914347148073,-13.652903922364917
RNU1-94P,Pseudogene,RNU1,1.1444243445158986,0.263999998569489,0.7,0,1.0295847895121706,-10.039771445558276
RNU1-95P,Pseudogene,RNU1,0,0.0090000003110617,0,0.39,13.002436542747034,-7.666697867677416
RNU1-96P,Pseudogene,RNU1,0.8147547802520594,0.214000001549721,0,0,2.7436131479716432,-10.159308799073901
RNU1-97P,Pseudogene,RNU1,0,-0.0500000007450581,0,0.39,13.002468013999476,-7.66673410730144
RNU1-98P,Pseudogene,RNU1,1.2808266759291422,-0.240000002086163,0,0,-0.5424926040196286,-12.321945555970874
RNU2-1,Functional,RNU2,2.235557559140659,0.808000028133392,5154.1,0.97,-12.51261148429154,-1.0573501666047236
RNU2-10P,Pseudogene,RNU2,1.3334013752142089,0.119000002741814,0,0,-0.5546831843876706,-10.306389220521655
RNU2-12P,Pseudogene,RNU2,1.0130832464976265,0.186000004410744,0,0,1.5177464725947512,-10.412799247071948
RNU2-13P,Pseudogene,RNU2,0.7684575826783514,-0.127000004053116,0.44,0,2.929079914329065,-12.105304129884448
RNU2-14P,Pseudogene,RNU2,1.1638712540167198,0.238000005483627,0,0,-12.277848338844763,-2.43576896981975
RNU2-15P,Pseudogene,RNU2,0.9820163705766074,0.44200000166893,0.4,0.01,1.764795327422632,-9.825662978456226
RNU2-16P,Pseudogene,RNU2,1.123756206199048,0.284500002861023,0,0,6.311855697867884,-3.390792258546557
RNU2-17P,Pseudogene,RNU2,1.078590884992962,0.421000003814697,0.29,0,1.434447849032892,-9.818983443544116
RNU2-18P,Pseudogene,RNU2,1.3722185772666264,-0.153499998152256,0.78,0,-11.33141908622025,-0.3219519336678644
RNU2-19P,Pseudogene,RNU2,0.7856563952430573,-0.300999999046326,0,0,1.43276592516662,-13.659535773561206
RNU2-20P,Pseudogene,RNU2,1.0547583239526523,-0.104999996721745,0,0,0.42522133314372434,-12.682901747987476
RNU2-21P,Pseudogene,RNU2,0.6836002453570611,0.127500001341105,0,0,2.9286393167948854,-13.752215750978198
RNU2-22P,Pseudogene,RNU2,0.6553638252275752,0.30799999833107,1.25,0,-10.728449916603552,-1.3702178080536982
RNU2-23P,Pseudogene,RNU2,1.0865596138260258,0.214000001549721,0.39,0,1.3743366839862001,-10.322858222291675
RNU2-24P,Pseudogene,RNU2,1.457382492464118,0.398999989032745,0,0,-10.954154109718786,-0.23354024486323793
RNU2-25P,Pseudogene,RNU2,1.4184680908328773,-0.0280000008642673,10.54,0,-1.3929735181355345,-10.561821349427905
RNU2-26P,Pseudogene,RNU2,0.9638308822325962,0.305000007152557,0,0,-11.43547639823197,-2.067442305848803
RNU2-27P,Pseudogene,RNU2,1.2230381245444182,-0.0794999990612268,1.38,0,-0.4681144711994992,-11.601617224977222
RNU2-28P,Pseudogene,RNU2,1.249699061439249,-0.23199999332428,0,0,-0.5266717431568967,-12.344406493470874
RNU2-29P,Pseudogene,RNU2,1.2129432066910355,0.284000009298325,0,0,0.5317532809949054,-9.806940444276538
RNU2-2,Functional,RNU2,4.9828238062590815,1.35500001907349,37897.85,1,-5.265264129402624,-4.517900832460131
RNU2-30P,Pseudogene,RNU2,1.3056148830242968,0.165999993681908,0.46,0,-10.919296359779821,0.11625107331493895
RNU2-31P,Pseudogene,RNU2,1.0756423041154524,0.0120000001043081,0,0,0.6135103067881001,-11.897393592164722
RNU2-32P,Pseudogene,RNU2,0.9820163705766074,-0.0799999982118607,0.08,0,2.8653854372477663,-11.919426329896655
RNU2-33P,Pseudogene,RNU2,1.230172513604261,-0.212999999523163,0.43,0,2.705244684455408,-11.85781420068523
RNU2-34P,Pseudogene,RNU2,0.8037685261468772,-0.0309999994933605,0,0,1.80376019501449,-13.415077575013843
RNU2-35P,Pseudogene,RNU2,0.7827443997084278,-0.0820000022649765,0.73,0,7.97504892372848,-2.5060967286088127
RNU2-36P,Pseudogene,RNU2,1.254798695736776,0.206000000238419,0.18,0,-10.787098979713903,-0.3087799032189508
RNU2-37P,Pseudogene,RNU2,0.9026988733925584,0.30799999833107,0.44,0,2.415138149497522,-10.17859114007732
RNU2-38P,Pseudogene,RNU2,0.9233163765547988,-0.0149999996647239,0,0,1.5472488644099367,-12.852836020753589
RNU2-39P,Pseudogene,RNU2,0.6139898463621979,-0.010499999858439,0,0,2.2464121820902956,-13.675148375795093
RNU2-3P,Pseudogene,RNU2,1.327540649112821,0.214000001549721,0,0,-0.24592099166153536,-9.91319406823894
RNU2-40P,Pseudogene,RNU2,1.4177258260025094,0.156000003218651,0,0,-0.6482325551533566,-9.96665037469646
RNU2-41P,Pseudogene,RNU2,0.8781138894200936,-0.0050000001210719,0,0,1.6116210463023317,-12.949434645936694
RNU2-42P,Pseudogene,RNU2,1.4139619521281666,-0.209999993443489,3.41,0,-1.868736839058386,-10.371769316957202
RNU2-43P,Pseudogene,RNU2,1.2979653022796658,-0.0685000009834766,0.04,0,-0.7682094333195554,-11.36058462457439
RNU2-44P,Pseudogene,RNU2,1.342820208907016,0.239999994635582,2.44,0,-0.2256121394657956,-9.75070799188396
RNU2-45P,Pseudogene,RNU2,1.1144689648255022,-0.0920000001788139,0,0,6.974858188865198,-2.532535203263964
RNU2-46P,Pseudogene,RNU2,1.13731722236396,0.212999999523163,0.44,0,1.0001594665026796,-10.275519736573901
RNU2-47P,Pseudogene,RNU2,1.6246680635077144,0.0060000002849847,0,0,6.798674488303675,-4.894845851228442
RNU2-48P,Pseudogene,RNU2,1.327540649112821,0.30799999833107,0.12,0,0.08967497372390165,-9.492683776185718
RNU2-49P,Pseudogene,RNU2,1.3402902577887854,0.30799999833107,0,0.03,0.03866227888823881,-9.490665801332202
RNU2-4P,Pseudogene,RNU2,1.3025356026398056,0.78600001335144,1.35,0.54,-12.52751741385697,-2.927829392717089
RNU2-50P,Pseudogene,RNU2,1.4088030760486474,0.214000001549721,0,0,-0.5280334708714353,-9.819267638490405
RNU2-51P,Pseudogene,RNU2,1.0226337049490182,0.30799999833107,0.54,0,6.335193062064661,-4.224426158235278
RNU2-52P,Pseudogene,RNU2,0.8774976691468164,0.446000009775162,0.34,0.02,2.4715626480555666,-10.05112303094646
RNU2-53P,Pseudogene,RNU2,0.9451505506683398,0.0579999983310699,0,0,7.855211162803187,-2.2813390572526115
RNU2-54P,Pseudogene,RNU2,1.2614028993985489,-0.160000003874302,0.96,0,-0.5614315030598508,-12.261756308839526
RNU2-55P,Pseudogene,RNU2,1.477205127898017,-0.241999998688698,0,0.01,-1.8915396688008177,-10.291936286256519
RNU2-56P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,1.3623202683901918,-9.968800910279956
RNU2-57P,Pseudogene,RNU2,0.0727419533760449,-0.0829999968409538,0,0.23,-10.219535922768102,-2.395799763963427
RNU2-58P,Pseudogene,RNU2,1.8790677546279164,0.195999994874001,0.76,0.43,-11.760171985390173,-1.5790041764237543
RNU2-59P,Pseudogene,RNU2,1.545766509240956,0.146999999880791,0.4,0,5.238737488029017,-4.969913848207201
RNU2-5P,Pseudogene,RNU2,1.2542935432827758,0.30799999833107,1.5,0,6.083986187217249,-4.083375342653002
RNU2-60P,Pseudogene,RNU2,1.3025356026398056,0.306500002741814,0,0,0.13378765606643095,-9.52511919336101
RNU2-61P,Pseudogene,RNU2,1.0911293006406748,0.207000002264977,0,0,-12.326294040443884,-2.8884955723740715
RNU2-62P,Pseudogene,RNU2,0.7637905104484723,0.164000004529953,0,0,2.9530371668315065,-13.758546241090503
RNU2-63P,Pseudogene,RNU2,4.149832727006819,-0.462999999523163,44.96,0.41,-5.192307090523229,-4.512071975038256
RNU2-64P,Pseudogene,RNU2,1.618508462617001,0.206000000238419,0,0,-1.125032758476721,-9.48228586511394
RNU2-65P,Pseudogene,RNU2,1.351820733550501,0.239999994635582,0.11,0,-10.843292331459509,-0.18005604343196352
RNU2-66P,Pseudogene,RNU2,1.4886121173026348,0.243000000715256,0,0.01,-0.8792482373738156,-9.420243628785816
RNU2-68P,Pseudogene,RNU2,0.7819759987924836,0.252000004053116,0.71,0,2.8470207693553102,-10.107733138368335
RNU2-69P,Pseudogene,RNU2,1.458839874956582,-0.198499999940395,0,0,-11.973114108803259,-2.9401384671189446
RNU2-6P,Pseudogene,RNU2,1.078590884992962,0.28999999165535,2.27,0,-12.410711383583532,-2.8020256836869377
RNU2-70P,Pseudogene,RNU2,0.8926128524607979,0.239999994635582,0,0,2.3947741034007204,-10.191715606019702
RNU2-71P,Pseudogene,RNU2,1.157809424568716,-0.28999999165535,0,0,2.6417087557292116,-11.849324591920581
RNU2-72P,Pseudogene,RNU2,0.9163031642292292,-0.0309999994933605,1.97,0,1.4993168952441347,-12.866904624269214
RNU2-7P,Pseudogene,RNU2,1.1122775932654518,0.246999993920326,3.45,0,1.1777152063822878,-10.144118674562183
RNU2-8P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,1.338357830283655,-9.96761644677898
RNU2-9P,Pseudogene,RNU2,0.6228216214921369,0.282999992370605,0,0,2.9639970304942262,-13.205859549806323
RNU4-1,Functional,RNU4,4.5274340946928415,2.8840000629425,2273.06,1,-5.28154573416947,-4.567656405732836
RNU4-10P,Pseudogene,RNU4,0.9924080782017566,-0.20100000500679,0,0,0.5950237827873363,-13.076600440309253
RNU4-11P,Pseudogene,RNU4,1.157809424568716,0.284000009298325,0,0,0.9965280237174167,-9.979439147279468
RNU4-12P,Pseudogene,RNU4,1.4993215569954594,0.263999998569489,0,0,-0.8722721097493039,-9.395709403321948
RNU4-13P,Pseudogene,RNU4,1.3056148830242968,-0.136000007390976,0,0,-0.7192620990300046,-11.86501348809978
RNU4-14P,Pseudogene,RNU4,1.281182559973579,-0.201999999582767,0.23,0,-11.856903171303259,-2.863582261369433
RNU4-15P,Pseudogene,RNU4,1.133175181492786,0.379000008106232,0,0,1.2272549512362612,-9.834233649537769
RNU4-16P,Pseudogene,RNU4,1.0592724522649954,-0.101000003516674,0,0.01,2.8327292444682253,-11.881032355592456
RNU4-17P,Pseudogene,RNU4,1.0100039661131353,-0.0230000000447035,0,0,1.2565037252879274,-12.587207206056323
RNU4-18P,Pseudogene,RNU4,1.0723335610099518,-0.172999992966652,0,0,7.833230400321497,-3.7182005722977776
RNU4-2,Functional,RNU4,3.928567150950402,2.83999991416931,9032.84,1,-5.258630370857702,-4.531861670778002
RNU4-20P,Pseudogene,RNU4,1.265155993734027,0.30799999833107,0,0,3.26570072197677,-11.01523149804851
RNU4-21P,Pseudogene,RNU4,1.2680769888133556,0.30799999833107,1.24,0,-11.623313045265661,-1.0970670063950678
RNU4-22P,Pseudogene,RNU4,1.067137602162732,0.238000005483627,0.58,0,6.477198505637659,-3.547795899675097
RNU4-23P,Pseudogene,RNU4,1.0420284821118444,0.305000007152557,0.74,0,1.656898164985193,-10.018218406007495
RNU4-24P,Pseudogene,RNU4,1.0745137825134128,0.0140000004321337,0.78,0,0.5966253009191288,-11.883549102113452
RNU4-25P,Pseudogene,RNU4,1.3742694474228672,0.207000002264977,2.34,0,-0.4593795297169553,-9.84970987634441
RNU4-26P,Pseudogene,RNU4,1.5581734311952813,0.0890000015497208,0,0,-1.439699268105017,-9.93563402490398
RNU4-27P,Pseudogene,RNU4,1.3743780939125043,0.282000005245209,0.46,0,3.3098184111094606,-11.014932997987476
RNU4-28P,Pseudogene,RNU4,0.9853697230372052,0.187999993562698,0.14,0,-11.448870754005895,-1.5918632824875971
RNU4-29P,Pseudogene,RNU4,0.9382248785298216,-0.0695000011473894,0.49,0,1.446087265250696,-12.912052520082202
RNU4-30P,Pseudogene,RNU4,1.2873545350099709,0.239999994635582,0.14,0,-12.382104015114294,-2.7413114388444084
RNU4-31P,Pseudogene,RNU4,1.428786098403947,0.146999999880791,0,0,-0.6632870194935666,-9.937211402223316
RNU4-32P,Pseudogene,RNU4,1.2563463968724369,0.301999986171722,3.7,0,2.117502594230188,7.330180756284986
RNU4-33P,Pseudogene,RNU4,0.6946856547412297,0.300000011920929,0,0,2.9999896528697145,-13.086809523866382
RNU4-34P,Pseudogene,RNU4,1.2605183251352958,0.214000001549721,0,0,-11.700654124977575,-1.135974772737231
RNU4-35P,Pseudogene,RNU4,1.2563463968724369,0.282999992370605,0,0,3.251164579627527,-11.022312529847827
RNU4-36P,Pseudogene,RNU4,1.399019721353865,0.30799999833107,0.75,0,-0.2752356884503232,-9.305400260255542
RNU4-37P,Pseudogene,RNU4,1.364561107527415,-0.119500000029802,0,0,-1.1265417096638548,-11.014598258302417
RNU4-38P,Pseudogene,RNU4,0.7808482165695992,-0.0930000022053719,5.73,0,1.7794181349253786,-13.49827707605144
RNU4-39P,Pseudogene,RNU4,1.0939931570728023,0.207000002264977,2.41,0,-10.855927562477575,-0.12065131263514955
RNU4-40P,Pseudogene,RNU4,1.0687471611403534,-0.0790000036358833,0.84,0.01,2.832317734000696,-11.8650029976823
RNU4-41P,Pseudogene,RNU4,1.2873545350099709,-0.0879999995231628,0.86,0,-0.7518586871647702,-11.509384520814624
RNU4-42P,Pseudogene,RNU4,0.8805874496719812,0.189999997615814,0,0,7.994378948447718,-1.9034065087296625
RNU4-43P,Pseudogene,RNU4,1.2169675703495997,-0.398999989032745,0,0,-0.13336036181686983,-12.58066118554851
RNU4-44P,Pseudogene,RNU4,0.7636615353538341,0.30799999833107,0,0,2.81391062760116,-10.130517371461597
RNU4-45P,Pseudogene,RNU4,1.4534203414798776,0.0035000001080334,0,0,-1.6132315156483519,-10.284971602723804
RNU4-46P,Pseudogene,RNU4,1.4095071255619152,0.30799999833107,13.15,0,5.696558380363001,-4.476790316865649
RNU4-47P,Pseudogene,RNU4,1.4929647843122915,0.30799999833107,0.66,0,-11.873497104408727,-1.998390086457934
RNU4-48P,Pseudogene,RNU4,0.7633908293859666,-0.10249999910593,0.43,0,1.7663914206004274,-13.541215308473316
RNU4-49P,Pseudogene,RNU4,1.5382325212127226,-0.105000000447035,0,0,-1.7475384233021605,-10.156446822450366
RNU4-4P,Pseudogene,RNU4,1.1489031982258795,0.0850000008940697,0.52,0,0.3937408717847003,-11.06650389032146
RNU4-50P,Pseudogene,RNU4,1.2563463968724369,-0.158000007271767,0.64,0,-0.5900552032017575,-12.261265166566577
RNU4-51P,Pseudogene,RNU4,0.6450652508311419,0.30799999833107,0.93,0,2.999324465034021,-13.149516471193042
RNU4-52P,Pseudogene,RNU4,0.7802628730789173,0.211999997496605,0.55,0,-10.511858081581579,-2.6321784337021965
RNU4-53P,Pseudogene,RNU4,1.0420284821118444,0.203999996185303,1.17,0,6.315849685904993,-1.891188987062182
