gene_name,promoter_type,gene_type,metric,value
RNU4-47P,Type 1,Pseudogene,Motif count,2
RNU4-52P,Type 1,Pseudogene,Motif count,2
RNU4-68P,Type 1,Pseudogene,Motif count,5
RNU4-86P,Type 1,Pseudogene,Motif count,4
RNU4-90P,Type 1,Pseudogene,Motif count,2
RNU5A-3P,Type 1,Pseudogene,Motif count,1
RNU5E-1,Type 3,Functional,Motif count,7
RNU5E-2P,Type 1,Pseudogene,Motif count,1
RNU5E-5P,Type 1,Pseudogene,Motif count,2
RNU5F-4P,Type 1,Pseudogene,Motif count,2
RNU6-1,Type 1,Functional,Motif count,148
RNU6-1,Type 2,Functional,Motif count,832
RNU6-1,Type 3,Functional,Motif count,4362
RNU6-1003P,Type 1,Pseudogene,Motif count,2
RNU6-1007P,Type 1,Pseudogene,Motif count,2
RNU6-1010P,Type 1,Pseudogene,Motif count,3
RNU6-1020P,Type 1,Pseudogene,Motif count,1
RNU6-1022P,Type 1,Pseudogene,Motif count,4
RNU6-1028P,Type 1,Pseudogene,Motif count,2
RNU6-1041P,Type 1,Pseudogene,Motif count,1
RNU6-1056P,Type 1,Pseudogene,Motif count,2
RNU6-1057P,Type 1,Pseudogene,Motif count,2
RNU6-1069P,Type 1,Pseudogene,Motif count,3
RNU6-106P,Type 1,Pseudogene,Motif count,3
RNU6-1083P,Type 1,Pseudogene,Motif count,8
RNU6-1085P,Type 1,Pseudogene,Motif count,2
RNU6-1088P,Type 1,Pseudogene,Motif count,4
RNU6-1091P,Type 1,Pseudogene,Motif count,3
RNU6-1092P,Type 1,Pseudogene,Motif count,1
RNU6-1093P,Type 1,Pseudogene,Motif count,2
RNU6-1095P,Type 1,Pseudogene,Motif count,3
RNU6-10P,Type 1,Pseudogene,Motif count,3
RNU6-1101P,Type 1,Pseudogene,Motif count,4
RNU6-1106P,Type 1,Pseudogene,Motif count,4
RNU6-1114P,Type 1,Pseudogene,Motif count,1
RNU6-1121P,Type 1,Pseudogene,Motif count,2
RNU6-1122P,Type 1,Pseudogene,Motif count,1
RNU6-1133P,Type 1,Pseudogene,Motif count,3
RNU6-1138P,Type 1,Pseudogene,Motif count,2
RNU6-1139P,Type 1,Pseudogene,Motif count,1
RNU6-1151P,Type 1,Pseudogene,Motif count,4
RNU6-1155P,Type 1,Pseudogene,Motif count,3
RNU6-1162P,Type 1,Pseudogene,Motif count,1
RNU6-1169P,Type 1,Pseudogene,Motif count,2
RNU6-1178P,Type 1,Pseudogene,Motif count,3
RNU6-1196P,Type 1,Pseudogene,Motif count,2
RNU6-1201P,Type 1,Pseudogene,Motif count,1
RNU6-1205P,Type 1,Pseudogene,Motif count,3
RNU6-1213P,Type 1,Pseudogene,Motif count,2
RNU6-1223P,Type 1,Pseudogene,Motif count,2
RNU6-1238P,Type 1,Pseudogene,Motif count,4
RNU6-1242P,Type 1,Pseudogene,Motif count,1
RNU6-1245P,Type 1,Pseudogene,Motif count,1
RNU6-1255P,Type 1,Pseudogene,Motif count,4
RNU6-1266P,Type 1,Pseudogene,Motif count,1
RNU6-1273P,Type 1,Pseudogene,Motif count,3
RNU6-1274P,Type 1,Pseudogene,Motif count,2
RNU6-1298P,Type 1,Pseudogene,Motif count,4
RNU6-1304P,Type 1,Pseudogene,Motif count,2
RNU6-1306P,Type 1,Pseudogene,Motif count,2
RNU6-1315P,Type 1,Pseudogene,Motif count,4
RNU6-1322P,Type 1,Pseudogene,Motif count,4
RNU6-1328P,Type 1,Pseudogene,Motif count,1
RNU6-132P,Type 1,Pseudogene,Motif count,2
RNU6-1335P,Type 1,Pseudogene,Motif count,2
RNU6-136P,Type 1,Pseudogene,Motif count,2
RNU6-143P,Type 1,Pseudogene,Motif count,2
RNU6-169P,Type 1,Pseudogene,Motif count,2
RNU6-178P,Type 1,Pseudogene,Motif count,3
RNU6-179P,Type 1,Pseudogene,Motif count,3
RNU6-181P,Type 1,Pseudogene,Motif count,3
RNU6-192P,Type 1,Pseudogene,Motif count,3
RNU6-194P,Type 1,Pseudogene,Motif count,1
RNU6-2,Type 1,Functional,Motif count,39
RNU6-2,Type 2,Functional,Motif count,168
RNU6-2,Type 3,Functional,Motif count,1070
RNU6-206P,Type 1,Pseudogene,Motif count,4
RNU6-20P,Type 1,Pseudogene,Motif count,4
RNU6-210P,Type 1,Pseudogene,Motif count,3
RNU6-216P,Type 1,Pseudogene,Motif count,1
RNU6-218P,Type 1,Pseudogene,Motif count,2
RNU6-222P,Type 1,Pseudogene,Motif count,2
RNU6-225P,Type 1,Pseudogene,Motif count,1
RNU6-229P,Type 1,Pseudogene,Motif count,3
RNU6-232P,Type 1,Pseudogene,Motif count,4
RNU6-233P,Type 1,Pseudogene,Motif count,7
RNU6-23P,Type 1,Pseudogene,Motif count,2
RNU6-245P,Type 1,Pseudogene,Motif count,3
RNU6-264P,Type 1,Pseudogene,Motif count,3
RNU6-318P,Type 1,Pseudogene,Motif count,3
RNU6-31P,Type 1,Pseudogene,Motif count,3
RNU6-333P,Type 1,Pseudogene,Motif count,5
RNU6-369P,Type 1,Pseudogene,Motif count,1
RNU6-379P,Type 1,Pseudogene,Motif count,2
RNU6-37P,Type 1,Pseudogene,Motif count,3
RNU6-405P,Type 1,Pseudogene,Motif count,2
RNU6-406P,Type 1,Pseudogene,Motif count,1
RNU6-41P,Type 1,Pseudogene,Motif count,3
RNU6-421P,Type 1,Pseudogene,Motif count,2
RNU6-430P,Type 1,Pseudogene,Motif count,2
RNU6-450P,Type 1,Pseudogene,Motif count,4
RNU6-451P,Type 1,Pseudogene,Motif count,5
RNU6-454P,Type 1,Pseudogene,Motif count,1
RNU6-467P,Type 1,Pseudogene,Motif count,2
RNU6-492P,Type 1,Pseudogene,Motif count,2
RNU6-501P,Type 1,Pseudogene,Motif count,1
RNU6-502P,Type 1,Pseudogene,Motif count,2
RNU6-509P,Type 1,Pseudogene,Motif count,3
RNU6-516P,Type 1,Pseudogene,Motif count,3
RNU6-517P,Type 1,Pseudogene,Motif count,3
RNU6-518P,Type 1,Pseudogene,Motif count,3
RNU6-519P,Type 1,Pseudogene,Motif count,3
RNU6-529P,Type 1,Pseudogene,Motif count,1
RNU6-543P,Type 1,Pseudogene,Motif count,1
RNU6-547P,Type 1,Pseudogene,Motif count,3
RNU6-549P,Type 1,Pseudogene,Motif count,1
RNU6-559P,Type 1,Pseudogene,Motif count,2
RNU6-563P,Type 1,Pseudogene,Motif count,1
RNU6-584P,Type 1,Pseudogene,Motif count,4
RNU6-592P,Type 1,Pseudogene,Motif count,3
RNU6-597P,Type 1,Pseudogene,Motif count,1
RNU6-600P,Type 1,Pseudogene,Motif count,4
RNU6-611P,Type 1,Pseudogene,Motif count,2
RNU6-633P,Type 1,Pseudogene,Motif count,4
RNU6-642P,Type 1,Pseudogene,Motif count,1
RNU6-657P,Type 1,Pseudogene,Motif count,1
RNU6-65P,Type 1,Pseudogene,Motif count,2
RNU6-660P,Type 1,Pseudogene,Motif count,5
RNU6-689P,Type 1,Pseudogene,Motif count,1
RNU6-7,Type 1,Functional,Motif count,39
RNU6-7,Type 2,Functional,Motif count,169
RNU6-7,Type 3,Functional,Motif count,1045
RNU6-715P,Type 1,Pseudogene,Motif count,2
RNU6-717P,Type 1,Pseudogene,Motif count,4
RNU6-728P,Type 1,Pseudogene,Motif count,4
RNU6-737P,Type 1,Pseudogene,Motif count,3
RNU6-751P,Type 1,Pseudogene,Motif count,1
RNU6-752P,Type 1,Pseudogene,Motif count,4
RNU6-756P,Type 1,Pseudogene,Motif count,2
RNU6-759P,Type 1,Pseudogene,Motif count,3
RNU6-775P,Type 1,Pseudogene,Motif count,2
RNU6-776P,Type 1,Pseudogene,Motif count,5
RNU6-783P,Type 1,Pseudogene,Motif count,2
RNU6-78P,Type 1,Pseudogene,Motif count,2
RNU6-790P,Type 1,Pseudogene,Motif count,3
RNU6-794P,Type 1,Pseudogene,Motif count,2
RNU6-8,Type 1,Functional,Motif count,22
RNU6-8,Type 2,Functional,Motif count,145
RNU6-8,Type 3,Functional,Motif count,1063
RNU6-807P,Type 1,Pseudogene,Motif count,4
RNU6-84P,Type 1,Pseudogene,Motif count,1
RNU6-850P,Type 1,Pseudogene,Motif count,4
RNU6-854P,Type 1,Pseudogene,Motif count,3
RNU6-866P,Type 1,Pseudogene,Motif count,5
RNU6-877P,Type 1,Pseudogene,Motif count,2
RNU6-87P,Type 1,Pseudogene,Motif count,2
RNU6-899P,Type 1,Pseudogene,Motif count,1
RNU6-9,Type 1,Functional,Motif count,39
RNU6-9,Type 2,Functional,Motif count,207
RNU6-9,Type 3,Functional,Motif count,1060
RNU6-911P,Type 1,Pseudogene,Motif count,5
RNU6-917P,Type 1,Pseudogene,Motif count,1
RNU6-923P,Type 1,Pseudogene,Motif count,3
RNU6-925P,Type 1,Pseudogene,Motif count,2
RNU6-927P,Type 1,Pseudogene,Motif count,5
RNU6-930P,Type 1,Pseudogene,Motif count,1
RNU6-942P,Type 1,Pseudogene,Motif count,1
RNU6-947P,Type 1,Pseudogene,Motif count,4
RNU6-950P,Type 1,Pseudogene,Motif count,6
RNU6-969P,Type 1,Pseudogene,Motif count,3
RNU6-975P,Type 1,Pseudogene,Motif count,3
RNU6-993P,Type 1,Pseudogene,Motif count,5
RNU4ATAC,Type 1,Functional,Motif count,1
RNU4ATAC,Type 2,Functional,Motif count,16
RNU4ATAC,Type 3,Functional,Motif count,22
RNU4ATAC5P,Type 1,Pseudogene,Motif count,1
RNU6ATAC,Type 1,Functional,Motif count,24
RNU6ATAC,Type 2,Functional,Motif count,115
RNU6ATAC,Type 3,Functional,Motif count,118
RNU6ATAC17P,Type 1,Pseudogene,Motif count,3
RNU6ATAC20P,Type 1,Pseudogene,Motif count,4
RNU6ATAC26P,Type 1,Pseudogene,Motif count,3
RNU6ATAC28P,Type 1,Pseudogene,Motif count,4
RNU6ATAC29P,Type 1,Pseudogene,Motif count,1
RNU6ATAC37P,Type 1,Pseudogene,Motif count,3
RNU6ATAC39P,Type 1,Pseudogene,Motif count,5
RNU6ATAC41P,Type 1,Pseudogene,Motif count,1
RNU11,Type 3,Functional,Motif count,20
RNU12,Type 3,Functional,Motif count,14
RNY1,Type 1,Functional,Motif count,7
RNY1,Type 2,Functional,Motif count,35
RNY1,Type 3,Functional,Motif count,154
RNY1P1,Type 2,Pseudogene,Motif count,23
RNY1P1,Type 3,Pseudogene,Motif count,76
RNY1P7,Type 1,Pseudogene,Motif count,7
RNY3,Type 1,Functional,Motif count,10
RNY3,Type 2,Functional,Motif count,28
RNY3,Type 3,Functional,Motif count,183
RNY3P1,Type 1,Pseudogene,Motif count,10
RNY3P1,Type 3,Pseudogene,Motif count,89
RNY3P14,Type 1,Pseudogene,Motif count,9
RNY4,Type 1,Functional,Motif count,8
RNY4,Type 2,Functional,Motif count,107
RNY4,Type 3,Functional,Motif count,294
RNY4P1,Type 2,Pseudogene,Motif count,27
RNY4P1,Type 3,Pseudogene,Motif count,70
RNY4P2,Type 1,Pseudogene,Motif count,4
RNY4P2,Type 2,Pseudogene,Motif count,24
RNY4P2,Type 3,Pseudogene,Motif count,93
RNY4P21,Type 1,Pseudogene,Motif count,4
RNY4P3,Type 1,Pseudogene,Motif count,4
RNY4P3,Type 2,Pseudogene,Motif count,31
RNY4P3,Type 3,Pseudogene,Motif count,65
RNY4P36,Type 1,Pseudogene,Motif count,2
RNY5,Type 2,Functional,Motif count,32
RNY5,Type 3,Functional,Motif count,47
TRC-GCA12-1,Type 1,Functional,Motif count,2
TRC-GCA12-1,Type 3,Functional,Motif count,6
TRC-GCA2-1,Type 1,Functional,Motif count,2
TRC-GCA2-1,Type 3,Functional,Motif count,11
TRE-CTC14-1,Type 3,Functional,Motif count,10
TRE-CTC9-1,Type 3,Functional,Motif count,11
TRF-GAA1-3,Type 3,Functional,Motif count,4
TRG-CCC3-1,Type 1,Functional,Motif count,9
TRG-CCC3-1,Type 3,Functional,Motif count,14
TRG-TCC1-1,Type 1,Functional,Motif count,2
TRG-TCC1-1,Type 3,Functional,Motif count,7
TRK-TTT1-1,Type 1,Functional,Motif count,1
TRK-TTT1-1,Type 3,Functional,Motif count,3
TRK-TTT8-1,Type 1,Functional,Motif count,4
TRK-TTT8-1,Type 3,Functional,Motif count,5
TRL-CAA3-1,Type 3,Functional,Motif count,9
TRN-GTT22-1,Type 1,Pseudogene,Motif count,2
TRN-GTT23-1,Type 1,Pseudogene,Motif count,4
TRP-AGG1-1,Type 3,Functional,Motif count,10
TRP-TGG3-4,Type 3,Functional,Motif count,8
TRP-TGG3-5,Type 3,Functional,Motif count,8
TRQ-CTG1-1,Type 3,Functional,Motif count,8
TRQ-TTG4-1,Type 1,Functional,Motif count,2
TRQ-TTG4-1,Type 3,Functional,Motif count,5
TRR-ACG2-2,Type 1,Functional,Motif count,3
TRR-ACG2-2,Type 3,Functional,Motif count,4
TRS-CGA4-1,Type 3,Functional,Motif count,7
TRT-CGT5-1,Type 3,Functional,Motif count,6
TRU-TCA2-1,Type 1,Functional,Motif count,4
TRU-TCA2-1,Type 3,Functional,Motif count,12
TRV-AAC1-1,Type 3,Functional,Motif count,3
TRV-AAC2-1,Type 1,Functional,Motif count,2
TRV-AAC2-1,Type 3,Functional,Motif count,4
TRV-AAC5-1,Type 1,Functional,Motif count,1
TRV-AAC5-1,Type 3,Functional,Motif count,5
TRV-TAC3-1,Type 3,Functional,Motif count,10
TRY-ATA1-1,Type 1,Functional,Motif count,5
TRY-ATA1-1,Type 3,Functional,Motif count,6
RN7SL1,Type 1,Functional,Motif count,215
RN7SL1,Type 2,Functional,Motif count,1182
RN7SL1,Type 3,Functional,Motif count,1470
RN7SL100P,Type 1,Pseudogene,Motif count,3
RN7SL100P,Type 2,Pseudogene,Motif count,23
RN7SL108P,Type 1,Pseudogene,Motif count,1
RN7SL110P,Type 1,Pseudogene,Motif count,2
RN7SL113P,Type 1,Pseudogene,Motif count,4
RN7SL118P,Type 1,Pseudogene,Motif count,3
RN7SL11P,Type 1,Pseudogene,Motif count,2
RN7SL121P,Type 1,Pseudogene,Motif count,9
RN7SL121P,Type 2,Pseudogene,Motif count,27
RN7SL123P,Type 1,Pseudogene,Motif count,7
RN7SL123P,Type 2,Pseudogene,Motif count,28
RN7SL126P,Type 1,Pseudogene,Motif count,6
RN7SL126P,Type 2,Pseudogene,Motif count,22
RN7SL128P,Type 1,Pseudogene,Motif count,4
RN7SL131P,Type 1,Pseudogene,Motif count,4
RN7SL131P,Type 2,Pseudogene,Motif count,22
RN7SL132P,Type 1,Pseudogene,Motif count,4
RN7SL134P,Type 1,Pseudogene,Motif count,7
RN7SL134P,Type 2,Pseudogene,Motif count,28
RN7SL134P,Type 3,Pseudogene,Motif count,27
RN7SL135P,Type 1,Pseudogene,Motif count,4
RN7SL140P,Type 1,Pseudogene,Motif count,3
RN7SL143P,Type 1,Pseudogene,Motif count,5
RN7SL146P,Type 1,Pseudogene,Motif count,9
RN7SL147P,Type 1,Pseudogene,Motif count,5
RN7SL148P,Type 1,Pseudogene,Motif count,2
RN7SL150P,Type 1,Pseudogene,Motif count,5
RN7SL151P,Type 1,Pseudogene,Motif count,7
RN7SL153P,Type 1,Pseudogene,Motif count,3
RN7SL154P,Type 1,Pseudogene,Motif count,9
RN7SL154P,Type 2,Pseudogene,Motif count,27
RN7SL155P,Type 1,Pseudogene,Motif count,9
RN7SL155P,Type 2,Pseudogene,Motif count,26
RN7SL156P,Type 1,Pseudogene,Motif count,5
RN7SL159P,Type 1,Pseudogene,Motif count,6
RN7SL15P,Type 1,Pseudogene,Motif count,3
RN7SL162P,Type 1,Pseudogene,Motif count,2
RN7SL163P,Type 1,Pseudogene,Motif count,3
RN7SL163P,Type 2,Pseudogene,Motif count,26
RN7SL163P,Type 3,Pseudogene,Motif count,28
RN7SL167P,Type 1,Pseudogene,Motif count,7
RN7SL168P,Type 1,Pseudogene,Motif count,2
RN7SL170P,Type 1,Pseudogene,Motif count,7
RN7SL172P,Type 1,Pseudogene,Motif count,1
RN7SL173P,Type 1,Pseudogene,Motif count,4
RN7SL176P,Type 1,Pseudogene,Motif count,4
RN7SL178P,Type 1,Pseudogene,Motif count,4
RN7SL181P,Type 1,Pseudogene,Motif count,8
RN7SL182P,Type 1,Pseudogene,Motif count,2
RN7SL186P,Type 1,Pseudogene,Motif count,2
RN7SL187P,Type 1,Pseudogene,Motif count,4
RN7SL18P,Type 1,Pseudogene,Motif count,5
RN7SL190P,Type 1,Pseudogene,Motif count,8
RN7SL190P,Type 2,Pseudogene,Motif count,26
RN7SL197P,Type 1,Pseudogene,Motif count,6
RN7SL198P,Type 1,Pseudogene,Motif count,10
RN7SL198P,Type 2,Pseudogene,Motif count,25
RN7SL19P,Type 1,Pseudogene,Motif count,2
RN7SL2,Type 1,Functional,Motif count,206
RN7SL2,Type 2,Functional,Motif count,1065
RN7SL2,Type 3,Functional,Motif count,1357
RN7SL202P,Type 1,Pseudogene,Motif count,12
RN7SL202P,Type 2,Pseudogene,Motif count,26
RN7SL203P,Type 1,Pseudogene,Motif count,2
RN7SL204P,Type 1,Pseudogene,Motif count,10
RN7SL204P,Type 2,Pseudogene,Motif count,25
RN7SL205P,Type 1,Pseudogene,Motif count,4
RN7SL208P,Type 1,Pseudogene,Motif count,1
RN7SL210P,Type 1,Pseudogene,Motif count,2
RN7SL213P,Type 1,Pseudogene,Motif count,5
RN7SL217P,Type 1,Pseudogene,Motif count,11
RN7SL222P,Type 1,Pseudogene,Motif count,3
RN7SL225P,Type 1,Pseudogene,Motif count,2
RN7SL229P,Type 1,Pseudogene,Motif count,5
RN7SL22P,Type 1,Pseudogene,Motif count,2
RN7SL230P,Type 1,Pseudogene,Motif count,1
RN7SL234P,Type 1,Pseudogene,Motif count,6
RN7SL237P,Type 1,Pseudogene,Motif count,5
RN7SL239P,Type 1,Pseudogene,Motif count,4
RN7SL248P,Type 1,Pseudogene,Motif count,9
RN7SL250P,Type 1,Pseudogene,Motif count,3
RN7SL251P,Type 1,Pseudogene,Motif count,4
RN7SL253P,Type 1,Pseudogene,Motif count,3
RN7SL254P,Type 1,Pseudogene,Motif count,7
RN7SL255P,Type 1,Pseudogene,Motif count,4
RN7SL25P,Type 1,Pseudogene,Motif count,13
RN7SL25P,Type 2,Pseudogene,Motif count,22
RN7SL260P,Type 1,Pseudogene,Motif count,5
RN7SL261P,Type 1,Pseudogene,Motif count,2
RN7SL262P,Type 1,Pseudogene,Motif count,3
RN7SL263P,Type 1,Pseudogene,Motif count,3
RN7SL267P,Type 1,Pseudogene,Motif count,5
RN7SL269P,Type 1,Pseudogene,Motif count,7
RN7SL26P,Type 1,Pseudogene,Motif count,7
RN7SL26P,Type 2,Pseudogene,Motif count,23
RN7SL271P,Type 1,Pseudogene,Motif count,1
RN7SL272P,Type 1,Pseudogene,Motif count,9
RN7SL274P,Type 1,Pseudogene,Motif count,7
RN7SL274P,Type 2,Pseudogene,Motif count,24
RN7SL274P,Type 3,Pseudogene,Motif count,27
RN7SL275P,Type 1,Pseudogene,Motif count,6
RN7SL275P,Type 2,Pseudogene,Motif count,27
RN7SL275P,Type 3,Pseudogene,Motif count,28
RN7SL278P,Type 1,Pseudogene,Motif count,3
RN7SL279P,Type 1,Pseudogene,Motif count,11
RN7SL279P,Type 2,Pseudogene,Motif count,22
RN7SL280P,Type 1,Pseudogene,Motif count,7
RN7SL282P,Type 1,Pseudogene,Motif count,3
RN7SL28P,Type 1,Pseudogene,Motif count,1
RN7SL290P,Type 1,Pseudogene,Motif count,2
RN7SL299P,Type 1,Pseudogene,Motif count,2
RN7SL3,Type 1,Functional,Motif count,210
RN7SL3,Type 2,Functional,Motif count,1276
RN7SL3,Type 3,Functional,Motif count,1579
RN7SL300P,Type 1,Pseudogene,Motif count,5
RN7SL303P,Type 1,Pseudogene,Motif count,1
RN7SL304P,Type 1,Pseudogene,Motif count,4
RN7SL305P,Type 1,Pseudogene,Motif count,1
RN7SL30P,Type 1,Pseudogene,Motif count,5
RN7SL310P,Type 1,Pseudogene,Motif count,10
RN7SL311P,Type 1,Pseudogene,Motif count,2
RN7SL313P,Type 1,Pseudogene,Motif count,2
RN7SL317P,Type 1,Pseudogene,Motif count,12
RN7SL318P,Type 1,Pseudogene,Motif count,4
RN7SL320P,Type 1,Pseudogene,Motif count,3
RN7SL321P,Type 1,Pseudogene,Motif count,2
RN7SL323P,Type 1,Pseudogene,Motif count,6
RN7SL323P,Type 2,Pseudogene,Motif count,21
RN7SL326P,Type 1,Pseudogene,Motif count,4
RN7SL328P,Type 1,Pseudogene,Motif count,5
RN7SL32P,Type 1,Pseudogene,Motif count,12
RN7SL32P,Type 2,Pseudogene,Motif count,27
RN7SL32P,Type 3,Pseudogene,Motif count,29
RN7SL334P,Type 1,Pseudogene,Motif count,4
RN7SL339P,Type 1,Pseudogene,Motif count,6
RN7SL339P,Type 2,Pseudogene,Motif count,28
RN7SL339P,Type 3,Pseudogene,Motif count,28
RN7SL33P,Type 1,Pseudogene,Motif count,8
RN7SL340P,Type 1,Pseudogene,Motif count,1
RN7SL341P,Type 1,Pseudogene,Motif count,3
RN7SL342P,Type 1,Pseudogene,Motif count,1
RN7SL343P,Type 1,Pseudogene,Motif count,1
RN7SL344P,Type 1,Pseudogene,Motif count,8
RN7SL353P,Type 1,Pseudogene,Motif count,4
RN7SL353P,Type 2,Pseudogene,Motif count,25
RN7SL353P,Type 3,Pseudogene,Motif count,27
RN7SL354P,Type 1,Pseudogene,Motif count,5
RN7SL356P,Type 1,Pseudogene,Motif count,7
RN7SL356P,Type 2,Pseudogene,Motif count,25
RN7SL359P,Type 1,Pseudogene,Motif count,4
RN7SL35P,Type 1,Pseudogene,Motif count,4
RN7SL361P,Type 1,Pseudogene,Motif count,4
RN7SL363P,Type 1,Pseudogene,Motif count,3
RN7SL364P,Type 1,Pseudogene,Motif count,1
RN7SL368P,Type 1,Pseudogene,Motif count,4
RN7SL369P,Type 1,Pseudogene,Motif count,1
RN7SL36P,Type 1,Pseudogene,Motif count,4
RN7SL371P,Type 1,Pseudogene,Motif count,9
RN7SL371P,Type 2,Pseudogene,Motif count,27
RN7SL376P,Type 2,Pseudogene,Motif count,25
RN7SL377P,Type 1,Pseudogene,Motif count,9
RN7SL377P,Type 2,Pseudogene,Motif count,25
RN7SL382P,Type 1,Pseudogene,Motif count,3
RN7SL385P,Type 1,Pseudogene,Motif count,2
RN7SL386P,Type 1,Pseudogene,Motif count,2
RN7SL387P,Type 1,Pseudogene,Motif count,9
RN7SL387P,Type 2,Pseudogene,Motif count,24
RN7SL388P,Type 1,Pseudogene,Motif count,5
RN7SL38P,Type 1,Pseudogene,Motif count,8
RN7SL391P,Type 1,Pseudogene,Motif count,4
RN7SL391P,Type 2,Pseudogene,Motif count,28
RN7SL391P,Type 3,Pseudogene,Motif count,29
RN7SL392P,Type 1,Pseudogene,Motif count,4
RN7SL39P,Type 1,Pseudogene,Motif count,1
RN7SL400P,Type 1,Pseudogene,Motif count,4
RN7SL401P,Type 1,Pseudogene,Motif count,6
RN7SL403P,Type 1,Pseudogene,Motif count,4
RN7SL405P,Type 1,Pseudogene,Motif count,6
RN7SL405P,Type 2,Pseudogene,Motif count,23
RN7SL408P,Type 1,Pseudogene,Motif count,2
RN7SL411P,Type 1,Pseudogene,Motif count,4
RN7SL418P,Type 1,Pseudogene,Motif count,7
RN7SL419P,Type 1,Pseudogene,Motif count,4
RN7SL420P,Type 1,Pseudogene,Motif count,4
RN7SL422P,Type 1,Pseudogene,Motif count,1
RN7SL423P,Type 1,Pseudogene,Motif count,3
RN7SL424P,Type 1,Pseudogene,Motif count,6
RN7SL431P,Type 1,Pseudogene,Motif count,1
RN7SL432P,Type 1,Pseudogene,Motif count,5
RN7SL438P,Type 1,Pseudogene,Motif count,8
RN7SL43P,Type 1,Pseudogene,Motif count,5
RN7SL440P,Type 1,Pseudogene,Motif count,2
RN7SL440P,Type 2,Pseudogene,Motif count,28
RN7SL440P,Type 3,Pseudogene,Motif count,29
RN7SL445P,Type 1,Pseudogene,Motif count,1
RN7SL44P,Type 1,Pseudogene,Motif count,6
RN7SL451P,Type 1,Pseudogene,Motif count,4
RN7SL453P,Type 1,Pseudogene,Motif count,9
RN7SL453P,Type 2,Pseudogene,Motif count,21
RN7SL455P,Type 1,Pseudogene,Motif count,8
RN7SL455P,Type 2,Pseudogene,Motif count,23
RN7SL45P,Type 1,Pseudogene,Motif count,2
RN7SL460P,Type 1,Pseudogene,Motif count,12
RN7SL460P,Type 2,Pseudogene,Motif count,26
RN7SL461P,Type 1,Pseudogene,Motif count,3
RN7SL462P,Type 1,Pseudogene,Motif count,1
RN7SL468P,Type 1,Pseudogene,Motif count,2
RN7SL470P,Type 1,Pseudogene,Motif count,10
RN7SL470P,Type 2,Pseudogene,Motif count,24
RN7SL470P,Type 3,Pseudogene,Motif count,27
RN7SL471P,Type 1,Pseudogene,Motif count,8
RN7SL473P,Type 1,Pseudogene,Motif count,3
RN7SL474P,Type 1,Pseudogene,Motif count,10
RN7SL474P,Type 2,Pseudogene,Motif count,27
RN7SL474P,Type 3,Pseudogene,Motif count,27
RN7SL475P,Type 1,Pseudogene,Motif count,8
RN7SL478P,Type 1,Pseudogene,Motif count,10
RN7SL479P,Type 1,Pseudogene,Motif count,3
RN7SL47P,Type 1,Pseudogene,Motif count,5
RN7SL480P,Type 1,Pseudogene,Motif count,3
RN7SL481P,Type 1,Pseudogene,Motif count,5
RN7SL482P,Type 1,Pseudogene,Motif count,4
RN7SL483P,Type 1,Pseudogene,Motif count,2
