Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,Sammon1,Sammon2
RNU1-149P,Pseudogene,RNU1,1.121852610141116,0.282999992370605,0.33,0,-0.3911490945695832,-0.374627090849037
RNU1-150P,Pseudogene,RNU1,1.0077230176801788,-0.197999998927116,0,0,-0.8736888952455263,-1.0994569299468484
RNU1-151P,Pseudogene,RNU1,1.5838832928100035,-0.034000001847744,0.29,0,-0.6141618420657844,-1.0715897127035308
RNU1-15P,Pseudogene,RNU1,1.2784145729612908,-0.133000001311302,0,0,-0.7533013245946418,-1.085698369333633
RNU1-16P,Pseudogene,RNU1,1.1225103567464991,0.306500002741814,4.48,0,-0.7614392672785182,-1.1200041538540078
RNU1-17P,Pseudogene,RNU1,1.2339810972377103,-0.0469999983906746,0,0,-0.7606631298534375,-1.0932996848123402
RNU1-18P,Pseudogene,RNU1,1.080151475359839,0.214000001549721,1.14,0,-0.7908518879352315,-1.1175958986769499
RNU1-19P,Pseudogene,RNU1,1.5156777921626827,-0.0240000002086162,0.75,0,-0.6411075303607262,-1.0765177662337184
RNU1-20P,Pseudogene,RNU1,1.0077230176801788,-0.20099999755621,0,0,-0.8740745942767565,-1.0992899848332653
RNU1-21P,Pseudogene,RNU1,1.3424906824753824,0.246999993920326,0.15,0,-0.6780339924203092,-1.1026006250201483
RNU1-23P,Pseudogene,RNU1,1.399019721353865,0.30799999833107,0,0,-0.6468100863495977,-1.1023523463220175
RNU1-24P,Pseudogene,RNU1,1.4314734703758671,-0.123999997973442,0,0,-0.6887931572795435,-1.07638351480125
RNU1-29P,Pseudogene,RNU1,1.2680769888133556,0.211999997496605,1.59,0,-0.7133189678828569,-1.1054399217828161
RNU1-30P,Pseudogene,RNU1,0.6392812773692297,-0.233999997377396,0.86,0,-1.0308108312147288,-1.1210866817807188
RNU1-31P,Pseudogene,RNU1,0.9275632321828916,-0.19200000166893,0.72,0,-0.9060962137408682,-1.10493091733374
RNU1-33P,Pseudogene,RNU1,0.8361956955218505,-0.114000000059605,0.44,0,-0.46942918083961194,-0.24443733009180926
RNU1-34P,Pseudogene,RNU1,1.1725585892129031,-0.29899999499321,4.09,0,-0.8183986271381181,-1.0833188553806012
RNU1-35P,Pseudogene,RNU1,1.1805115701484947,-0.17399999499321,0,0,-0.7990878688378994,-1.089705855311526
RNU1-36P,Pseudogene,RNU1,1.094656183228604,0.296000003814697,0.44,0,-0.7743316633541838,-1.121197295940758
RNU1-38P,Pseudogene,RNU1,0.9407201574620816,0.305000007152557,0,0,-0.6429068726600349,-0.9011319566599151
RNU1-39P,Pseudogene,RNU1,1.1367583441220122,-0.13400000333786,5,0,-0.8120473297093889,-1.0947392911412295
RNU1-42P,Pseudogene,RNU1,1.5630427231677666,0.266999989748001,0,0,-0.09636518700876,-0.10289557296610544
RNU1-43P,Pseudogene,RNU1,1.473575631269275,-0.0549999997019768,0,0,-0.6625143287950966,-1.0775001642633495
RNU1-44P,Pseudogene,RNU1,0.8736844124046139,-0.208000004291534,0,0,-0.93045386567976,-1.1074955090154845
RNU1-45P,Pseudogene,RNU1,1.330249126100227,0.266999989748001,0,0,-0.6805346275031787,-1.104491778377104
RNU1-46P,Pseudogene,RNU1,1.1436897974398292,0.0255000004544854,0,0,-0.7887380581260106,-1.1030961655736569
RNU1-49P,Pseudogene,RNU1,1.2451912679323929,-0.0780000016093254,0,0,-0.7599995993389708,-1.090868280554307
RNU1-51P,Pseudogene,RNU1,1.48015409390887,0.305000007152557,1.08,0,0.13915446148126687,-0.17370478477915288
RNU1-54P,Pseudogene,RNU1,0.9551927752691908,0.309499993920326,0,0,-0.8303292593134404,-1.1308814718279145
RNU1-55P,Pseudogene,RNU1,1.165137332319151,0.30799999833107,0.05,0,0.45349749035739967,0.9439919680069606
RNU1-56P,Pseudogene,RNU1,0.7836393056532164,0.0279999997001141,0.57,0,-0.7800243452725011,-0.8535852356848915
RNU1-57P,Pseudogene,RNU1,1.0043648020355127,0.319000005722046,0.37,0,-0.808755802641644,-1.128257836053816
RNU1-58P,Pseudogene,RNU1,1.2572531788261518,0.30799999833107,0.12,0,-0.7054895332192009,-1.111436158064206
RNU1-62P,Pseudogene,RNU1,1.1436897974398292,0.284000009298325,0,0,0.5300319157200334,0.4279015200551673
RNU1-63P,Pseudogene,RNU1,1.016613153279848,-0.131500001996756,0,0,-0.8614787323803236,-1.102563393586837
RNU1-65P,Pseudogene,RNU1,1.5020230372783343,-0.142000004649162,0,0,-0.6619021383664585,-1.0708674741185782
RNU1-67P,Pseudogene,RNU1,0.8048187463465466,0.214000001549721,10.7,0,-0.22830741624553996,0.2797130618119071
RNU1-68P,Pseudogene,RNU1,1.2133208353357092,-0.0645000003278255,1.44,0,-0.771453009145452,-1.093661584143086
RNU1-6P,Pseudogene,RNU1,1.0613253058546563,0.296999990940094,0.69,0,-0.5946821246303265,-0.7579312755509497
RNU1-70P,Pseudogene,RNU1,1.0589720346665086,-0.129000000655651,3.78,0,-0.8436070914211204,-1.0999972896998305
RNU1-72P,Pseudogene,RNU1,0.9534901143507074,-0.217999994754791,7.42,0,-0.8986730221674591,-1.1018482402453937
RNU1-73P,Pseudogene,RNU1,0.995433712586518,0.284000009298325,1.98,0,-0.8169367484838368,-1.1268986993008916
RNU1-74P,Pseudogene,RNU1,0.7312480576223469,-0.109999999403954,0.19,0,-0.6455186272379937,-0.7619119694706936
RNU1-75P,Pseudogene,RNU1,1.103957823425985,-0.17399999499321,0.16,0,-0.8307756979165287,-1.0946152180621729
RNU1-76P,Pseudogene,RNU1,1.2015003462505542,-0.180999994277954,0,0,-0.7912963555613192,-1.0879738436637552
RNU1-77P,Pseudogene,RNU1,1.3078958314572533,0.300999999046326,0.48,0,0.509538210798487,0.9680141515351335
RNU1-78P,Pseudogene,RNU1,1.3051669876956435,0.305000007152557,0,0,-0.49911131927933455,-0.8623249239938185
RNU1-7P,Pseudogene,RNU1,1.5037402892264422,0.214000001549721,0,0,-0.18724714833684625,-0.34838951778707483
RNU1-80P,Pseudogene,RNU1,1.4670380286460751,0.30799999833107,0,0,-0.08511874354660934,0.005652299401093305
RNU1-82P,Pseudogene,RNU1,1.4946267117159788,-0.130999997258186,0.08,0,-0.6635502859247618,-1.0719494273474144
RNU1-83P,Pseudogene,RNU1,1.3131253229864706,-0.250999987125397,2.76,0,-0.7540602568858675,-1.0769568739400959
RNU1-84P,Pseudogene,RNU1,1.080151475359839,0.0649999976158142,0,0,-0.20543548832573424,0.08941966205394569
RNU1-88P,Pseudogene,RNU1,1.13971865230983,0.282999992370605,0,0,-0.7573478869387734,-1.1175894373356683
RNU1-8P,Pseudogene,RNU1,0.7578388960813414,-0.0469999983906746,0,0,-0.4525950428048807,-0.1954998420338234
RNU1-91P,Pseudogene,RNU1,1.150706299264613,-0.229000002145767,3.22,0,-0.81846792033877,-1.0885886651686238
RNU1-93P,Pseudogene,RNU1,0.6576905607017558,-0.0790000036358833,1.08,0,-1.0033064789092363,-1.1284769952580835
RNU1-94P,Pseudogene,RNU1,1.1444243445158986,0.263999998569489,0.7,0,-0.7578345702013465,-1.11624055292583
RNU1-96P,Pseudogene,RNU1,0.8147547802520594,0.214000001549721,0,0,-0.9007126041218805,-1.1346037146481673
RNU1-98P,Pseudogene,RNU1,1.2808266759291422,-0.240000002086163,0,0,-0.7660282862628108,-1.0796267251079612
RNU2-10P,Pseudogene,RNU2,1.3334013752142089,0.119000002741814,0,0,-0.698216254873288,-1.096105412812791
RNU2-12P,Pseudogene,RNU2,1.0130832464976265,0.186000004410744,0,0,-0.8222098175592176,-1.1203423025032557
RNU2-13P,Pseudogene,RNU2,0.7684575826783514,-0.127000004053116,0.44,0,-0.7450017343422417,-0.7026886060720413
RNU2-14P,Pseudogene,RNU2,1.1638712540167198,0.238000005483627,0,0,0.44795586901747153,1.009398938167709
RNU2-16P,Pseudogene,RNU2,1.123756206199048,0.284500002861023,0,0,-0.14330277850364453,0.013519987523983779
RNU2-17P,Pseudogene,RNU2,1.078590884992962,0.421000003814697,0.29,0,-0.76494518632624,-1.1291387939393112
RNU2-18P,Pseudogene,RNU2,1.3722185772666264,-0.153499998152256,0.78,0,1.193859901387495,2.2619743544705573
RNU2-19P,Pseudogene,RNU2,0.7856563952430573,-0.300999999046326,0,0,-0.9788213070025129,-1.107997675149668
RNU2-20P,Pseudogene,RNU2,1.0547583239526523,-0.104999996721745,0,0,-0.8422885656867014,-1.101581711033212
RNU2-21P,Pseudogene,RNU2,0.6836002453570611,0.127500001341105,0,0,-0.9660964579980473,-1.1382306163630316
RNU2-22P,Pseudogene,RNU2,0.6553638252275752,0.30799999833107,1.25,0,1.0888686817332591,1.985617983364577
RNU2-23P,Pseudogene,RNU2,1.0865596138260258,0.214000001549721,0.39,0,-0.7882013718985283,-1.1171813108789244
RNU2-24P,Pseudogene,RNU2,1.457382492464118,0.398999989032745,0,0,1.5902797350023494,2.5649768036711404
RNU2-25P,Pseudogene,RNU2,1.4184680908328773,-0.0280000008642673,10.54,0,-0.6818198881179942,-1.0825550501161805
RNU2-26P,Pseudogene,RNU2,0.9638308822325962,0.305000007152557,0,0,0.6322210314266747,1.168113196515433
RNU2-27P,Pseudogene,RNU2,1.2230381245444182,-0.0794999990612268,1.38,0,-0.7693571861779755,-1.0922098966893572
RNU2-28P,Pseudogene,RNU2,1.249699061439249,-0.23199999332428,0,0,-0.7778885597484151,-1.0820648245891853
RNU2-29P,Pseudogene,RNU2,1.2129432066910355,0.284000009298325,0,0,-0.7269097025735469,-1.11295063837476
RNU2-30P,Pseudogene,RNU2,1.3056148830242968,0.165999993681908,0.46,0,2.2795399539903447,3.509494086987016
RNU2-31P,Pseudogene,RNU2,1.0756423041154524,0.0120000001043081,0,0,-0.8186362052479341,-1.1067114789297863
RNU2-32P,Pseudogene,RNU2,0.9820163705766074,-0.0799999982118607,0.08,0,-0.6476582438245405,-0.7807125108961376
RNU2-33P,Pseudogene,RNU2,1.230172513604261,-0.212999999523163,0.43,0,-0.609830443921938,-0.8055074107056103
RNU2-34P,Pseudogene,RNU2,0.8037685261468772,-0.0309999994933605,0,0,-0.9366893792602441,-1.1217658137011428
RNU2-35P,Pseudogene,RNU2,0.7827443997084278,-0.0820000022649765,0.73,0,-0.3173271977770105,0.15267411759804045
RNU2-36P,Pseudogene,RNU2,1.254798695736776,0.206000000238419,0.18,0,1.6518394039724045,2.583893856203491
RNU2-37P,Pseudogene,RNU2,0.9026988733925584,0.30799999833107,0.44,0,-0.8522503743334735,-1.1341660594117515
RNU2-38P,Pseudogene,RNU2,0.9233163765547988,-0.0149999996647239,0,0,-0.8851503670239355,-1.1149845361240298
RNU2-39P,Pseudogene,RNU2,0.6139898463621979,-0.010499999858439,0,0,-1.0126140243237827,-1.1350613533087088
RNU2-3P,Pseudogene,RNU2,1.327540649112821,0.214000001549721,0,0,-0.6884552328870109,-1.101733596319494
RNU2-40P,Pseudogene,RNU2,1.4177258260025094,0.156000003218651,0,0,-0.658563871127437,-1.0927446582731066
RNU2-41P,Pseudogene,RNU2,0.8781138894200936,-0.0050000001210719,0,0,-0.9025803090493186,-1.118436149339337
RNU2-42P,Pseudogene,RNU2,1.4139619521281666,-0.209999993443489,3.41,0,-0.7070608601279947,-1.0727624122793429
RNU2-43P,Pseudogene,RNU2,1.2979653022796658,-0.0685000009834766,0.04,0,-0.7369373452457328,-1.0880091445693256
RNU2-44P,Pseudogene,RNU2,1.342820208907016,0.239999994635582,2.44,0,-0.6787866568612554,-1.1021993948017044
RNU2-45P,Pseudogene,RNU2,1.1144689648255022,-0.0920000001788139,0,0,0.030767464653125593,0.513703482728129
RNU2-46P,Pseudogene,RNU2,1.13731722236396,0.212999999523163,0.44,0,-0.7673219784392963,-1.1138742941421529
RNU2-47P,Pseudogene,RNU2,1.6246680635077144,0.0060000002849847,0,0,-0.12171235719637336,-0.33095207616952077
RNU2-48P,Pseudogene,RNU2,1.327540649112821,0.30799999833107,0.12,0,-0.6763952003690139,-1.1069318235916104
RNU2-50P,Pseudogene,RNU2,1.4088030760486474,0.214000001549721,0,0,-0.6548197538566662,-1.0965260121644287
RNU2-51P,Pseudogene,RNU2,1.0226337049490182,0.30799999833107,0.54,0,-0.4874013486552054,-0.4442893858253616
RNU2-53P,Pseudogene,RNU2,0.9451505506683398,0.0579999983310699,0,0,-0.3544476732583614,-0.15040332018885383
RNU2-54P,Pseudogene,RNU2,1.2614028993985489,-0.160000003874302,0.96,0,-0.7638035828440882,-1.0852993896919778
RNU2-56P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,-0.771876087851384,-1.1217172660539885
RNU2-59P,Pseudogene,RNU2,1.545766509240956,0.146999999880791,0.4,0,0.07106351914237087,0.06227947391685446
RNU2-5P,Pseudogene,RNU2,1.2542935432827758,0.30799999833107,1.5,0,-0.23916240566442679,-0.20054249039222188
RNU2-60P,Pseudogene,RNU2,1.3025356026398056,0.306500002741814,0,0,-0.6869392747337928,-1.1084511948815807
RNU2-61P,Pseudogene,RNU2,1.0911293006406748,0.207000002264977,0,0,0.4398615486495452,0.3867237151899695
RNU2-62P,Pseudogene,RNU2,0.7637905104484723,0.164000004529953,0,0,-0.9282218485416488,-1.1351076871174972
RNU2-64P,Pseudogene,RNU2,1.618508462617001,0.206000000238419,0,0,-0.569041196094847,-1.082638780067142
RNU2-65P,Pseudogene,RNU2,1.351820733550501,0.239999994635582,0.11,0,1.8652795131197801,2.998465815901711
RNU2-68P,Pseudogene,RNU2,0.7819759987924836,0.252000004053116,0.71,0,-0.9094012755946137,-1.1388098782879335
RNU2-69P,Pseudogene,RNU2,1.458839874956582,-0.198499999940395,0,0,0.3969585067404467,0.6426512586884098
RNU2-6P,Pseudogene,RNU2,1.078590884992962,0.28999999165535,2.27,0,0.2486230566236479,0.5154947514323668
RNU2-70P,Pseudogene,RNU2,0.8926128524607979,0.239999994635582,0,0,-0.865148613245772,-1.1310507462142008
RNU2-71P,Pseudogene,RNU2,1.157809424568716,-0.28999999165535,0,0,-0.68477887438879,-0.8881278584918498
RNU2-72P,Pseudogene,RNU2,0.9163031642292292,-0.0309999994933605,1.97,0,-0.890098460041478,-1.1145561236961272
RNU2-7P,Pseudogene,RNU2,1.1122775932654518,0.246999993920326,3.45,0,-0.773311357146023,-1.1173683407092954
RNU2-8P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,-0.7718762220841522,-1.121719216108197
RNU2-9P,Pseudogene,RNU2,0.6228216214921369,0.282999992370605,0,0,-0.9713068541137051,-1.1507251009889434
RNU4-10P,Pseudogene,RNU4,0.9924080782017566,-0.20100000500679,0,0,-0.8804139458845567,-1.1002723474397509
RNU4-11P,Pseudogene,RNU4,1.157809424568716,0.284000009298325,0,0,-0.7497315595080555,-1.1164848284483277
RNU4-12P,Pseudogene,RNU4,1.4993215569954594,0.263999998569489,0,0,-0.6109377497259219,-1.0934864388564878
RNU4-13P,Pseudogene,RNU4,1.3056148830242968,-0.136000007390976,0,0,-0.7424304508134706,-1.0837899881513053
RNU4-14P,Pseudogene,RNU4,1.281182559973579,-0.201999999582767,0.23,0,0.5176099375120468,1.0962887775500534
RNU4-15P,Pseudogene,RNU4,1.133175181492786,0.379000008106232,0,0,-0.7477419920407238,-1.1233178040408054
RNU4-17P,Pseudogene,RNU4,1.0100039661131353,-0.0230000000447035,0,0,-0.8502960493410912,-1.108987707446457
RNU4-18P,Pseudogene,RNU4,1.0723335610099518,-0.172999992966652,0,0,-0.34918203022302574,-0.2699054253723629
RNU4-20P,Pseudogene,RNU4,1.265155993734027,0.30799999833107,0,0,-0.5660786807168081,-0.8880501506371218
RNU4-21P,Pseudogene,RNU4,1.2680769888133556,0.30799999833107,1.24,0,0.7097822809417955,1.4140515476675435
RNU4-22P,Pseudogene,RNU4,1.067137602162732,0.238000005483627,0.58,0,-0.3432827975735845,-0.20752851405202066
RNU4-23P,Pseudogene,RNU4,1.0420284821118444,0.305000007152557,0.74,0,-0.7949608484178812,-1.1250686909173826
RNU4-24P,Pseudogene,RNU4,1.0745137825134128,0.0140000004321337,0.78,0,-0.8188412692384158,-1.1069011658400323
RNU4-25P,Pseudogene,RNU4,1.3742694474228672,0.207000002264977,2.34,0,-0.6700042254341961,-1.098357539701901
RNU4-26P,Pseudogene,RNU4,1.5581734311952813,0.0890000015497208,0,0,-0.6090247123259657,-1.0800395866945542
RNU4-27P,Pseudogene,RNU4,1.3743780939125043,0.282000005245209,0.46,0,-0.4962446931625402,-0.7821528516390042
RNU4-28P,Pseudogene,RNU4,0.9853697230372052,0.187999993562698,0.14,0,0.596934740113049,1.2776332743607388
RNU4-29P,Pseudogene,RNU4,0.9382248785298216,-0.0695000011473894,0.49,0,-0.8859707406401693,-1.1110170414425955
RNU4-30P,Pseudogene,RNU4,1.2873545350099709,0.239999994635582,0.14,0,0.30408010692129445,0.6597978024959754
RNU4-31P,Pseudogene,RNU4,1.428786098403947,0.146999999880791,0,0,-0.6551427833476172,-1.091540215950523
RNU4-32P,Pseudogene,RNU4,1.2563463968724369,0.301999986171722,3.7,0,-0.5671277695067547,-0.8333946147921625
RNU4-33P,Pseudogene,RNU4,0.6946856547412297,0.300000011920929,0,0,-0.9393792040757538,-1.1470575015602886
RNU4-34P,Pseudogene,RNU4,1.2605183251352958,0.214000001549721,0,0,0.8000863804578131,1.5675634107772178
RNU4-35P,Pseudogene,RNU4,1.2563463968724369,0.282999992370605,0,0,-0.5124974818767719,-0.8096662334800926
RNU4-36P,Pseudogene,RNU4,1.399019721353865,0.30799999833107,0.75,0,-0.6468060267622289,-1.1023515944249067
RNU4-37P,Pseudogene,RNU4,1.364561107527415,-0.119500000029802,0,0,-0.7159129701602054,-1.080921493167509
RNU4-38P,Pseudogene,RNU4,0.7808482165695992,-0.0930000022053719,5.73,0,-0.9541029099514317,-1.1198203611484496
RNU4-39P,Pseudogene,RNU4,1.0939931570728023,0.207000002264977,2.41,0,1.5962956657175906,2.8734663106417773
RNU4-41P,Pseudogene,RNU4,1.2873545350099709,-0.0879999995231628,0.86,0,-0.7438285044734633,-1.0876156861756516
RNU4-42P,Pseudogene,RNU4,0.8805874496719812,0.189999997615814,0,0,-0.42732564750155655,-0.2551022036072793
RNU4-43P,Pseudogene,RNU4,1.2169675703495997,-0.398999989032745,0,0,-0.8128612379959902,-1.0749295880103513
RNU4-44P,Pseudogene,RNU4,0.7636615353538341,0.30799999833107,0,0,-0.9098038942260311,-1.1430784142648829
RNU4-45P,Pseudogene,RNU4,1.4534203414798776,0.0035000001080334,0,0,-0.5139185093428588,-0.8280112203527847
RNU4-46P,Pseudogene,RNU4,1.4095071255619152,0.30799999833107,13.15,0,-0.12400851762599903,-0.12966713664903298
RNU4-47P,Pseudogene,RNU4,1.4929647843122915,0.30799999833107,0.66,0,0.7794724503561199,1.2768269876275808
RNU4-48P,Pseudogene,RNU4,0.7633908293859666,-0.10249999910593,0.43,0,-0.9625703542271322,-1.1204004584213956
RNU4-49P,Pseudogene,RNU4,1.5382325212127226,-0.105000000447035,0,0,-0.642166588962513,-1.0705905626510903
RNU4-4P,Pseudogene,RNU4,1.1489031982258795,0.0850000008940697,0.52,0,-0.7789454242672276,-1.1060546284446524
RNU4-50P,Pseudogene,RNU4,1.2563463968724369,-0.158000007271767,0.64,0,-0.7656419477978192,-1.0857319825456557
RNU4-51P,Pseudogene,RNU4,0.6450652508311419,0.30799999833107,0.93,0,-0.958890283923145,-1.150682675896429
RNU4-52P,Pseudogene,RNU4,0.7802628730789173,0.211999997496605,0.55,0,0.22695441734613303,0.7477204748402031
RNU4-53P,Pseudogene,RNU4,1.0420284821118444,0.203999996185303,1.17,0,0.13797174113659105,0.6313358023742468
RNU4-54P,Pseudogene,RNU4,1.1308836239973503,0.115000002086163,0,0,-0.7825563313757565,-1.108868601692741
RNU4-55P,Pseudogene,RNU4,0.9887861509090494,0.305000007152557,0,0,-0.8170008623234882,-1.1284812217004947
RNU4-56P,Pseudogene,RNU4,0.8805874496719812,0.30799999833107,1.02,0,-0.861398423207952,-1.1355872961963196
RNU4-57P,Pseudogene,RNU4,0.7461438513887281,0.0689999982714653,0,0,-0.9477117291930145,-1.1309876297003152
RNU4-58P,Pseudogene,RNU4,1.4041518553280172,0.30799999833107,0,0,-0.6446842574694946,-1.1020207933485533
RNU4-59P,Pseudogene,RNU4,0.9282437628007808,-0.0815000012516975,2.33,0,-0.8916343006110709,-1.110999653988277
RNU4-5P,Pseudogene,RNU4,1.260725817863713,0.151999995112419,0.59,0,-0.7240645851333204,-1.1025911039235459
RNU4-60P,Pseudogene,RNU4,1.36364221115871,-0.0759999975562096,0.96,0,-0.7107088660106471,-1.0833899350383058
RNU4-61P,Pseudogene,RNU4,0.7141628226311706,0.347000002861023,0,0,-0.35776440728013925,-0.13655830021295431
RNU4-62P,Pseudogene,RNU4,1.442808667539477,0.0549999997019768,0.98,0,-0.3367980133654885,-0.4331057797393437
RNU4-64P,Pseudogene,RNU4,0.7954415893983545,-0.216999992728233,0,0,-0.9639963005167171,-1.1120131929719717
RNU4-65P,Pseudogene,RNU4,1.5382325212127226,-0.207000002264976,0,0,-0.6552513324227331,-1.0649513414055987
RNU4-66P,Pseudogene,RNU4,1.2584885049659955,-0.0054999999701976,0,0,-0.7451951731129454,-1.0940251403272936
RNU4-67P,Pseudogene,RNU4,1.0839066953409258,0.282999992370605,0,0,-0.78045135881525185,-1.1211668151438479
RNU4-68P,Pseudogene,RNU4,1.108540938416856,0.204999998211861,0.73,0,0.7067078072531252,0.8773695099487177
RNU4-69P,Pseudogene,RNU4,1.4816722006718532,0.0979999974370003,0,0,-0.6395356588930408,-1.0854408828431337
RNU4-6P,Pseudogene,RNU4,0.8541217066490528,0.305000007152557,0,0,-0.8727423712475179,-1.1371146119723603
RNU4-70P,Pseudogene,RNU4,1.1244911677465947,0.30799999833107,0,0,-0.7604442783401486,-1.1199481656435888
RNU4-71P,Pseudogene,RNU4,0.9836257058282896,-0.0240000002086162,0,0,-0.8613424002774178,-1.1106228017324211
RNU4-72P,Pseudogene,RNU4,1.2247348248328036,0.194999992847443,0.11,0,-0.7334478348944271,-1.1072742277151226
RNU4-73P,Pseudogene,RNU4,1.3056148830242968,0.414000004529953,0,0,-0.6718759382198095,-1.1141955373271264
RNU4-74P,Pseudogene,RNU4,1.0787044328279962,0.305000007152557,0,0,-0.7797814642742164,-1.1227165853621628
RNU4-75P,Pseudogene,RNU4,0.8088805568904728,0.30799999833107,0,0,-0.8910861192723256,-1.140179877777729
RNU4-76P,Pseudogene,RNU4,1.0346382091890651,0.239999994635582,0,0,-0.8063605104457928,-1.121947896680763
RNU4-77P,Pseudogene,RNU4,0.4898424488559952,-0.0195000004023314,0,0,-1.0651549251746142,-1.142523997166246
RNU4-78P,Pseudogene,RNU4,1.461045226241475,-0.0819999985396862,2.87,0,-0.6711532408537793,-1.0768171538740932
RNU4-79P,Pseudogene,RNU4,0.8621985076575545,0.214000001549721,0,0,-0.8810728033271186,-1.1315637239448495
RNU4-7P,Pseudogene,RNU4,1.157809424568716,0.30799999833107,0,0,-0.7466523431298158,-1.11781033280365
RNU4-81P,Pseudogene,RNU4,0.603025741962873,0.0179999992251396,0,0,-1.013498089094263,-1.1373406213618091
RNU4-82P,Pseudogene,RNU4,1.3149407036173275,-0.0274999998509884,1.17,0,-0.7246460374255979,-1.0891916615929653
RNU4-83P,Pseudogene,RNU4,1.2013360946652842,0.30799999833107,0,0,-0.3677440986207473,-0.4026265475412173
RNU4-84P,Pseudogene,RNU4,0.6746947006479569,0.30799999833107,0,0,-0.946628257274249,-1.1487822746790015
RNU4-85P,Pseudogene,RNU4,1.4402019671464517,0.26800000667572,1.28,0,-0.634888192634466,-1.0975010215966055
RNU4-87P,Pseudogene,RNU4,0.6353832207999052,0.207999996840954,1.11,0,-0.9757242370958583,-1.1457750994922788
RNU4-88P,Pseudogene,RNU4,1.37321582913964,0.282000005245209,0,0,-0.6608255158452795,-1.1025665629377115
RNU4-89P,Pseudogene,RNU4,1.331916104954989,0.0579999983310699,0.53,0,-0.7066547696498048,-1.0928292136920406
RNU4-8P,Pseudogene,RNU4,0.7390272922779039,0.301999986171722,0,0,-0.5303365687193163,-0.5323845214250129
RNU4-90P,Pseudogene,RNU4,1.133175181492786,0.214000001549721,0,0,0.5363040798756258,1.071806967224235
RNU5A-2P,Pseudogene,RNU5,0.9282437628007808,-0.0169999997597188,0,0,-0.8833673149364669,-1.1145586271230503
