Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,tSNE1,tSNE2
RNU1-140P,Pseudogene,RNU1,1.2630648268022358,-0.101999998092651,0,0,-23.102729110499748,27.85748791252789
RNU1-141P,Pseudogene,RNU1,0.8133977602982752,0.30799999833107,0.05,0,24.648960520366856,-5.158875315194383
RNU1-142P,Pseudogene,RNU1,0.6707309769915321,-0.003000000026077,0,0,-7.810165419064342,35.99793458156625
RNU1-143P,Pseudogene,RNU1,0.9754147891914526,-0.149999998509884,1.44,0,-17.573495989566602,34.539128349348104
RNU1-146P,Pseudogene,RNU1,1.1999115854621238,0.214000001549721,0.6,0,-15.635232823671574,22.043242345295653
RNU1-148P,Pseudogene,RNU1,1.3507776619968357,-0.0219999998807907,0.38,0,8.862912519688138,23.77777099045429
RNU1-149P,Pseudogene,RNU1,1.121852610141116,0.282999992370605,0.33,0,9.154336107796146,-19.469170653316528
RNU1-14P,Pseudogene,RNU1,1.5539021224474874,0.305000007152557,0,0.01,-15.361404364919586,14.836003265491525
RNU1-150P,Pseudogene,RNU1,1.0077230176801788,-0.197999998927116,0,0,-18.428076457119996,34.30338396041623
RNU1-151P,Pseudogene,RNU1,1.5838832928100035,-0.034000001847744,0.29,0,-25.949221763797713,20.56333030967714
RNU1-15P,Pseudogene,RNU1,1.2784145729612908,-0.133000001311302,0,0,-23.659637126560686,28.517081088751915
RNU1-16P,Pseudogene,RNU1,1.1225103567464991,0.306500002741814,4.48,0,-10.267374991101253,22.01454598662676
RNU1-17P,Pseudogene,RNU1,1.2339810972377103,-0.0469999983906746,0,0,-21.74293328650334,27.32608447120402
RNU1-18P,Pseudogene,RNU1,1.080151475359839,0.214000001549721,1.14,0,-10.406975391575749,23.92012419547297
RNU1-19P,Pseudogene,RNU1,1.5156777921626827,-0.0240000002086162,0.75,0,-25.618619690828417,21.372100750710644
RNU1-2,Functional,RNU1,3.367531070239497,0.284000009298325,3848.22,0.99,4.770228008608625,4.4115825193109375
RNU1-20P,Pseudogene,RNU1,1.0077230176801788,-0.20099999755621,0,0,-18.44963051038326,34.31834739273441
RNU1-21P,Pseudogene,RNU1,1.3424906824753824,0.246999993920326,0.15,0,-18.488799613854276,19.43343387758371
RNU1-22P,Pseudogene,RNU1,1.494893181088722,-0.028999999165535,0,0.01,-30.360390367429538,21.220628328766754
RNU1-23P,Pseudogene,RNU1,1.399019721353865,0.30799999833107,0,0,-19.121473301934472,17.76978269986617
RNU1-24P,Pseudogene,RNU1,1.4314734703758671,-0.123999997973442,0,0,-26.331677934055328,22.975100502725187
RNU1-27P,Pseudogene,RNU1,0,0.898999989032745,6836.16,1,-5.9035212760667175,11.653054711857582
RNU1-28P,Pseudogene,RNU1,0,1.32599997520447,6836.16,1,-5.263629598363686,11.738263100874821
RNU1-29P,Pseudogene,RNU1,1.2680769888133556,0.211999997496605,1.59,0,-16.897297724376013,21.54700312616024
RNU1-3,Functional,RNU1,0,0.446000009775162,3848.22,0.77,-19.192372404930943,6.868307092475539
RNU1-30P,Pseudogene,RNU1,0.6392812773692297,-0.233999997377396,0.86,0,-9.02446210486006,38.12778733587738
RNU1-31P,Pseudogene,RNU1,0.9275632321828916,-0.19200000166893,0.72,0,-16.99651630000878,35.38845185262079
RNU1-32P,Pseudogene,RNU1,1.0704275812050392,-0.0219999998807907,0,0.01,-17.89394247491296,29.59067982996766
RNU1-33P,Pseudogene,RNU1,0.8361956955218505,-0.114000000059605,0.44,0,20.002990491214383,-3.332803872839591
RNU1-34P,Pseudogene,RNU1,1.1725585892129031,-0.29899999499321,4.09,0,-21.944205055116157,32.50760797375896
RNU1-35P,Pseudogene,RNU1,1.1805115701484947,-0.17399999499321,0,0,-21.82175592110998,31.03272885943644
RNU1-36P,Pseudogene,RNU1,1.094656183228604,0.296000003814697,0.44,0,-9.764132556477842,22.49271398296388
RNU1-38P,Pseudogene,RNU1,0.9407201574620816,0.305000007152557,0,0,-9.164644961803996,27.842842928139255
RNU1-39P,Pseudogene,RNU1,1.1367583441220122,-0.13400000333786,5,0,-20.26761380157863,31.18773618126639
RNU1-4,Functional,RNU1,0.0211794406933301,0.266000002622604,4585.69,0.72,-19.252461736003653,6.754405578577645
RNU1-40P,Pseudogene,RNU1,0,-0.116500001400709,0,0.39,-16.35218345530802,9.18347298181601
RNU1-41P,Pseudogene,RNU1,0,0.005499999737367,0.41,0.36,-16.373063390278404,9.181642418579584
RNU1-42P,Pseudogene,RNU1,1.5630427231677666,0.266999989748001,0,0,8.52452668778028,-26.56924205414914
RNU1-43P,Pseudogene,RNU1,1.473575631269275,-0.0549999997019768,0,0,-25.792448203545717,22.10406847934612
RNU1-44P,Pseudogene,RNU1,0.8736844124046139,-0.208000004291534,0,0,-12.213896604557096,38.118454430240305
RNU1-45P,Pseudogene,RNU1,1.330249126100227,0.266999989748001,0,0,-18.035005644520997,19.281162111012886
RNU1-46P,Pseudogene,RNU1,1.1436897974398292,0.0255000004544854,0,0,-18.07158018895375,27.919792940533394
RNU1-47P,Pseudogene,RNU1,1.36380005838769,0.282999992370605,0.43,0.01,-14.216836010347366,15.41721948285687
RNU1-48P,Pseudogene,RNU1,0.042881830539582,-0.0410000011324883,0.41,0.36,-16.359730490828692,9.190069393611157
RNU1-49P,Pseudogene,RNU1,1.2451912679323929,-0.0780000016093254,0,0,-22.368825097256142,27.649384814696795
RNU1-51P,Pseudogene,RNU1,1.48015409390887,0.305000007152557,1.08,0,5.840772607777156,19.987960462892243
RNU1-52P,Pseudogene,RNU1,1.1225103567464991,0.622500002384186,0,0.5,-7.461581649034317,19.71291943824021
RNU1-54P,Pseudogene,RNU1,0.9551927752691908,0.309499993920326,0,0,-6.73494316866528,24.706778031485005
RNU1-55P,Pseudogene,RNU1,1.165137332319151,0.30799999833107,0.05,0,11.059108051218116,19.167476723331344
RNU1-56P,Pseudogene,RNU1,0.7836393056532164,0.0279999997001141,0.57,0,-11.865056585207137,31.998153995049034
RNU1-57P,Pseudogene,RNU1,1.0043648020355127,0.319000005722046,0.37,0,-7.534148415944255,23.830945620798246
RNU1-58P,Pseudogene,RNU1,1.2572531788261518,0.30799999833107,0.12,0,-15.885468204429154,19.87268833078626
RNU1-5P,Pseudogene,RNU1,1.3748986916753505,0.30799999833107,0.69,0.01,-18.600953957748953,18.088677490852824
RNU1-61P,Pseudogene,RNU1,2.461303478718926,0.397000014781952,0.15,0.76,4.415272922153979,3.4034387294520836
RNU1-62P,Pseudogene,RNU1,1.1436897974398292,0.284000009298325,0,0,7.556894775964004,20.158124368542833
RNU1-63P,Pseudogene,RNU1,1.016613153279848,-0.131500001996756,0,0,-18.064326308656835,33.62630540089139
RNU1-64P,Pseudogene,RNU1,1.3211813065630749,0.430000007152557,0.13,0.01,-16.791225705985102,17.759319478379695
RNU1-65P,Pseudogene,RNU1,1.5020230372783343,-0.142000004649162,0,0,-26.843531640632094,22.116362700393637
RNU1-67P,Pseudogene,RNU1,0.8048187463465466,0.214000001549721,10.7,0,24.865023127283685,-8.889769125278082
RNU1-68P,Pseudogene,RNU1,1.2133208353357092,-0.0645000003278255,1.44,0,-21.530716649588403,27.868387395185284
RNU1-6P,Pseudogene,RNU1,1.0613253058546563,0.296999990940094,0.69,0,-19.257749362317572,-11.377979909746072
RNU1-70P,Pseudogene,RNU1,1.0589720346665086,-0.129000000655651,3.78,0,-18.636307350507767,32.760895725121706
RNU1-72P,Pseudogene,RNU1,0.9534901143507074,-0.217999994754791,7.42,0,-17.70929841619996,35.06924811985532
RNU1-73P,Pseudogene,RNU1,0.995433712586518,0.284000009298325,1.98,0,-7.536368652522111,24.20960628490653
RNU1-74P,Pseudogene,RNU1,0.7312480576223469,-0.109999999403954,0.19,0,-12.04807932955624,31.96876615252642
RNU1-75P,Pseudogene,RNU1,1.103957823425985,-0.17399999499321,0.16,0,-20.117323842903442,32.15424806567512
RNU1-76P,Pseudogene,RNU1,1.2015003462505542,-0.180999994277954,0,0,-22.52707228720848,30.708852203523048
RNU1-77P,Pseudogene,RNU1,1.3078958314572533,0.300999999046326,0.48,0,10.415688819448842,17.255021425434176
RNU1-78P,Pseudogene,RNU1,1.3051669876956435,0.305000007152557,0,0,-13.903936991185482,15.706035250317935
RNU1-7P,Pseudogene,RNU1,1.5037402892264422,0.214000001549721,0,0,8.6737889606182,-24.84209981588704
RNU1-80P,Pseudogene,RNU1,1.4670380286460751,0.30799999833107,0,0,13.241328637415918,-25.722443743068354
RNU1-82P,Pseudogene,RNU1,1.4946267117159788,-0.130999997258186,0.08,0,-26.682857641835962,22.174807771660667
RNU1-83P,Pseudogene,RNU1,1.3131253229864706,-0.250999987125397,2.76,0,-24.62095730956675,29.782836512713057
RNU1-84P,Pseudogene,RNU1,1.080151475359839,0.0649999976158142,0,0,16.271486424128216,-7.652744415595259
RNU1-86P,Pseudogene,RNU1,0.0451094581000798,-0.295000001788139,0,0.39,-16.310950519589607,9.1918376881382855
RNU1-88P,Pseudogene,RNU1,1.13971865230983,0.282999992370605,0,0,-10.850021533989752,22.02250738723485
RNU1-89P,Pseudogene,RNU1,1.842611340319725,0.146999999880791,1.18,0.01,-25.876615390154516,17.346834279652732
RNU1-8P,Pseudogene,RNU1,0.7578388960813414,-0.0469999983906746,0,0,18.999214774533836,-3.608209352797468
RNU1-91P,Pseudogene,RNU1,1.150706299264613,-0.229000002145767,3.22,0,-21.376529932356018,32.220878174793725
RNU1-93P,Pseudogene,RNU1,0.6576905607017558,-0.0790000036358833,1.08,0,-8.324566325957141,36.73120618162714
RNU1-94P,Pseudogene,RNU1,1.1444243445158986,0.263999998569489,0.7,0,-11.193700959196045,22.157787536318384
RNU1-95P,Pseudogene,RNU1,0,0.0090000003110617,0,0.39,-16.373617126742936,9.181499661950177
RNU1-96P,Pseudogene,RNU1,0.8147547802520594,0.214000001549721,0,0,-5.6488341095900285,28.184092114036947
RNU1-97P,Pseudogene,RNU1,0,-0.0500000007450581,0,0.39,-16.362697641933323,9.182218410312533
RNU1-98P,Pseudogene,RNU1,1.2808266759291422,-0.240000002086163,0,0,-24.265092177671047,29.9675810011792
RNU2-1,Functional,RNU2,2.235557559140659,0.808000028133392,5154.1,0.97,18.517769056383862,7.952711837939097
RNU2-10P,Pseudogene,RNU2,1.3334013752142089,0.119000002741814,0,0,-20.368048166454223,21.830094753458546
RNU2-12P,Pseudogene,RNU2,1.0130832464976265,0.186000004410744,0,0,-9.805488333987803,24.814924301653225
RNU2-13P,Pseudogene,RNU2,0.7684575826783514,-0.127000004053116,0.44,0,-12.150491010144707,31.952173335628043
RNU2-14P,Pseudogene,RNU2,1.1638712540167198,0.238000005483627,0,0,11.049430382685587,17.368197912444966
RNU2-15P,Pseudogene,RNU2,0.9820163705766074,0.44200000166893,0.4,0.01,-7.028775776640748,21.73366981078463
RNU2-16P,Pseudogene,RNU2,1.123756206199048,0.284500002861023,0,0,13.344950209154252,-17.393057718169946
RNU2-17P,Pseudogene,RNU2,1.078590884992962,0.421000003814697,0.29,0,-8.402087941937959,21.380906731386677
RNU2-18P,Pseudogene,RNU2,1.3722185772666264,-0.153499998152256,0.78,0,25.88638967822761,9.352056911760668
RNU2-19P,Pseudogene,RNU2,0.7856563952430573,-0.300999999046326,0,0,-10.87496447525276,38.675007855025626
RNU2-20P,Pseudogene,RNU2,1.0547583239526523,-0.104999996721745,0,0,-18.49148961974436,32.53808836183675
RNU2-21P,Pseudogene,RNU2,0.6836002453570611,0.127500001341105,0,0,-6.451099498782674,33.73997244834333
RNU2-22P,Pseudogene,RNU2,0.6553638252275752,0.30799999833107,1.25,0,25.052768862437695,22.193905870533516
RNU2-23P,Pseudogene,RNU2,1.0865596138260258,0.214000001549721,0.39,0,-10.513577493335411,23.844556028066137
RNU2-24P,Pseudogene,RNU2,1.457382492464118,0.398999989032745,0,0,28.295019385766135,10.742715285063426
RNU2-25P,Pseudogene,RNU2,1.4184680908328773,-0.0280000008642673,10.54,0,-25.114233757218877,23.010250962039176
RNU2-26P,Pseudogene,RNU2,0.9638308822325962,0.305000007152557,0,0,11.256963343813064,15.391137302541642
RNU2-27P,Pseudogene,RNU2,1.2230381245444182,-0.0794999990612268,1.38,0,-21.91482435837843,27.93759892931056
RNU2-28P,Pseudogene,RNU2,1.249699061439249,-0.23199999332428,0,0,-23.84804701211386,30.203099514848326
RNU2-29P,Pseudogene,RNU2,1.2129432066910355,0.284000009298325,0,0,-14.987560381717122,20.59214340387916
RNU2-2,Functional,RNU2,4.9828238062590815,1.35500001907349,37897.85,1,5.365914065003522,6.132904553290912
RNU2-30P,Pseudogene,RNU2,1.3056148830242968,0.165999993681908,0.46,0,30.605804073372486,9.80084127470105
RNU2-31P,Pseudogene,RNU2,1.0756423041154524,0.0120000001043081,0,0,-17.739857233189532,29.228085457730014
RNU2-32P,Pseudogene,RNU2,0.9820163705766074,-0.0799999982118607,0.08,0,-13.884960502756435,31.43744007757539
RNU2-33P,Pseudogene,RNU2,1.230172513604261,-0.212999999523163,0.43,0,-15.433520203869087,31.2386801863866
RNU2-34P,Pseudogene,RNU2,0.8037685261468772,-0.0309999994933605,0,0,-10.508717216619262,36.024227179972144
RNU2-35P,Pseudogene,RNU2,0.7827443997084278,-0.0820000022649765,0.73,0,19.1050877326446,-4.591113368919315
RNU2-36P,Pseudogene,RNU2,1.254798695736776,0.206000000238419,0.18,0,28.61396308755824,11.736892424586525
RNU2-37P,Pseudogene,RNU2,0.9026988733925584,0.30799999833107,0.44,0,-5.920666753773306,25.778637510544637
RNU2-38P,Pseudogene,RNU2,0.9233163765547988,-0.0149999996647239,0,0,-13.50035530672639,35.59643872252305
RNU2-39P,Pseudogene,RNU2,0.6139898463621979,-0.010499999858439,0,0,-7.290534922747598,36.3125818090902
RNU2-3P,Pseudogene,RNU2,1.327540649112821,0.214000001549721,0,0,-18.639631063625494,20.148194076900662
RNU2-40P,Pseudogene,RNU2,1.4177258260025094,0.156000003218651,0,0,-20.83497044299705,19.98468241755361
RNU2-41P,Pseudogene,RNU2,0.8781138894200936,-0.0050000001210719,0,0,-12.721296731637382,35.621997856124025
RNU2-42P,Pseudogene,RNU2,1.4139619521281666,-0.209999993443489,3.41,0,-27.12587666721328,23.53650257223322
RNU2-43P,Pseudogene,RNU2,1.2979653022796658,-0.0685000009834766,0.04,0,-23.325089458000882,26.549545900161394
RNU2-44P,Pseudogene,RNU2,1.342820208907016,0.239999994635582,2.44,0,-18.576580547661663,19.547524552523246
RNU2-45P,Pseudogene,RNU2,1.1144689648255022,-0.0920000001788139,0,0,20.475467388604372,-11.116101171620956
RNU2-46P,Pseudogene,RNU2,1.13731722236396,0.212999999523163,0.44,0,-11.527529553472164,22.89418901767791
RNU2-47P,Pseudogene,RNU2,1.6246680635077144,0.0060000002849847,0,0,5.08266694662793,-24.666995698961394
RNU2-48P,Pseudogene,RNU2,1.327540649112821,0.30799999833107,0.12,0,-17.533092122680316,18.739892278624154
RNU2-49P,Pseudogene,RNU2,1.3402902577887854,0.30799999833107,0,0.03,-17.82384657026247,18.599855272732373
RNU2-4P,Pseudogene,RNU2,1.3025356026398056,0.78600001335144,1.35,0.54,5.754392312141263,20.02698081616548
RNU2-50P,Pseudogene,RNU2,1.4088030760486474,0.214000001549721,0,0,-20.050401247996056,19.26650568032678
RNU2-51P,Pseudogene,RNU2,1.0226337049490182,0.30799999833107,0.54,0,8.918826650642977,-18.684992877118958
RNU2-52P,Pseudogene,RNU2,0.8774976691468164,0.446000009775162,0.34,0.02,-4.742700696610813,25.68821062528725
RNU2-53P,Pseudogene,RNU2,0.9451505506683398,0.0579999983310699,0,0,21.277773245765587,-3.7776550784907807
RNU2-54P,Pseudogene,RNU2,1.2614028993985489,-0.160000003874302,0.96,0,-23.641873634943472,29.285253222016426
RNU2-55P,Pseudogene,RNU2,1.477205127898017,-0.241999998688698,0,0.01,-27.531196109580343,22.76443746435218
RNU2-56P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,-9.724023230802498,22.34166272538653
RNU2-57P,Pseudogene,RNU2,0.0727419533760449,-0.0829999968409538,0,0.23,21.03180445335273,29.725032165359035
RNU2-58P,Pseudogene,RNU2,1.8790677546279164,0.195999994874001,0.76,0.43,16.032030949806796,9.929993356920592
RNU2-59P,Pseudogene,RNU2,1.545766509240956,0.146999999880791,0.4,0,9.660753484872435,-26.8713794183594
RNU2-5P,Pseudogene,RNU2,1.2542935432827758,0.30799999833107,1.5,0,11.910188054318896,-19.916244496222923
RNU2-60P,Pseudogene,RNU2,1.3025356026398056,0.306500002741814,0,0,-16.967783745742615,19.147004804672886
RNU2-61P,Pseudogene,RNU2,1.0911293006406748,0.207000002264977,0,0,7.4034921285982715,20.576129049548882
RNU2-62P,Pseudogene,RNU2,0.7637905104484723,0.164000004529953,0,0,-6.663548172169113,32.947843728773215
RNU2-63P,Pseudogene,RNU2,4.149832727006819,-0.462999999523163,44.96,0.41,4.616107902841908,4.814749901253818
RNU2-64P,Pseudogene,RNU2,1.618508462617001,0.206000000238419,0,0,-22.91332482873956,17.736150406583622
RNU2-65P,Pseudogene,RNU2,1.351820733550501,0.239999994635582,0.11,0,29.508122063261126,11.027869596480265
RNU2-66P,Pseudogene,RNU2,1.4886121173026348,0.243000000715256,0,0.01,-21.131896577399843,17.80825430859585
RNU2-68P,Pseudogene,RNU2,0.7819759987924836,0.252000004053116,0.71,0,-5.148589332483216,28.486488517274058
RNU2-69P,Pseudogene,RNU2,1.458839874956582,-0.198499999940395,0,0,9.500417951841648,23.891344612170865
RNU2-6P,Pseudogene,RNU2,1.078590884992962,0.28999999165535,2.27,0,7.790786680422554,20.95994182360504
RNU2-70P,Pseudogene,RNU2,0.8926128524607979,0.239999994635582,0,0,-6.301467637136195,26.343444962790407
RNU2-71P,Pseudogene,RNU2,1.157809424568716,-0.28999999165535,0,0,-15.58497966237433,31.32235512508184
RNU2-72P,Pseudogene,RNU2,0.9163031642292292,-0.0309999994933605,1.97,0,-13.4486905271695,35.77950121919053
RNU2-7P,Pseudogene,RNU2,1.1122775932654518,0.246999993920326,3.45,0,-10.717406465320998,22.86551799223434
RNU2-8P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,-9.724023237387788,22.3416627179123
RNU2-9P,Pseudogene,RNU2,0.6228216214921369,0.282999992370605,0,0,-4.770893849932871,31.62534517362963
RNU4-1,Functional,RNU4,4.5274340946928415,2.8840000629425,2273.06,1,4.830335591779558,6.657049528299638
RNU4-10P,Pseudogene,RNU4,0.9924080782017566,-0.20100000500679,0,0,-18.21836591423706,34.49896418876933
RNU4-11P,Pseudogene,RNU4,1.157809424568716,0.284000009298325,0,0,-11.267982025232882,21.828465545024365
RNU4-12P,Pseudogene,RNU4,1.4993215569954594,0.263999998569489,0,0,-21.114354829880202,17.56102352891276
RNU4-13P,Pseudogene,RNU4,1.3056148830242968,-0.136000007390976,0,0,-23.980234338271067,28.16530804806526
RNU4-14P,Pseudogene,RNU4,1.281182559973579,-0.201999999582767,0.23,0,10.455048217830502,23.448960137021306
RNU4-15P,Pseudogene,RNU4,1.133175181492786,0.379000008106232,0,0,-9.673083073517935,21.306851574435733
RNU4-16P,Pseudogene,RNU4,1.0592724522649954,-0.101000003516674,0,0.01,-14.359722639232677,31.288833628973887
RNU4-17P,Pseudogene,RNU4,1.0100039661131353,-0.0230000000447035,0,0,-14.796818703500719,34.942640798008476
RNU4-18P,Pseudogene,RNU4,1.0723335610099518,-0.172999992966652,0,0,11.619547749461846,-6.081056933427166
RNU4-2,Functional,RNU4,3.928567150950402,2.83999991416931,9032.84,1,5.018533968320127,6.769682990903729
RNU4-20P,Pseudogene,RNU4,1.265155993734027,0.30799999833107,0,0,-13.746714236960608,15.864412536603218
RNU4-21P,Pseudogene,RNU4,1.2680769888133556,0.30799999833107,1.24,0,19.071392093948088,20.48193236208186
RNU4-22P,Pseudogene,RNU4,1.067137602162732,0.238000005483627,0.58,0,11.930631514457087,-16.74500817583515
RNU4-23P,Pseudogene,RNU4,1.0420284821118444,0.305000007152557,0.74,0,-8.614212603848761,23.18646353958637
RNU4-24P,Pseudogene,RNU4,1.0745137825134128,0.0140000004321337,0.78,0,-17.71909489614536,29.227151850595288
RNU4-25P,Pseudogene,RNU4,1.3742694474228672,0.207000002264977,2.34,0,-19.56176740769048,19.686987399368494
RNU4-26P,Pseudogene,RNU4,1.5581734311952813,0.0890000015497208,0,0,-24.75897591876426,20.109732506023043
RNU4-27P,Pseudogene,RNU4,1.3743780939125043,0.282000005245209,0.46,0,-14.253766676153619,15.419030053830873
RNU4-28P,Pseudogene,RNU4,0.9853697230372052,0.187999993562698,0.14,0,19.104632924915293,21.617982533249563
RNU4-29P,Pseudogene,RNU4,0.9382248785298216,-0.0695000011473894,0.49,0,-13.980300724747034,35.98447172767015
RNU4-30P,Pseudogene,RNU4,1.2873545350099709,0.239999994635582,0.14,0,8.16487858244846,19.141922683783513
RNU4-31P,Pseudogene,RNU4,1.428786098403947,0.146999999880791,0,0,-21.049582776983367,19.980271900390644
RNU4-32P,Pseudogene,RNU4,1.2563463968724369,0.301999986171722,3.7,0,-15.597938049030526,-14.230139293138034
RNU4-33P,Pseudogene,RNU4,0.6946856547412297,0.300000011920929,0,0,-4.945410627091892,30.896987773249037
RNU4-34P,Pseudogene,RNU4,1.2605183251352958,0.214000001549721,0,0,18.871233923376366,19.3264191096703
RNU4-35P,Pseudogene,RNU4,1.2563463968724369,0.282999992370605,0,0,-13.727611643680332,15.820013456244785
RNU4-36P,Pseudogene,RNU4,1.399019721353865,0.30799999833107,0.75,0,-19.121295576695207,17.769687524474122
RNU4-37P,Pseudogene,RNU4,1.364561107527415,-0.119500000029802,0,0,-24.995461129849932,24.853253076704924
RNU4-38P,Pseudogene,RNU4,0.7808482165695992,-0.0930000022053719,5.73,0,-10.223873214750405,36.68198997731782
RNU4-39P,Pseudogene,RNU4,1.0939931570728023,0.207000002264977,2.41,0,29.77979689037791,10.885834208260802
RNU4-40P,Pseudogene,RNU4,1.0687471611403534,-0.0790000036358833,0.84,0.01,-14.4020145508477,31.237929357779315
RNU4-41P,Pseudogene,RNU4,1.2873545350099709,-0.0879999995231628,0.86,0,-23.35753332187742,27.183976572657016
RNU4-42P,Pseudogene,RNU4,0.8805874496719812,0.189999997615814,0,0,22.609492612856307,-3.6717589799131813
RNU4-43P,Pseudogene,RNU4,1.2169675703495997,-0.398999989032745,0,0,-22.656935089088275,32.44640994761417
RNU4-44P,Pseudogene,RNU4,0.7636615353538341,0.30799999833107,0,0,-4.910696751569505,28.692598337876515
RNU4-45P,Pseudogene,RNU4,1.4534203414798776,0.0035000001080334,0,0,-30.405258545110996,21.312890400888055
RNU4-46P,Pseudogene,RNU4,1.4095071255619152,0.30799999833107,13.15,0,9.56390320782396,-24.118129118286003
RNU4-47P,Pseudogene,RNU4,1.4929647843122915,0.30799999833107,0.66,0,11.889450960311267,13.208496179040848
RNU4-48P,Pseudogene,RNU4,0.7633908293859666,-0.10249999910593,0.43,0,-9.950363155486906,36.80330243230833
RNU4-49P,Pseudogene,RNU4,1.5382325212127226,-0.105000000447035,0,0,-26.58328600623391,21.478951748813216
RNU4-4P,Pseudogene,RNU4,1.1489031982258795,0.0850000008940697,0.52,0,-17.26226067212038,26.269400019203815
RNU4-50P,Pseudogene,RNU4,1.2563463968724369,-0.158000007271767,0.64,0,-23.554325909440013,29.31117202843339
RNU4-51P,Pseudogene,RNU4,0.6450652508311419,0.30799999833107,0.93,0,-4.783229373328283,31.370132780787877
RNU4-52P,Pseudogene,RNU4,0.7802628730789173,0.211999997496605,0.55,0,17.404098945511944,29.86817935860345
RNU4-53P,Pseudogene,RNU4,1.0420284821118444,0.203999996185303,1.17,0,31.37611676544182,-17.198635362219854
RNU4-54P,Pseudogene,RNU4,1.1308836239973503,0.115000002086163,0,0,-16.591831507901148,25.894318317084572
RNU4-55P,Pseudogene,RNU4,0.9887861509090494,0.305000007152557,0,0,-7.303214187220023,24.212574359748963
RNU4-56P,Pseudogene,RNU4,0.8805874496719812,0.30799999833107,1.02,0,-5.594441404229481,26.29751255931366
RNU4-57P,Pseudogene,RNU4,0.7461438513887281,0.0689999982714653,0,0,-7.817746713768426,34.51154210184654
