Gene,Gene_Type,Gene_group,enrichment_intergenic_dbsnp,PhyloP100_median,ENCODE_max,functional_probability,MDS1,MDS2
RNU1-16P,Pseudogene,RNU1,1.1225103567464991,0.306500002741814,4.48,0,-0.7614388974536181,-1.1200048021767686
RNU1-17P,Pseudogene,RNU1,1.2339810972377103,-0.0469999983906746,0,0,-0.7606633572400487,-1.0933011142730036
RNU1-18P,Pseudogene,RNU1,1.080151475359839,0.214000001549721,1.14,0,-0.7908519920757772,-1.117596072248225
RNU1-19P,Pseudogene,RNU1,1.5156777921626827,-0.0240000002086162,0.75,0,-0.6411076202203637,-1.076517164013443
RNU1-20P,Pseudogene,RNU1,1.0077230176801788,-0.20099999755621,0,0,-0.8740731342211443,-1.0992905247110636
RNU1-21P,Pseudogene,RNU1,1.3424906824753824,0.246999993920326,0.15,0,-0.6780331671131374,-1.102600790006316
RNU1-23P,Pseudogene,RNU1,1.399019721353865,0.30799999833107,0,0,-0.6468097155905519,-1.102349284469542
RNU1-24P,Pseudogene,RNU1,1.4314734703758671,-0.123999997973442,0,0,-0.6887932563514433,-1.0763838244937407
RNU1-29P,Pseudogene,RNU1,1.2680769888133556,0.211999997496605,1.59,0,-0.7133190304813761,-1.1054400869331809
RNU1-30P,Pseudogene,RNU1,0.6392812773692297,-0.233999997377396,0.86,0,-1.0308113305687117,-1.1210869939161368
RNU1-31P,Pseudogene,RNU1,0.9275632321828916,-0.19200000166893,0.72,0,-0.9060960764885162,-1.104928788059213
RNU1-33P,Pseudogene,RNU1,0.8361956955218505,-0.114000000059605,0.44,0,-0.4694288770715027,-0.24443502912894902
RNU1-34P,Pseudogene,RNU1,1.1725585892129031,-0.29899999499321,4.09,0,-0.8183977983924635,-1.0833175996877629
RNU1-35P,Pseudogene,RNU1,1.1805115701484947,-0.17399999499321,0,0,-0.799087497718515,-1.0897069478560724
RNU1-36P,Pseudogene,RNU1,1.094656183228604,0.296000003814697,0.44,0,-0.7743319599103684,-1.1211979460234862
RNU1-38P,Pseudogene,RNU1,0.9407201574620816,0.305000007152557,0,0,-0.6429041115775369,-0.901132190753127
RNU1-39P,Pseudogene,RNU1,1.1367583441220122,-0.13400000333786,5,0,-0.8120465788521187,-1.0947379668409543
RNU1-42P,Pseudogene,RNU1,1.5630427231677666,0.266999989748001,0,0,-0.09636563517979901,-0.10289493676105549
RNU1-43P,Pseudogene,RNU1,1.473575631269275,-0.0549999997019768,0,0,-0.6625146443053195,-1.0774998921367573
RNU1-44P,Pseudogene,RNU1,0.8736844124046139,-0.208000004291534,0,0,-0.9304534670867134,-1.107495874217455
RNU1-45P,Pseudogene,RNU1,1.330249126100227,0.266999989748001,0,0,-0.6805353014444199,-1.1044908680135341
RNU1-46P,Pseudogene,RNU1,1.1436897974398292,0.0255000004544854,0,0,-0.7887371626662937,-1.1030976113948654
RNU1-49P,Pseudogene,RNU1,1.2451912679323929,-0.0780000016093254,0,0,-0.7599998385042382,-1.0908685264614182
RNU1-51P,Pseudogene,RNU1,1.48015409390887,0.305000007152557,1.08,0,0.13915747605980688,-0.17370418341899463
RNU1-54P,Pseudogene,RNU1,0.9551927752691908,0.309499993920326,0,0,-0.8303298233412817,-1.1308831866048263
RNU1-55P,Pseudogene,RNU1,1.165137332319151,0.30799999833107,0.05,0,0.4534988274242151,0.9439907643232935
RNU1-56P,Pseudogene,RNU1,0.7836393056532164,0.0279999997001141,0.57,0,-0.7800224444719147,-0.853585299157909
RNU1-57P,Pseudogene,RNU1,1.0043648020355127,0.319000005722046,0.37,0,-0.808755956491155,-1.1282574137664079
RNU1-58P,Pseudogene,RNU1,1.2572531788261518,0.30799999833107,0.12,0,-0.7054904079116792,-1.1114374030523912
RNU1-62P,Pseudogene,RNU1,1.1436897974398292,0.284000009298325,0,0,0.5300316579023576,0.4279013002587636
RNU1-63P,Pseudogene,RNU1,1.016613153279848,-0.131500001996756,0,0,-0.8614777791405631,-1.1025632520516997
RNU1-65P,Pseudogene,RNU1,1.5020230372783343,-0.142000004649162,0,0,-0.66189984024132,-1.0708661223113705
RNU1-67P,Pseudogene,RNU1,0.8048187463465466,0.214000001549721,10.7,0,-0.22830868913719002,0.2797137583271938
RNU1-68P,Pseudogene,RNU1,1.2133208353357092,-0.0645000003278255,1.44,0,-0.7714542510893847,-1.093662180580462
RNU1-6P,Pseudogene,RNU1,1.0613253058546563,0.296999990940094,0.69,0,-0.5946823923171262,-0.7579314350007901
RNU1-70P,Pseudogene,RNU1,1.0589720346665086,-0.129000000655651,3.78,0,-0.8436081106713931,-1.0999972223445929
RNU1-72P,Pseudogene,RNU1,0.9534901143507074,-0.217999994754791,7.42,0,-0.8986721452978467,-1.1018489430737541
RNU1-73P,Pseudogene,RNU1,0.995433712586518,0.284000009298325,1.98,0,-0.8169360237909999,-1.1268995303360412
RNU1-74P,Pseudogene,RNU1,0.7312480576223469,-0.109999999403954,0.19,0,-0.6455187551374535,-0.7619110300210619
RNU1-75P,Pseudogene,RNU1,1.103957823425985,-0.17399999499321,0.16,0,-0.8307746059120552,-1.0946147997428959
RNU1-76P,Pseudogene,RNU1,1.2015003462505542,-0.180999994277954,0,0,-0.7912976112041459,-1.0879744624732157
RNU1-77P,Pseudogene,RNU1,1.3078958314572533,0.300999999046326,0.48,0,0.5095393458948083,0.9680151485711069
RNU1-78P,Pseudogene,RNU1,1.3051669876956435,0.305000007152557,0,0,-0.4991121818059096,-0.862325624809776
RNU1-7P,Pseudogene,RNU1,1.5037402892264422,0.214000001549721,0,0,-0.1872481925405897,-0.3483898922894113
RNU1-80P,Pseudogene,RNU1,1.4670380286460751,0.30799999833107,0,0,-0.08511841625358949,0.0056541571555011536
RNU1-82P,Pseudogene,RNU1,1.4946267117159788,-0.130999997258186,0.08,0,-0.6635499784369876,-1.0719486742165822
RNU1-83P,Pseudogene,RNU1,1.3131253229864706,-0.250999987125397,2.76,0,-0.7540612268119279,-1.0769567324290659
RNU1-84P,Pseudogene,RNU1,1.080151475359839,0.0649999976158142,0,0,-0.2054352198872209,0.08941928594956035
RNU1-88P,Pseudogene,RNU1,1.13971865230983,0.282999992370605,0,0,-0.7573487698355662,-1.117589216153705
RNU1-8P,Pseudogene,RNU1,0.7578388960813414,-0.0469999983906746,0,0,-0.4525953237338189,-0.19549976504702427
RNU1-91P,Pseudogene,RNU1,1.150706299264613,-0.229000002145767,3.22,0,-0.8184670140816724,-1.0885861192275688
RNU1-93P,Pseudogene,RNU1,0.6576905607017558,-0.0790000036358833,1.08,0,-1.0033068722779936,-1.1284774048944355
RNU1-94P,Pseudogene,RNU1,1.1444243445158986,0.263999998569489,0.7,0,-0.7578354174631535,-1.1162391212676828
RNU1-96P,Pseudogene,RNU1,0.8147547802520594,0.214000001549721,0,0,-0.9007118445087837,-1.1346056431541829
RNU1-98P,Pseudogene,RNU1,1.2808266759291422,-0.240000002086163,0,0,-0.7660307349152634,-1.0796272683936414
RNU2-10P,Pseudogene,RNU2,1.3334013752142089,0.119000002741814,0,0,-0.6982159710082874,-1.0961059553928283
RNU2-12P,Pseudogene,RNU2,1.0130832464976265,0.186000004410744,0,0,-0.8222099286983658,-1.1203439411125733
RNU2-13P,Pseudogene,RNU2,0.7684575826783514,-0.127000004053116,0.44,0,-0.7450031055027255,-0.7026890974150264
RNU2-14P,Pseudogene,RNU2,1.1638712540167198,0.238000005483627,0,0,0.44795622990177797,1.0093984398095692
RNU2-16P,Pseudogene,RNU2,1.123756206199048,0.284500002861023,0,0,-0.14330286320245367,0.013518249135209551
RNU2-17P,Pseudogene,RNU2,1.078590884992962,0.421000003814697,0.29,0,-0.7649474228666785,-1.1291385353518824
RNU2-18P,Pseudogene,RNU2,1.3722185772666264,-0.153499998152256,0.78,0,1.1938592319649335,2.261975595107519
RNU2-19P,Pseudogene,RNU2,0.7856563952430573,-0.300999999046326,0,0,-0.9788208155870953,-1.1079968786107266
RNU2-20P,Pseudogene,RNU2,1.0547583239526523,-0.104999996721745,0,0,-0.8422889868060025,-1.1015831752543725
RNU2-21P,Pseudogene,RNU2,0.6836002453570611,0.127500001341105,0,0,-0.966096657727367,-1.13823060001462
RNU2-22P,Pseudogene,RNU2,0.6553638252275752,0.30799999833107,1.25,0,1.0888687722315364,1.9856185645127435
RNU2-23P,Pseudogene,RNU2,1.0865596138260258,0.214000001549721,0.39,0,-0.7882025435012272,-1.1171830823563358
RNU2-24P,Pseudogene,RNU2,1.457382492464118,0.398999989032745,0,0,1.5902778396847523,2.564975455224996
RNU2-25P,Pseudogene,RNU2,1.4184680908328773,-0.0280000008642673,10.54,0,-0.6818186275268365,-1.082556284332507
RNU2-26P,Pseudogene,RNU2,0.9638308822325962,0.305000007152557,0,0,0.6322224063889671,1.1681128436384134
RNU2-27P,Pseudogene,RNU2,1.2230381245444182,-0.0794999990612268,1.38,0,-0.7693564386257659,-1.0922097475761083
RNU2-28P,Pseudogene,RNU2,1.249699061439249,-0.23199999332428,0,0,-0.7778890919754489,-1.0820649812589516
RNU2-29P,Pseudogene,RNU2,1.2129432066910355,0.284000009298325,0,0,-0.7269107730515276,-1.1129505386029797
RNU2-30P,Pseudogene,RNU2,1.3056148830242968,0.165999993681908,0.46,0,2.279540024993687,3.509495182214349
RNU2-31P,Pseudogene,RNU2,1.0756423041154524,0.0120000001043081,0,0,-0.8186357283748574,-1.1067133024306552
RNU2-32P,Pseudogene,RNU2,0.9820163705766074,-0.0799999982118607,0.08,0,-0.6476567663816493,-0.7807126708218823
RNU2-33P,Pseudogene,RNU2,1.230172513604261,-0.212999999523163,0.43,0,-0.6098318555784796,-0.8055078328955858
RNU2-34P,Pseudogene,RNU2,0.8037685261468772,-0.0309999994933605,0,0,-0.9366880260884499,-1.1217639816001532
RNU2-35P,Pseudogene,RNU2,0.7827443997084278,-0.0820000022649765,0.73,0,-0.3173265745827478,0.15267283567296067
RNU2-36P,Pseudogene,RNU2,1.254798695736776,0.206000000238419,0.18,0,1.6518407110401239,2.583893710187806
RNU2-37P,Pseudogene,RNU2,0.9026988733925584,0.30799999833107,0.44,0,-0.8522491581229744,-1.1341666013435938
RNU2-38P,Pseudogene,RNU2,0.9233163765547988,-0.0149999996647239,0,0,-0.8851513052418835,-1.1149851486067996
RNU2-39P,Pseudogene,RNU2,0.6139898463621979,-0.010499999858439,0,0,-1.0126130449539092,-1.1350629394057101
RNU2-3P,Pseudogene,RNU2,1.327540649112821,0.214000001549721,0,0,-0.6884552681722877,-1.1017341499751765
RNU2-40P,Pseudogene,RNU2,1.4177258260025094,0.156000003218651,0,0,-0.6585653263966039,-1.0927461531520803
RNU2-41P,Pseudogene,RNU2,0.8781138894200936,-0.0050000001210719,0,0,-0.9025790909186892,-1.1184356919220013
RNU2-42P,Pseudogene,RNU2,1.4139619521281666,-0.209999993443489,3.41,0,-0.7070599513452633,-1.0727615056262703
RNU2-43P,Pseudogene,RNU2,1.2979653022796658,-0.0685000009834766,0.04,0,-0.7369363471895403,-1.0880108809759688
RNU2-44P,Pseudogene,RNU2,1.342820208907016,0.239999994635582,2.44,0,-0.6787853815505984,-1.102199370104701
RNU2-45P,Pseudogene,RNU2,1.1144689648255022,-0.0920000001788139,0,0,0.03076847237819966,0.5137053110800518
RNU2-46P,Pseudogene,RNU2,1.13731722236396,0.212999999523163,0.44,0,-0.7673206099678396,-1.113874187061659
RNU2-47P,Pseudogene,RNU2,1.6246680635077144,0.0060000002849847,0,0,-0.12171313584014863,-0.3309538465463635
RNU2-48P,Pseudogene,RNU2,1.327540649112821,0.30799999833107,0.12,0,-0.6763964357327124,-1.106931713172071
RNU2-50P,Pseudogene,RNU2,1.4088030760486474,0.214000001549721,0,0,-0.654818450986755,-1.0965249243023552
RNU2-51P,Pseudogene,RNU2,1.0226337049490182,0.30799999833107,0.54,0,-0.4874005287340307,-0.4442910017684702
RNU2-53P,Pseudogene,RNU2,0.9451505506683398,0.0579999983310699,0,0,-0.3544492342956018,-0.15040502510675038
RNU2-54P,Pseudogene,RNU2,1.2614028993985489,-0.160000003874302,0.96,0,-0.7638044477259351,-1.0852983845207118
RNU2-56P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,-0.7718771685584838,-1.1217180785870575
RNU2-59P,Pseudogene,RNU2,1.545766509240956,0.146999999880791,0.4,0,0.07106385422316736,0.062280385304916634
RNU2-5P,Pseudogene,RNU2,1.2542935432827758,0.30799999833107,1.5,0,-0.23916033015165902,-0.20054332966511454
RNU2-60P,Pseudogene,RNU2,1.3025356026398056,0.306500002741814,0,0,-0.6869396413824794,-1.1084513435796963
RNU2-61P,Pseudogene,RNU2,1.0911293006406748,0.207000002264977,0,0,0.4398621781745432,0.3867236069283176
RNU2-62P,Pseudogene,RNU2,0.7637905104484723,0.164000004529953,0,0,-0.9282214092944259,-1.1351081699604937
RNU2-64P,Pseudogene,RNU2,1.618508462617001,0.206000000238419,0,0,-0.5690417016637642,-1.0826397083718673
RNU2-65P,Pseudogene,RNU2,1.351820733550501,0.239999994635582,0.11,0,1.8652795896111598,2.998467117246337
RNU2-68P,Pseudogene,RNU2,0.7819759987924836,0.252000004053116,0.71,0,-0.9094023617878301,-1.138809972596397
RNU2-69P,Pseudogene,RNU2,1.458839874956582,-0.198499999940395,0,0,0.3969576717591865,0.642651291147583
RNU2-6P,Pseudogene,RNU2,1.078590884992962,0.28999999165535,2.27,0,0.24862255093467656,0.515494591603372
RNU2-70P,Pseudogene,RNU2,0.8926128524607979,0.239999994635582,0,0,-0.8651489005527564,-1.131052175340172
RNU2-71P,Pseudogene,RNU2,1.157809424568716,-0.28999999165535,0,0,-0.6847795319092507,-0.8881267892711256
RNU2-72P,Pseudogene,RNU2,0.9163031642292292,-0.0309999994933605,1.97,0,-0.8900987153469718,-1.1145558799547872
RNU2-7P,Pseudogene,RNU2,1.1122775932654518,0.246999993920326,3.45,0,-0.773311407495079,-1.1173680091799134
RNU2-8P,Pseudogene,RNU2,1.0968720864335204,0.30799999833107,0,0,-0.7718771685584838,-1.1217180785870575
RNU2-9P,Pseudogene,RNU2,0.6228216214921369,0.282999992370605,0,0,-0.9713070723988083,-1.15072425019924
RNU4-10P,Pseudogene,RNU4,0.9924080782017566,-0.20100000500679,0,0,-0.8804124218419472,-1.1002722692323854
RNU4-11P,Pseudogene,RNU4,1.157809424568716,0.284000009298325,0,0,-0.7497322050456784,-1.1164848203627165
RNU4-12P,Pseudogene,RNU4,1.4993215569954594,0.263999998569489,0,0,-0.6109362793357883,-1.0934868245390805
RNU4-13P,Pseudogene,RNU4,1.3056148830242968,-0.136000007390976,0,0,-0.7424290499801084,-1.0837883567135287
RNU4-14P,Pseudogene,RNU4,1.281182559973579,-0.201999999582767,0.23,0,0.5176095095280325,1.0962893235686308
RNU4-15P,Pseudogene,RNU4,1.133175181492786,0.379000008106232,0,0,-0.7477423919334176,-1.123316467638775
RNU4-17P,Pseudogene,RNU4,1.0100039661131353,-0.0230000000447035,0,0,-0.8502951017961666,-1.1089858338824023
RNU4-18P,Pseudogene,RNU4,1.0723335610099518,-0.172999992966652,0,0,-0.34918318281646443,-0.2699061850997547
RNU4-20P,Pseudogene,RNU4,1.265155993734027,0.30799999833107,0,0,-0.5660796260389822,-0.8880504637262848
RNU4-21P,Pseudogene,RNU4,1.2680769888133556,0.30799999833107,1.24,0,0.7097815207124112,1.4140509003090689
RNU4-22P,Pseudogene,RNU4,1.067137602162732,0.238000005483627,0.58,0,-0.3432817226780519,-0.207527688802518
RNU4-23P,Pseudogene,RNU4,1.0420284821118444,0.305000007152557,0.74,0,-0.7949603069689147,-1.1250700657704755
RNU4-24P,Pseudogene,RNU4,1.0745137825134128,0.0140000004321337,0.78,0,-0.818843111203539,-1.1068985162623184
RNU4-25P,Pseudogene,RNU4,1.3742694474228672,0.207000002264977,2.34,0,-0.6700013073990646,-1.0983585100564022
RNU4-26P,Pseudogene,RNU4,1.5581734311952813,0.0890000015497208,0,0,-0.6090248664049668,-1.0800385411149267
RNU4-27P,Pseudogene,RNU4,1.3743780939125043,0.282000005245209,0.46,0,-0.4962461123298427,-0.7821534463682578
RNU4-28P,Pseudogene,RNU4,0.9853697230372052,0.187999993562698,0.14,0,0.5969342535520149,1.2776328854189303
RNU4-29P,Pseudogene,RNU4,0.9382248785298216,-0.0695000011473894,0.49,0,-0.8859695281297038,-1.1110176214419858
RNU4-30P,Pseudogene,RNU4,1.2873545350099709,0.239999994635582,0.14,0,0.30407981330251926,0.6597967161878462
RNU4-31P,Pseudogene,RNU4,1.428786098403947,0.146999999880791,0,0,-0.6551416894228698,-1.0915395428365138
RNU4-32P,Pseudogene,RNU4,1.2563463968724369,0.301999986171722,3.7,0,-0.5671282729474435,-0.8333940357633937
RNU4-33P,Pseudogene,RNU4,0.6946856547412297,0.300000011920929,0,0,-0.9393797495350223,-1.1470574188975646
RNU4-34P,Pseudogene,RNU4,1.2605183251352958,0.214000001549721,0,0,0.8000864066512836,1.5675639878727858
RNU4-35P,Pseudogene,RNU4,1.2563463968724369,0.282999992370605,0,0,-0.5124982551366484,-0.8096668293661811
RNU4-36P,Pseudogene,RNU4,1.399019721353865,0.30799999833107,0.75,0,-0.6468066543864204,-1.1023514887047399
RNU4-37P,Pseudogene,RNU4,1.364561107527415,-0.119500000029802,0,0,-0.7159129152496587,-1.0809219598827624
RNU4-38P,Pseudogene,RNU4,0.7808482165695992,-0.0930000022053719,5.73,0,-0.9541053785291111,-1.1198221519439473
RNU4-39P,Pseudogene,RNU4,1.0939931570728023,0.207000002264977,2.41,0,1.5962945228894319,2.873465398828714
RNU4-41P,Pseudogene,RNU4,1.2873545350099709,-0.0879999995231628,0.86,0,-0.743826561589926,-1.0876153361386118
RNU4-42P,Pseudogene,RNU4,0.8805874496719812,0.189999997615814,0,0,-0.42732497253891577,-0.25510310784841433
RNU4-43P,Pseudogene,RNU4,1.2169675703495997,-0.398999989032745,0,0,-0.8128603824331936,-1.0749298501563838
RNU4-44P,Pseudogene,RNU4,0.7636615353538341,0.30799999833107,0,0,-0.90980244120396625,-1.1430781218763226
RNU4-45P,Pseudogene,RNU4,1.4534203414798776,0.0035000001080334,0,0,-0.5139184548560786,-0.8280108978851443
RNU4-46P,Pseudogene,RNU4,1.4095071255619152,0.30799999833107,13.15,0,-0.12400854581350196,-0.12966783482308641
RNU4-47P,Pseudogene,RNU4,1.4929647843122915,0.30799999833107,0.66,0,0.7794741159659812,1.2768276360510065
RNU4-48P,Pseudogene,RNU4,0.7633908293859666,-0.10249999910593,0.43,0,-0.9625717793450413,-1.120400409351434
RNU4-49P,Pseudogene,RNU4,1.5382325212127226,-0.105000000447035,0,0,-0.6421653409645163,-1.0705906697113006
RNU4-4P,Pseudogene,RNU4,1.1489031982258795,0.0850000008940697,0.52,0,-0.7789443915214435,-1.1060546649809369
RNU4-50P,Pseudogene,RNU4,1.2563463968724369,-0.158000007271767,0.64,0,-0.7656422232141414,-1.0857321635449282
RNU4-51P,Pseudogene,RNU4,0.6450652508311419,0.30799999833107,0.93,0,-0.9588890022174056,-1.150683320785619
RNU4-52P,Pseudogene,RNU4,0.7802628730789173,0.211999997496605,0.55,0,0.2269554669661944,0.7477212404717948
RNU4-53P,Pseudogene,RNU4,1.0420284821118444,0.203999996185303,1.17,0,0.13797111105162907,0.6313351651894299
RNU4-54P,Pseudogene,RNU4,1.1308836239973503,0.115000002086163,0,0,-0.7825569179382054,-1.108866943184406
RNU4-55P,Pseudogene,RNU4,0.9887861509090494,0.305000007152557,0,0,-0.8170018343119255,-1.1284809236025488
RNU4-56P,Pseudogene,RNU4,0.8805874496719812,0.30799999833107,1.02,0,-0.8613993345373453,-1.1355857309596329
RNU4-57P,Pseudogene,RNU4,0.7461438513887281,0.0689999982714653,0,0,-0.9477124847596758,-1.1309868863260992
RNU4-58P,Pseudogene,RNU4,1.4041518553280172,0.30799999833107,0,0,-0.6446853801655653,-1.1020202954759484
RNU4-59P,Pseudogene,RNU4,0.9282437628007808,-0.0815000012516975,2.33,0,-0.8916328470696242,-1.1109993823241735
RNU4-5P,Pseudogene,RNU4,1.260725817863713,0.151999995112419,0.59,0,-0.7240627847109693,-1.1025910168589241
RNU4-60P,Pseudogene,RNU4,1.36364221115871,-0.0759999975562096,0.96,0,-0.710709163119669,-1.083388778320926
RNU4-61P,Pseudogene,RNU4,0.7141628226311706,0.347000002861023,0,0,-0.35776376873026206,-0.13655820577126584
RNU4-62P,Pseudogene,RNU4,1.442808667539477,0.0549999997019768,0.98,0,-0.3368000274590267,-0.4331053151521746
RNU4-64P,Pseudogene,RNU4,0.7954415893983545,-0.216999992728233,0,0,-0.96399490551453,-1.1120139273380159
RNU4-65P,Pseudogene,RNU4,1.5382325212127226,-0.207000002264976,0,0,-0.6552499262200634,-1.0649511431095484
RNU4-66P,Pseudogene,RNU4,1.2584885049659955,-0.0054999999701976,0,0,-0.745195417960267,-1.0940246108702105
RNU4-67P,Pseudogene,RNU4,1.0839066953409258,0.282999992370605,0,0,-0.7804509175823026,-1.1211669714590256
RNU4-68P,Pseudogene,RNU4,1.108540938416856,0.204999998211861,0.73,0,0.7067066402315892,0.8773688618106955
RNU4-69P,Pseudogene,RNU4,1.4816722006718532,0.0979999974370003,0,0,-0.6395363680347893,-1.0854401613321454
RNU4-6P,Pseudogene,RNU4,0.8541217066490528,0.305000007152557,0,0,-0.8727432570550803,-1.1371134184308138
RNU4-70P,Pseudogene,RNU4,1.1244911677465947,0.30799999833107,0,0,-0.7604448495398317,-1.1199475921167312
RNU4-71P,Pseudogene,RNU4,0.9836257058282896,-0.0240000002086162,0,0,-0.8613420901583709,-1.1106214895967654
RNU4-72P,Pseudogene,RNU4,1.2247348248328036,0.194999992847443,0.11,0,-0.7334463837191345,-1.107274210811193
RNU4-73P,Pseudogene,RNU4,1.3056148830242968,0.414000004529953,0,0,-0.6718749135265213,-1.1141975688989074
RNU4-74P,Pseudogene,RNU4,1.0787044328279962,0.305000007152557,0,0,-0.7797821139000157,-1.122716825232731
RNU4-75P,Pseudogene,RNU4,0.8088805568904728,0.30799999833107,0,0,-0.891085009075862,-1.140179413373872
RNU4-76P,Pseudogene,RNU4,1.0346382091890651,0.239999994635582,0,0,-0.806360587920259,-1.1219478184761462
RNU4-77P,Pseudogene,RNU4,0.4898424488559952,-0.0195000004023314,0,0,-1.0651556868267495,-1.142523646869796
RNU4-78P,Pseudogene,RNU4,1.461045226241475,-0.0819999985396862,2.87,0,-0.671153185661547,-1.0768187570903018
RNU4-79P,Pseudogene,RNU4,0.8621985076575545,0.214000001549721,0,0,-0.8810735436911251,-1.13156432268008
RNU4-7P,Pseudogene,RNU4,1.157809424568716,0.30799999833107,0,0,-0.7466534805649506,-1.1178117671683998
RNU4-81P,Pseudogene,RNU4,0.603025741962873,0.0179999992251396,0,0,-1.0134954110333163,-1.1373415295295322
RNU4-82P,Pseudogene,RNU4,1.3149407036173275,-0.0274999998509884,1.17,0,-0.7246456459738404,-1.089192883829537
RNU4-83P,Pseudogene,RNU4,1.2013360946652842,0.30799999833107,0,0,-0.36774384078715855,-0.4026267756064359
RNU4-84P,Pseudogene,RNU4,0.6746947006479569,0.30799999833107,0,0,-0.9466283307007225,-1.1487812289192076
RNU4-85P,Pseudogene,RNU4,1.4402019671464517,0.26800000667572,1.28,0,-0.6348892034186864,-1.0975015317350203
RNU4-87P,Pseudogene,RNU4,0.6353832207999052,0.207999996840954,1.11,0,-0.9757239583575567,-1.1457755565272552
RNU4-88P,Pseudogene,RNU4,1.37321582913964,0.282000005245209,0,0,-0.6608259619860861,-1.1025658845449176
RNU4-89P,Pseudogene,RNU4,1.331916104954989,0.0579999983310699,0.53,0,-0.7066536986617675,-1.0928300661847634
RNU4-8P,Pseudogene,RNU4,0.7390272922779039,0.301999986171722,0,0,-0.5303364948405825,-0.5323841974964293
RNU4-90P,Pseudogene,RNU4,1.133175181492786,0.214000001549721,0,0,0.5363042240074106,1.0718064174487267
RNU5A-2P,Pseudogene,RNU5,0.9282437628007808,-0.0169999997597188,0,0,-0.8833682811961205,-1.1145587057525497
