"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","ENCODE_max","Gene_Type","Gene_group","PC1","PC2","PC3","PC4","PC5"
"RNU1-140P",0.028999999165535,-0.101999998092651,0.0189999993890524,0,0,"Pseudogene","RNU1",0.637409295337357,-0.075515785045629,0.0337852697814107,-0.190302734188986,0.16532705115395
"RNU1-141P",0.0120000001043081,0.30799999833107,-0.0179999999236315,1,0,"Pseudogene","RNU1",0.324662359543866,0.206639164371367,0.0352825223820189,0.372320344933887,-0.129000189491035
"RNU1-142P",0.0189999993890524,-0.00300000002607703,0.104000002145767,2,0,"Pseudogene","RNU1",0.475718175660355,-0.047114127153442,0.0323826958964193,-0.0161875383842738,0.252094455482859
"RNU1-143P",0.00600000005215406,-0.149999998509884,-2.39400005340576,7,0,"Pseudogene","RNU1",3.53528190739053,1.24133723702207,0.103782553327055,-0.542400350183031,-3.32215060793493
"RNU1-146P",0.0810000002384186,0.214000001549721,0.0320000015199184,2,1.17,"Pseudogene","RNU1",0.110972586681459,0.00231408741641318,0.0249163572082804,-0.0090086445881014,-0.197741122299662
"RNU1-148P",0.214500002563,-0.0219999998807907,0.0305000003427267,1,0,"Pseudogene","RNU1",-0.134712118280958,-0.371069246949157,0.0078111164047881,-0.828357349155483,-0.438678822612235
"RNU1-149P",0.0109999999403954,0.282999992370605,0.00999999977648258,51,0.31,"Pseudogene","RNU1",0.320015679293193,0.187560948760706,0.0353942599493588,0.346256566182679,-0.0643540719667105
"RNU1-14P",0.00300000002607703,0.305000007152557,0.0040000001899898,5,0,"Pseudogene","RNU1",0.335242180593777,0.209985117329852,0.0359681844523728,0.407627337019151,-0.0665661991809929
"RNU1-150P",0.0020000000949949,-0.197999998927116,0.0790000036358833,0,0,"Pseudogene","RNU1",0.764949648611831,-0.113334829156891,0.0362484237390049,-0.190699474478678,0.404927240725582
"RNU1-151P",0.00600000005215406,-0.034000001847744,-1.90400004386902,14,0,"Pseudogene","RNU1",2.8554807334449,1.04371556950444,0.0898322036217484,-0.323159771427817,-2.67480086499829
"RNU1-15P",0.034000001847744,-0.133000001311302,-0.0325000006705523,0,0,"Pseudogene","RNU1",0.709710593638393,-0.0742569638064993,0.0346638208443002,-0.25626668770298,0.0954588580816665
"RNU1-16P",0.0089999996125698,0.306500002741814,0.00400000007357448,17,3.37,"Pseudogene","RNU1",0.311406106371387,0.202007102757292,0.0352624773288215,0.384655017240261,-0.0853622620096248
"RNU1-17P",0.0525000002235174,-0.0469999983906746,0.12899999320507,0,0,"Pseudogene","RNU1",0.369555373718323,-0.146196264666769,0.0272963804203209,-0.199012450059703,0.218528003207394
"RNU1-18P",0.0160000007599592,0.214000001549721,0.444999992847443,0,0,"Pseudogene","RNU1",-0.124852224410054,-0.10347454815997,0.0223794140018027,0.315377392359576,0.614698176475747
"RNU1-19P",0.0149999996647239,-0.0240000002086162,0.0469999983906746,2,0.74,"Pseudogene","RNU1",0.577017548642831,-0.0210087192047498,0.0345882370639679,-0.0350233128250836,0.194323947397168
"RNU1-2",0.987999975681305,0.284000009298325,0.0469999983906746,4,4887.81,"Functional","RNU1",-3.28966381493825,-1.59905255250667,-0.14788174391114,-3.52837181868596,-2.98381940674947
"RNU1-20P",0.0240000002086162,-0.20099999755621,0.0455000009387732,4,0,"Pseudogene","RNU1",0.725909877013883,-0.135986365854291,0.0342355099581588,-0.287491122115315,0.290430153335472
"RNU1-21P",0.0140000004321337,0.246999993920326,0.580999970436096,3,0,"Pseudogene","RNU1",-0.307080187843663,-0.154086650164772,0.0187901807229818,0.385079020885527,0.799931073698013
"RNU1-22P",0.00949999969452619,-0.028999999165535,0.0020000000949949,15,0,"Pseudogene","RNU1",0.653333070717088,0.012523900037425,0.0367754467163023,-0.0274592477525587,0.148189298666798
"RNU1-23P",0.00450000003911554,0.30799999833107,0.0135000008158386,9,0,"Pseudogene","RNU1",0.31569210134142,0.204514706180036,0.0355389462833824,0.40652616114576,-0.0589439002283947
"RNU1-24P",0.0199999995529652,-0.123999997973442,0.0219999998807907,11,0,"Pseudogene","RNU1",0.688865558356474,-0.0714798581390566,0.0351702001118221,-0.181792324043181,0.213270250402308
"RNU1-27P",0.346000000834465,0.898999989032745,2.00200003385544,47,6836.16,"Pseudogene","RNU1",-3.81230549370368,-1.13961293687373,-0.135727559758143,0.0834429308483892,1.4451906367373
"RNU1-28P",0.438500002026558,1.32599997520447,2.4264999628067,3,6836.16,"Pseudogene","RNU1",-5.06966462478871,-1.30178453408275,-0.162548678633574,0.308520894626143,1.49063937890583
"RNU1-29P",0.0179999992251396,0.211999997496605,0.199000000953674,0,0,"Pseudogene","RNU1",0.151790120933912,0.0244511846382778,0.0289005295820172,0.265798643730148,0.243853631653902
"RNU1-3",0.145499996840954,0.446000009775162,0.0445000007748604,35,4155.67,"Functional","RNU1",-0.375670893783461,0.0183564626548983,-0.025964332707483,0.0167121909498549,-0.537981765224924
"RNU1-30P",0.00999999977648258,-0.233999997377396,0.0489999987185001,7,0.86,"Pseudogene","RNU1",0.806512223428198,-0.130738297996582,0.0362280631245104,-0.271830190382277,0.361789288882393
"RNU1-31P",0.00800000037997961,-0.19200000166893,0.0394999999552965,6,0.72,"Pseudogene","RNU1",0.781998657118762,-0.0984726914542647,0.0365615217808617,-0.213989987175942,0.323878052424386
"RNU1-32P",0.0130000002682209,-0.0219999998807907,0.0439999997615814,2,0,"Pseudogene","RNU1",0.585724897422992,-0.0146545378412306,0.0349421111240443,-0.0251049452731637,0.194523636913189
"RNU1-33P",0.00499999988824129,-0.114000000059605,-0.0200000004842877,2,0.44,"Pseudogene","RNU1",0.781902989899278,-0.0176236198267446,0.038210690067683,-0.115910159883084,0.188899087230897
"RNU1-34P",0.00499999988824129,-0.29899999499321,0.462000012397766,2,4.09,"Pseudogene","RNU1",0.417790373994522,-0.381950088217837,0.0257176821473119,-0.265200090203083,1.03768546925483
"RNU1-35P",0.00700000021606683,-0.17399999499321,0.0399999991059303,0,0,"Pseudogene","RNU1",0.766959697109529,-0.087780179829341,0.0365333311604172,-0.187464837343419,0.314626762263224
"RNU1-36P",0.0780000016093254,0.296000003814697,0.0430000014603138,121,0,"Pseudogene","RNU1",0.0219537370887342,0.0678799275063819,0.0261800576050603,0.0954695596442116,-0.225255865741649
"RNU1-38P",0.0224999999627471,0.305000007152557,0.0480000004172325,6,0,"Pseudogene","RNU1",0.213565834517017,0.151243176459265,0.0321069915373525,0.337022946355634,-0.0603558867988626
"RNU1-39P",0.0149999996647239,-0.13400000333786,0.00800000037997961,32,5,"Pseudogene","RNU1",0.732653772346645,-0.0570527009428304,0.0365020170696263,-0.178021517662613,0.215657492792341
"RNU1-4",0.0285000000149012,0.266000002622604,0.0469999983906746,4,4585.69,"Functional","RNU1",0.233014747017708,0.121635986914331,-0.0139066251693059,0.264737321940969,-0.0518104821217205
"RNU1-40P",0.0140000004321337,-0.116500001400709,0.0640000030398369,0,0,"Pseudogene","RNU1",0.655379524721178,-0.0809040913542815,0.0346561847220813,-0.141212268158882,0.288240627672328
"RNU1-41P",0.00800000037997961,0.00549999973736703,0.0640000030398369,75,0.38,"Pseudogene","RNU1",0.550673412877642,0.0112534671259254,0.0358752107661432,0.0257967396740631,0.223169694176172
"RNU1-42P",0.0260000005364418,0.266999989748001,0.451999992132187,1,0,"Pseudogene","RNU1",-0.223361549310782,-0.0952159317208934,0.0205949688892871,0.341416138705734,0.557117166147448
"RNU1-43P",0.00999999977648258,-0.0549999997019768,0.025000000372529,2,0,"Pseudogene","RNU1",0.652035392204152,-0.0176179873237374,0.0360247682090471,-0.0565275413943261,0.198792375134885
"RNU1-44P",0.0149999996647239,-0.208000004291534,-0.0920000001788139,1,0,"Pseudogene","RNU1",0.923575411338405,-0.0500481705285268,0.0392491892835284,-0.281923893962827,0.117977154773553
"RNU1-45P",0.0350000001490116,0.266999989748001,0.0130000002682209,0,0,"Pseudogene","RNU1",0.246887201703663,0.125123930702214,0.0314624077799016,0.235786847193442,-0.12377497781447
"RNU1-46P",0.00600000005215406,0.0255000004544854,0.00600000005215406,0,0,"Pseudogene","RNU1",0.606569788301204,0.0449383490513345,0.0367047531193114,0.0548759856422653,0.125454233642949
"RNU1-47P",0.00999999977648258,0.282999992370605,0.0430000014603138,23,0.43,"Pseudogene","RNU1",0.286775015521056,0.166906988636849,0.0342623210743036,0.357701246570393,-0.0134105668914381
"RNU1-48P",0.0040000001899898,-0.0410000011324883,0.0640000030398369,14,0,"Pseudogene","RNU1",0.614613716241946,-0.0179269362907374,0.0358573394695595,-0.0102999353179562,0.265686103005444
"RNU1-49P",0.0020000000949949,-0.0780000016093254,-0.0750000029802322,0,0,"Pseudogene","RNU1",0.81932238448809,0.0374307566368743,0.0399528826624533,-0.0685937396968169,0.0905172396502675
"RNU1-51P",0.00999999977648258,0.305000007152557,0,6,0.56,"Pseudogene","RNU1",0.314226973042215,0.19968031923752,0.0351307097878216,0.379078517338429,-0.0937741504046673
"RNU1-52P",0.0280000008642673,0.622500002384186,-0.214500002563,1,0,"Pseudogene","RNU1",0.17138458708766,0.461215728352645,0.0370961619141729,0.661709814187871,-0.693408755042108
"RNU1-54P",0.557500004768372,0.309499993920326,0.892000019550323,1,0,"Pseudogene","RNU1",-2.71204457992629,-1.26740088362983,-0.0642453812789664,-1.64985712658195,-0.435183184582946
"RNU1-55P",0.0179999992251396,0.30799999833107,-0.159999996423721,0,0,"Pseudogene","RNU1",0.465511094520624,0.272225578178318,0.0383676951041668,0.325925214879095,-0.358670484410937
"RNU1-56P",0.0719999969005585,0.0279999997001141,0.762000024318695,4,0.48,"Pseudogene","RNU1",-0.503521907293325,-0.479750675054636,0.00688409849196464,-0.0843918304118526,1.04838034407336
"RNU1-57P",0.0270000007003546,0.319000005722046,0.262999996542931,1,0,"Pseudogene","RNU1",-0.0633368440736391,0.0342475303171114,0.0254360407263828,0.370878030451385,0.235832340280845
"RNU1-58P",0.0480000004172325,0.30799999833107,0.0769999995827675,1,0,"Pseudogene","RNU1",0.0843107529938232,0.0904596691453743,0.0277508580991095,0.244312799677443,-0.0971195229737259
"RNU1-5P",0.00300000002607703,0.30799999833107,-2.22699999809265,11,0.69,"Pseudogene","RNU1",2.88867956983274,1.4158083463688,0.0975574833894427,0.0554672274363515,-3.38935145787257
"RNU1-61P",0.0020000000949949,0.397000014781952,-0.880999982357025,14,0,"Pseudogene","RNU1",1.25917565501039,0.742465499176592,0.0602122357735546,0.382350221426011,-1.44578471835437
"RNU1-62P",0.0089999996125698,0.284000009298325,0.028999999165535,2,0,"Pseudogene","RNU1",0.306146799822595,0.173328572362351,0.0345168580037379,0.3623287752245,-0.0328328689893771
"RNU1-63P",0.00999999977648258,-0.131500001996756,-0.0430000014603138,4,0,"Pseudogene","RNU1",0.807740480660963,-0.0237834056844827,0.0382719482688681,-0.160996193303281,0.151958929226888
"RNU1-64P",0.0769999995827675,0.430000007152557,0.0199999995529652,6,0,"Pseudogene","RNU1",-0.080594143260337,0.138557089846615,0.0248781999167746,0.268611002860884,-0.356575920192065
"RNU1-65P",0.00100000004749745,-0.142000004649162,-0.367500007152557,2,0,"Pseudogene","RNU1",1.22323332491792,0.161191346892785,0.0484718618732348,-0.189570024193168,-0.296321897176441
"RNU1-67P",0.0685000009834766,0.214000001549721,0.455000013113022,13,1.83,"Pseudogene","RNU1",-0.32848746414544,-0.201417518907426,0.0150886901980199,0.107198225161761,0.470419299751651
"RNU1-68P",0.00450000003911554,-0.0645000003278255,-2.39400005340576,8,0,"Pseudogene","RNU1",3.45372494022639,1.29245801994317,0.103613050379053,-0.432037996217988,-3.37823108047001
"RNU1-6P",0.00549999997019768,0.296999990940094,-2.09549999237061,12,0.69,"Pseudogene","RNU1",2.7400123019491,1.33434204379987,0.09365203477471,0.0529516829640682,-3.19336419661452
"RNU1-70P",0.00450000003911554,-0.129000000655651,0.0304999994114041,384,3.78,"Pseudogene","RNU1",0.728508737267373,0.0111848143255461,0.0417915077999681,-0.154391921880474,0.292891371342682
"RNU1-72P",0.0270000007003546,-0.217999994754791,0.108000002801418,13,1.3,"Pseudogene","RNU1",0.660330709375193,-0.18319747492787,0.0322812252551641,-0.310949030424672,0.386795097238296
"RNU1-73P",0.0109999999403954,0.284000009298325,0.0285000000149012,4,1.98,"Pseudogene","RNU1",0.299349334475657,0.170324287786426,0.0342636982809545,0.354138602425646,-0.0395746483251591
"RNU1-74P",0.0309999994933605,-0.109999999403954,0.0480000004172325,4,0,"Pseudogene","RNU1",0.604879675895453,-0.09861154423779,0.0327997635939217,-0.203727517979208,0.208262280981011
"RNU1-75P",0.0020000000949949,-0.17399999499321,-0.0040000001899898,9,0,"Pseudogene","RNU1",0.835347362166015,-0.0535328733467904,0.0385437962033756,-0.175303823157938,0.26473614055436
"RNU1-76P",0.0149999996647239,-0.180999994277954,0.0450000017881393,2,0,"Pseudogene","RNU1",0.739068259930646,-0.108526607486193,0.0353611649096698,-0.227188839854763,0.302785216475103
"RNU1-77P",0.0689999982714653,0.300999999046326,0.0270000007003546,2,0.61,"Pseudogene","RNU1",0.0720014166424616,0.0757540297506099,0.0263032745316026,0.144218256364545,-0.230426386642007
"RNU1-78P",0.00300000002607703,0.305000007152557,0.0299999993294477,1,0,"Pseudogene","RNU1",0.305578687753645,0.195297877412987,0.0352000774097833,0.412084652122701,-0.0280387106311429
"RNU1-7P",0.159500002861023,0.214000001549721,0.462000012397766,1,0,"Pseudogene","RNU1",-0.668473701156834,-0.371365804636515,0.00234562249329372,-0.252562088856892,0.203448169101684
"RNU1-80P",0.0040000001899898,0.30799999833107,0.00700000021606683,1,0,"Pseudogene","RNU1",0.325231276527346,0.207590087663609,0.0356844352101297,0.408111003683591,-0.0674468634215006
"RNU1-82P",0.00999999977648258,-0.130999997258186,0.00800000037997961,19,0,"Pseudogene","RNU1",0.748291310475114,-0.0485069931030998,0.0370543093811343,-0.153447188822199,0.228173120103112
"RNU1-83P",0.00800000037997961,-0.250999987125397,0.0294999992474914,1,0.53,"Pseudogene","RNU1",0.85366029294574,-0.1272065350908,0.0370424422912538,-0.287283064412654,0.350652856595064
"RNU1-84P",0.063000001013279,0.0649999976158142,0.358999997377396,1,0,"Pseudogene","RNU1",-0.0463710964065366,-0.225804840412459,0.0190261761346632,-0.0673470839897706,0.449490499512101
"RNU1-86P",0.0020000000949949,-0.295000001788139,0.0640000030398369,2,0,"Pseudogene","RNU1",0.880777865402449,-0.159650284162709,0.0371265760102161,-0.311776431561024,0.451536935799533
"RNU1-88P",0.228499993681908,0.282999992370605,0.0474999994039536,5,0,"Pseudogene","RNU1",-0.515817726963159,-0.232715370631366,0.00410306410570746,-0.50893422897097,-0.672283050253923
"RNU1-89P",0.0240000002086162,0.146999999880791,0.181999996304512,1,0.54,"Pseudogene","RNU1",0.215467191351735,-0.0137187460172052,0.0288523682557505,0.159728137196294,0.246474169973541
"RNU1-8P",0.0089999996125698,-0.0469999983906746,0.0469999983906746,2,0,"Pseudogene","RNU1",0.622335501510268,-0.0231635622186852,0.0355182151389421,-0.0392716648146523,0.228904209190177
"RNU1-91P",0.0020000000949949,-0.229000002145767,0.00700000021606683,5,3.22,"Pseudogene","RNU1",0.878840416542634,-0.0911656181736966,0.0384064250941884,-0.240443828669888,0.319975071844506
"RNU1-93P",0.0199999995529652,-0.0790000036358833,0.284000009298325,2,1.08,"Pseudogene","RNU1",0.343124508980722,-0.188874923810492,0.0276149098893244,-0.0843622239887654,0.570932830986789
"RNU1-94P",0.0590000003576279,0.263999998569489,0.61599999666214,6,0.7,"Pseudogene","RNU1",-0.52894135597605,-0.24405328672156,0.0116399056199668,0.232266065047525,0.703181592994096
"RNU1-95P",0.17850000411272,0.00900000031106173,0.0640000030398369,0,0,"Pseudogene","RNU1",-0.073131060791438,-0.30686010302412,0.0116455934732016,-0.641922788853776,-0.301330340411142
"RNU1-96P",0.0709999985992908,0.214000001549721,0.033500000834465,1,0,"Pseudogene","RNU1",0.145809632672396,0.0193790191669099,0.0262381094963911,0.0310703424438247,-0.165127093213355
"RNU1-97P",0.229000002145767,-0.0500000007450581,0.0640000030398369,0,0,"Pseudogene","RNU1",-0.197536032029955,-0.431261754578443,0.0050228752790943,-0.914810485563073,-0.413098419320368
"RNU1-98P",0.00750000029802322,-0.240000002086163,0.0125000006519258,7,0,"Pseudogene","RNU1",0.863576729256869,-0.109930748831217,0.0376115037113821,-0.275035265548559,0.319322745188992
"RNU2-1",0.986999988555908,0.808000028133392,-0.425999999046326,5,5459.65,"Functional","RNU2",-3.27714439260565,-1.04593055462596,-0.142716050336525,-2.95960505124285,-4.05665770937308
"RNU2-10P",0.0350000001490116,0.119000002741814,0.0700000002980232,2,0,"Pseudogene","RNU2",0.332100804473261,0.0112008354529419,0.0305855094852639,0.0638582488387739,0.0662088463754836
"RNU2-12P",0.333000004291534,0.186000004410744,0.449999988079071,3,0,"Pseudogene","RNU2",-1.25997196485032,-0.69337535154076,-0.020841756633121,-0.978697001991315,-0.322326386954909
"RNU2-13P",0.400999993085861,-0.127000004053116,0.347000002861023,8,0,"Pseudogene","RNU2",-1.07195786432491,-0.936304339661733,-0.0257980192843981,-1.64834381948466,-0.460150152853614
"RNU2-14P",0.202999994158745,0.238000005483627,0.628000020980835,1,0,"Pseudogene","RNU2",-1.04200415311887,-0.525821581846527,-0.00827611723120672,-0.369754465578384,0.301160806576664
"RNU2-15P",0.0260000005364418,0.44200000166893,0.0549999997019768,16,0.53,"Pseudogene","RNU2",0.0530233718353976,0.220129013374473,0.0309387378368909,0.490839340335291,-0.157391355416519
"RNU2-16P",0.0135000003501773,0.284500002861023,0.415999993681908,2,0,"Pseudogene","RNU2",-0.154292808633955,-0.043208652067514,0.0232268167512064,0.406688386565677,0.529183319969612
"RNU2-17P",0.0640000030398369,0.421000003814697,0.353000000119209,9,0.54,"Pseudogene","RNU2",-0.405667293103888,-0.0221481891815553,0.0175409483070807,0.362105306578062,0.185177169873785
"RNU2-18P",0.0219999998807907,-0.153499998152256,0.193999998271465,2,0.78,"Pseudogene","RNU2",0.514767459730884,-0.185989007194617,0.0301644301246296,-0.197685189035089,0.483759805764064
"RNU2-19P",0.0120000001043081,-0.300999999046326,0.200000002980232,2,0,"Pseudogene","RNU2",0.69450648811594,-0.254419139562744,0.0320384142588526,-0.337207052012653,0.627811245304412
"RNU2-20P",0.00700000021606683,-0.104999996721745,0.0820000022649765,4,0,"Pseudogene","RNU2",0.648483863913563,-0.0708268186225623,0.0351136971531164,-0.0967762045922877,0.328343402322756
"RNU2-21P",0.0040000001899898,0.127500001341105,0.0984999984502792,1,0,"Pseudogene","RNU2",0.404045605030894,0.0563889465511121,0.033977558511434,0.20212198013471,0.196872641803225
"RNU2-22P",0.0489999987185001,0.30799999833107,0.0635000020265579,15,1.15,"Pseudogene","RNU2",0.0956671055459683,0.0982675553010495,0.0281538973726487,0.237080058388542,-0.119646732320508
"RNU2-23P",0.282999992370605,0.214000001549721,0.550000011920929,2,0.39,"Pseudogene","RNU2",-1.22041363144019,-0.641463331335629,-0.01692168198973,-0.729671068444874,-0.0412659233818373
"RNU2-24P",0.025000000372529,0.398999989032745,0.0109999999403954,2,1.11,"Pseudogene","RNU2",0.151316838525181,0.219065653126585,0.0322990685372124,0.436369121816516,-0.189933165756163
"RNU2-25P",0.00499999988824129,-0.0280000008642673,0.0489999987185001,4,0,"Pseudogene","RNU2",0.615252879546761,-0.00597087510712025,0.0359482952756163,1.03659810424987e-05,0.230652280268038
"RNU2-26P",0.00800000037997961,0.305000007152557,-0.33500000834465,1,0,"Pseudogene","RNU2",0.70560094075163,0.383114064388022,0.0445849921653991,0.334067337494338,-0.586565833242664
"RNU2-27P",0.0040000001899898,-0.0794999990612268,0.0224999999627471,25,0,"Pseudogene","RNU2",0.700985363415861,-0.0154411456031123,0.0373164212794275,-0.064824484159975,0.231718757829948
"RNU2-28P",0.00100000004749745,-0.23199999332428,-0.00700000021606683,15,0,"Pseudogene","RNU2",0.901258709896318,-0.081841652692062,0.0391019277052152,-0.243153110973859,0.304742942254486
"RNU2-29P",0.0089999996125698,0.284000009298325,-0.0130000002682209,1,0,"Pseudogene","RNU2",0.354311102366743,0.195811780975147,0.0356625094778451,0.355718065759354,-0.0953948551301856
"RNU2-2P",0.763000011444092,1.35500001907349,1.59200000762939,45,37897.85,"Pseudogene","RNU2",-5.32626057093752,-1.39338253868248,-0.490742702679975,-1.08774533416717,-0.752885305443709
"RNU2-30P",0.112000003457069,0.165999993681908,-0.00999999977648258,2,0,"Pseudogene","RNU2",0.0947255561276142,-0.0580511050326491,0.0220742199607757,-0.197610722107701,-0.320506832631835
"RNU2-31P",0.0270000007003546,0.0120000001043081,0.0230000000447035,3,0,"Pseudogene","RNU2",0.524027706308902,-0.00923436181007419,0.0334701921369149,-0.0426475082946717,0.0965798717250042
"RNU2-32P",0.0240000002086162,-0.0799999982118607,0.096000000834465,4,0,"Pseudogene","RNU2",0.544911502850767,-0.0949389798006683,0.0322951300995584,-0.131590843313975,0.279715397693204
"RNU2-33P",0.00300000002607703,-0.212999999523163,0.079500000923872,6,0.43,"Pseudogene","RNU2",0.77578987840549,-0.122873888247559,0.0362383275404373,-0.213399420414893,0.41353761420826
"RNU2-34P",0.0230000000447035,-0.0309999994933605,0.0829999968409538,1,0,"Pseudogene","RNU2",0.513699612660183,-0.058972769283514,0.0325301310698144,-0.0695724986454616,0.228496029483966
"RNU2-35P",0.236000001430511,-0.0820000022649765,0.0900000035762787,2,0.73,"Pseudogene","RNU2",-0.220401417464201,-0.47563608046703,0.00351384289773794,-0.977762567724215,-0.372893183738788
"RNU2-36P",0.225999996066093,0.206000000238419,0.456000000238419,0,0,"Pseudogene","RNU2",-0.896302892862781,-0.492784471662573,-0.00653801563246183,-0.527624031198041,-0.00217444857465135
"RNU2-37P",0.158999994397163,0.30799999833107,0.096000000834465,3,0.44,"Pseudogene","RNU2",-0.342935482695255,-0.119709708243811,0.0121042686151684,-0.194164417653056,-0.406467570846759
"RNU2-38P",0.00300000002607703,-0.0149999996647239,0.200000002980232,51,0,"Pseudogene","RNU2",0.43473386016348,-0.068632354234136,0.0325968618158488,0.0441854405021084,0.454327290320245
