"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","ENCODE_max","Gene_Type","Gene_group","source","snp_density","enrichment_intergenic","Gene_Type_combined","Gene_group_f","y_num","y_offset","y_pos","q1","q3","iqr","is_outlier"
"RNU1-41P",0.0080000003799796,0.005499999737367,0.0640000030398369,75,0.41,"Pseudogene","RNU1","dbsnp",0,0,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-95P",0.17850000411272,0.0090000003110617,0.0640000030398369,0,0,"Pseudogene","RNU1","dbsnp",0,0,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU1-97P",0.229000002145767,-0.0500000007450581,0.0640000030398369,0,0,"Pseudogene","RNU1","dbsnp",0,0,"RNU1.Pseudogene","RNU1",16,-0.15,15.85,0.915721999431621,1.35756316787677,0.44184116844515,TRUE
"RNU2-63P",0,-0.462999999523163,-2.71150004863739,6,44.96,"Pseudogene","RNU2","dbsnp",1.19473684210526,4.14983272700682,"RNU2.Pseudogene","RNU2",15,-0.15,14.85,0.94515055066834,1.33340137521421,0.388250824545869,TRUE
"RNU2-57P",0.0070000002160668,-0.0829999968409538,-0.33500000834465,2,0,"Pseudogene","RNU2","dbsnp",0.0209424083769633,0.0727419533760449,"RNU2.Pseudogene","RNU2",15,-0.15,14.85,0.94515055066834,1.33340137521421,0.388250824545869,TRUE
"RNU4-86P",0.0130000002682209,0.140000000596046,0.178000003099442,2,0.11,"Pseudogene","RNU4","dbsnp",0.643835616438356,2.23631683375601,"RNU4.Pseudogene","RNU4",14,-0.15,13.85,0.985369723037205,1.33791311283496,0.352543389797756,TRUE
"RNU5E-6P",0.0040000001899898,0.725000023841858,0.303000003099442,20,2.52,"Pseudogene","RNU5","dbsnp",1.23478260869565,4.28892882492411,"RNU5.Pseudogene","RNU5",13,-0.15,12.85,0.833622785689476,1.38937130948246,0.555748523792984,TRUE
"RNU5A-8P",0.0025000000605359,0.683499991893768,1.51750004291534,3,0,"Pseudogene","RNU5","dbsnp",1.19298245614035,4.1437389931933,"RNU5.Pseudogene","RNU5",13,-0.15,12.85,0.833622785689476,1.38937130948246,0.555748523792984,TRUE
"RNU5E-4P",0,0.38400000333786,5.56049990653992,5,0,"Pseudogene","RNU5","dbsnp",1.13333333333333,3.93655204353363,"RNU5.Pseudogene","RNU5",13,-0.15,12.85,0.833622785689476,1.38937130948246,0.555748523792984,TRUE
"RNU6-9",1,2.90599989891052,1.40900003910065,24,0.98,"Functional","RNU6","dbsnp",1.42056074766355,4.93421586545172,"RNU6.Functional","RNU6",12,0.15,12.15,3.73312384557203,4.12266720337085,0.38954335779882,TRUE
"RNU6-7",1,2.88700008392334,2.30100011825562,5,0.47,"Functional","RNU6","dbsnp",0.813084112149533,2.82418934404145,"RNU6.Functional","RNU6",12,0.15,12.15,3.73312384557203,4.12266720337085,0.38954335779882,TRUE
"RNU6-781P",0.068000003695488,NA,0.0879999995231628,5,0,"Pseudogene","RNU6","dbsnp",0.841584158415842,2.92318221054478,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-328P",0.0020000000949949,-0.225499995052814,-0.388000011444092,1,0,"Pseudogene","RNU6","dbsnp",0.69811320754717,2.42484615334203,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1218P",0.0165000008419156,-0.421000003814697,0.006000000052154,0,0,"Pseudogene","RNU6","dbsnp",0.666666666666667,2.31561884913743,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-457P",0.0020000000949949,0.305000007152557,-0.0199999995529652,4,0,"Pseudogene","RNU6","dbsnp",0.663551401869159,2.30479820030969,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-758P",0.0189999993890524,0.30799999833107,0.0450000017881393,6,0.63,"Pseudogene","RNU6","dbsnp",0.640449438202247,2.2245551865309,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-194P",0.0179999992251396,0.0120000001043081,-0.122000001370907,7,0,"Pseudogene","RNU6","dbsnp",0.638095238095238,2.21637804131726,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-36P",0.0199999995529652,0.0850000008940697,0.0900000035762787,21,0.03,"Pseudogene","RNU6","dbsnp",0.616822429906542,2.14248846789351,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-458P",0.0010000000474974,-0.284000009298325,0.453999996185303,0,0,"Pseudogene","RNU6","dbsnp",0.616822429906542,2.14248846789351,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-319P",0.0810000002384186,0.214000001549721,0.176500000059605,2,0,"Pseudogene","RNU6","dbsnp",0.583333333333333,2.02616649299525,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-34P",0.0230000000447035,-0.152999997138977,0.200000002980232,2,0,"Pseudogene","RNU6","dbsnp",0.579439252336449,2.01264068196057,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1077P",0.006000000052154,0.277999997138977,-0.0395000008866191,1,0,"Pseudogene","RNU6","dbsnp",0.57843137254902,2.00913988381042,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-397P",0.0020000000949949,0.253000006079674,-0.279500007629395,2,0,"Pseudogene","RNU6","dbsnp",0.576923076923077,2.00390092713816,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-789P",0.0160000007599592,-0.166999995708466,0.613499999046326,4,0,"Pseudogene","RNU6","dbsnp",0.568627450980392,1.97508666544075,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-437P",0.0080000003799796,0.305000007152557,0.0799999982118607,3,0.28,"Pseudogene","RNU6","dbsnp",0.568421052631579,1.97436975558034,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-417P",0.0080000003799796,0.177000001072884,3.01200008392334,0,0,"Pseudogene","RNU6","dbsnp",0.560747663551402,1.9477167889941,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-842P",0.0130000002682209,0.146999999880791,-0.395000010728836,2,0,"Pseudogene","RNU6","dbsnp",0.560747663551402,1.9477167889941,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-513P",0.0020000000949949,0.28600001335144,-0.0080000003799796,25,2.93,"Pseudogene","RNU6","dbsnp",0.557692307692308,1.93710422956689,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1151P",0.0430000014603138,0.206000000238419,-0.444999992847443,0,0,"Pseudogene","RNU6","dbsnp",0.551401869158878,1.91525484251087,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-830P",0.0020000000949949,0.29899999499321,0.0040000001899898,1,0,"Pseudogene","RNU6","dbsnp",0.551401869158878,1.91525484251087,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-25P",0.0020000000949949,-0.293999999761581,0,6,0,"Pseudogene","RNU6","dbsnp",0.542056074766355,1.88279289602763,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1269P",0.0020000000949949,0.428000003099442,-0.225999996066093,0,0,"Pseudogene","RNU6","dbsnp",0.121495327102804,0.422005304282055,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-312P",0.0590000003576279,0.0109999999403954,0.150000005960464,92,11.55,"Pseudogene","RNU6","dbsnp",0.121495327102804,0.422005304282055,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-473P",0.0010000000474974,-0.167999997735023,0.126000002026558,0,0,"Pseudogene","RNU6","dbsnp",0.121495327102804,0.422005304282055,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-368P",0.0049999998882412,0.407000005245209,-0.225999996066093,0,0,"Pseudogene","RNU6","dbsnp",0.11214953271028,0.38954335779882,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-816P",0.0020000000949949,-0.203999996185303,0.126000002026558,0,0,"Pseudogene","RNU6","dbsnp",0.102803738317757,0.357081411315585,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1235P",0.127000004053116,0.291999995708466,0.224000006914139,2,0,"Pseudogene","RNU6","dbsnp",0.0934579439252336,0.32461946483235,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-631P",0.0010000000474974,-0.175999999046326,0,0,0,"Pseudogene","RNU6","dbsnp",0.0841121495327102,0.292157518349115,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-521P",0.0179999992251396,0.296000003814697,0.003000000026077,0,0,"Pseudogene","RNU6","dbsnp",0.0761904761904762,0.264642154187135,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-941P",0.0020000000949949,-0.280499994754791,-0.42349998652935,27,0,"Pseudogene","RNU6","dbsnp",0.074074074074074,0.257290983237492,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1314P",0.0689999982714653,0.293999999761581,0.816999971866608,0,0,"Pseudogene","RNU6","dbsnp",0.0576923076923076,0.200390092713816,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-255P",0.229000002145767,0.0549999997019768,0.155000001192093,3,0.27,"Pseudogene","RNU6","dbsnp",0.0571428571428571,0.198481615640351,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-303P",0.0280000008642673,0.272000014781952,-0.319999992847443,0,0,"Pseudogene","RNU6","dbsnp",0.0566037735849056,0.196609147568272,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-18P",0.221000000834465,0.0850000008940697,0.0900000035762787,6,0,"Pseudogene","RNU6","dbsnp",0.0560747663551401,0.19477167889941,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1268P",0.003000000026077,-0.203999996185303,0.126000002026558,44,0,"Pseudogene","RNU6","dbsnp",0.0467289719626168,0.162309732416175,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-749P",0.0010000000474974,-0.196999996900558,0,0,0,"Pseudogene","RNU6","dbsnp",0.0467289719626168,0.162309732416175,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1334P",0.0149999996647239,1.81200003623962,0.0099999997764825,1,0,"Pseudogene","RNU6","dbsnp",0.0285714285714285,0.0992408078201756,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1239P",0.0020000000949949,-0.23199999332428,0.126000002026558,21,0,"Pseudogene","RNU6","dbsnp",0.02803738317757,0.097385839449705,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1071P",0.791999995708466,0.252999991178513,0.0270000007003546,0,0,"Pseudogene","RNU6","dbsnp",0.0198019801980198,0.0687807578951712,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-465P",0.745999991893768,0.277999997138977,0.0270000007003546,2,0,"Pseudogene","RNU6","dbsnp",0.0198019801980198,0.0687807578951712,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-785P",0.0155000002123415,0.254999995231628,-0.0034999997587874,1,1.45,"Pseudogene","RNU6","dbsnp",0.0096153846153846,0.033398348785636,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1076P",0.0099999997764825,0.254999995231628,0.0070000002160668,0,0.07,"Pseudogene","RNU6","dbsnp",0,0,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-109P",0.0010000000474974,0.221000000834465,0,0,0,"Pseudogene","RNU6","dbsnp",0,0,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-1171P",0.791999995708466,0.273999989032745,0.0270000007003546,2,0,"Pseudogene","RNU6","dbsnp",0,0,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU6-184P",0.0010000000474974,0.242499999701977,0,0,0,"Pseudogene","RNU6","dbsnp",0,0,"RNU6.Pseudogene","RNU6",12,-0.15,11.85,0.973858394497051,1.33093980581264,0.357081411315585,TRUE
"RNU4ATAC4P",0.0040000001899898,0.838499993085861,-0.0025000000605359,1,0,"Pseudogene","RNU4ATAC","dbsnp",0.19047619047619,0.661605385467838,"RNU4ATAC.Pseudogene","RNU4ATAC",11,-0.15,10.85,1.1026756424464,1.35077766199684,0.24810201955044,TRUE
"RNY4P16",0.0080000003799796,0.306500002741814,0.0380000006407499,1,0,"Pseudogene","RNY","dbsnp",0.170212765957447,0.591221833822323,"RNY.Pseudogene","RNY",6,-0.15,5.85,1.02391836143343,1.2923502905988,0.268431929165366,TRUE
"RNY3P16",0.155000001192093,0.261999994516373,0.0450000017881393,50,0,"Pseudogene","RNY","dbsnp",0.168316831683168,0.584636442108956,"RNY.Pseudogene","RNY",6,-0.15,5.85,1.02391836143343,1.2923502905988,0.268431929165366,TRUE
"TRS-ACT1-1",0.0045000000391155,0.625499993562698,0.625999987125397,0,NA,"Pseudogene","TRNA","dbsnp",0.972972972972973,3.37955183387625,"TRNA.Pseudogene","TRNA",5,-0.15,4.85,1.08532068093133,1.69343817184162,0.608117490910286,TRUE
"TRA-TGC9-1",0.0070000002160668,0.773999989032745,0.775499999523163,7,NA,"Pseudogene","TRNA","dbsnp",0.888888888888889,3.08749179884991,"TRNA.Pseudogene","TRNA",5,-0.15,4.85,1.08532068093133,1.69343817184162,0.608117490910286,TRUE
"TRV-CAC11-2",0,-0.190999999642372,-0.467999994754791,3,NA,"Pseudogene","TRNA","dbsnp",0.863013698630137,2.99761618141763,"TRNA.Pseudogene","TRNA",5,-0.15,4.85,1.08532068093133,1.69343817184162,0.608117490910286,TRUE
"RN7SL134P",0.0089999996125698,0.152999997138977,0.193000003695488,2,0.43,"Pseudogene","RN7SL","dbsnp",0.726072607260726,2.52196112282295,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL52P",0.0230000000447035,-0.0590000003576279,0.0339999999850988,2,0,"Pseudogene","RN7SL","dbsnp",0.679577464788732,2.36046358037073,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL96P",0.0070000002160668,0.101000003516674,-0.294999986886978,1,0.39,"Pseudogene","RN7SL","dbsnp",0.621908127208481,2.16015327269358,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL440P",0.0260000005364418,0.282999992370605,0,1,0.31,"Pseudogene","RN7SL","dbsnp",0.615160349854227,2.13671535204664,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL850P",0.0280000008642673,0.165000006556511,0.12899999320507,4,0,"Pseudogene","RN7SL","dbsnp",0.611683848797251,2.12463997498177,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL787P",0.028999999165535,0.293999999761581,0.0305000003427267,6,0.09,"Pseudogene","RN7SL","dbsnp",0.595070422535211,2.06693443048007,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL774P",0.0280000008642673,0.316000014543533,-0.336500003933907,5,0.23,"Pseudogene","RN7SL","dbsnp",0.593103448275862,2.06010228647399,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL429P",0.0020000000949949,-0.122000001370907,0.200000002980232,2,0,"Pseudogene","RN7SL","dbsnp",0.587443946188341,2.0404444119081,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL381P",0.006000000052154,0.305000007152557,0.0020000000949949,50,12.82,"Pseudogene","RN7SL","dbsnp",0.587248322147651,2.03976492583415,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL759P",0.0020000000949949,-0.125500001013279,0.0689999982714653,5,0.02,"Pseudogene","RN7SL","dbsnp",0.586206896551724,2.03614760872429,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL318P",0.0040000001899898,0.305000007152557,0.0040000001899898,1,0.19,"Pseudogene","RN7SL","dbsnp",0.579124579124579,2.01154768712949,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL275P",0.017000000923872,0.0640000030398369,0.0900000035762787,2,0.06,"Pseudogene","RN7SL","dbsnp",0.570149253731343,1.98037253814291,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL5P",0.0045000000391155,0.0149999996647239,0,835,215.75,"Pseudogene","RN7SL","dbsnp",0.570093457943925,1.98017873547734,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL417P",0.003000000026077,-0.172000005841255,0.200000002980232,82,6.37,"Pseudogene","RN7SL","dbsnp",0.569811320754717,1.97919875218728,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL584P",0.279000014066696,0.266999989748001,0.006000000052154,0,0,"Pseudogene","RN7SL","dbsnp",0.565656565656566,1.96476750835903,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL524P",0.0329999998211861,0.146999999880791,0,1,0.3,"Pseudogene","RN7SL","dbsnp",0.556666666666667,1.93354173902976,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL123P",0.006000000052154,0.25,-0.337500005960464,6,0.23,"Pseudogene","RN7SL","dbsnp",0.551369863013699,1.91514367146127,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL317P",0.0070000002160668,0.365000009536743,-0.337999999523163,5,0.12,"Pseudogene","RN7SL","dbsnp",0.531914893617021,1.84756823069476,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL92P",0.0920000001788139,0.127000004053116,0.190999999642372,12,NA,"Pseudogene","RN7SL","dbsnp",0.531353135313531,1.84561700352043,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL484P",0.0265000006183982,0.17399999499321,0.198499999940395,29,0,"Pseudogene","RN7SL","dbsnp",0.51980198019802,1.80549489474824,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL525P",0.028999999165535,0.151500001549721,0.0075000002980232,4,0.37,"Pseudogene","RN7SL","dbsnp",0.517857142857143,1.79873964174068,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL178P",0.0175000000745058,-0.190999999642372,0.0450000017881393,0,1.16,"Pseudogene","RN7SL","dbsnp",0.516447368421053,1.79384289135482,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL592P",0.0099999997764825,0.305000007152557,0.0070000002160668,2,0.35,"Pseudogene","RN7SL","dbsnp",0.512455516014235,1.77997747834052,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL321P",0.0299999993294477,-0.118000000715256,0.003000000026077,4,5.77,"Pseudogene","RN7SL","dbsnp",0.180602006688963,0.627308116321512,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL753P",0.0435000006109476,0.230000004172325,-0.110500000417233,5,0.49,"Pseudogene","RN7SL","dbsnp",0.179310344827586,0.622821621492137,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL517P",0.349000006914139,0.239999994635582,0.63400000333786,9,12.92,"Pseudogene","RN7SL","dbsnp",0.173770491803279,0.603579339365331,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL311P",0.028999999165535,0.270000010728836,0.027500000782311,2,0.24,"Pseudogene","RN7SL","dbsnp",0.156862745098039,0.54485149391469,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL717P",0.0579999983310699,0.30799999833107,0.0489999987185001,5,0.37,"Pseudogene","RN7SL","dbsnp",0.154882154882155,0.537972055860211,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL331P",0.0070000002160668,0.187000006437302,0.200000002980232,93,1.35,"Pseudogene","RN7SL","dbsnp",0.0890688259109311,0.309374178224839,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL702P",0.018499999307096,0.296000003814697,0.0959999971091747,2,0.25,"Pseudogene","RN7SL","dbsnp",0.047945205479452,0.16653423230098,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL722P",0.025000000372529,0.287000000476837,0.0294999992474914,2,0.16,"Pseudogene","RN7SL","dbsnp",0.0316901408450704,0.110073431208998,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL640P",0.003000000026077,0.28999999165535,0.0089999996125698,3,0.02,"Pseudogene","RN7SL","dbsnp",0.0153256704980842,0.0532326172215501,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
"RN7SL656P",0.0280000008642673,0.224000006914139,-0.129999995231628,9,8.22,"Pseudogene","RN7SL","dbsnp",0.0106761565836298,0.0370828641320941,"RN7SL.Pseudogene","RN7SL",4,-0.15,3.85,1.05542335178438,1.34041695126244,0.284993599478058,TRUE
