"gene_name","expected_promoter","contains_type1_promoter","contains_type2_promoter","contains_type3_promoter","gene_group","locus_type","gene_type","enrichment_intergenic_dbsnp"
"RNU1-38P","",False,True,False,"RNU1","pseudogene","pseudogene",0.9407201574620816
"RNU1-39P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1367583441220122
"RNU1-4","",False,True,True,"RNU1","RNA, small nuclear","functional",0.0211794406933301
"RNU1-40P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0
"RNU1-41P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0
"RNU1-42P","",False,True,True,"RNU1","pseudogene","pseudogene",1.5630427231677666
"RNU1-43P","",False,False,False,"RNU1","pseudogene","pseudogene",1.473575631269275
"RNU1-44P","",False,False,False,"RNU1","pseudogene","pseudogene",0.8736844124046139
"RNU1-45P","",False,False,False,"RNU1","pseudogene","pseudogene",1.330249126100227
"RNU1-46P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1436897974398292
"RNU1-47P","",False,True,False,"RNU1","pseudogene","pseudogene",1.36380005838769
"RNU1-48P","",False,False,False,"RNU1","pseudogene","pseudogene",0.042881830539582
"RNU1-49P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2451912679323929
"RNU1-51P","",True,False,False,"RNU1","pseudogene","pseudogene",1.48015409390887
"RNU1-52P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1225103567464991
"RNU1-54P","",False,False,False,"RNU1","pseudogene","pseudogene",0.9551927752691908
"RNU1-55P","",True,True,True,"RNU1","pseudogene","pseudogene",1.165137332319151
"RNU1-56P","",False,True,False,"RNU1","pseudogene","pseudogene",0.7836393056532164
"RNU1-57P","",False,False,False,"RNU1","pseudogene","pseudogene",1.0043648020355127
"RNU1-58P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2572531788261518
"RNU1-5P","",False,False,False,"RNU1","pseudogene","pseudogene",1.3748986916753505
"RNU1-61P","",False,False,False,"RNU1","pseudogene","pseudogene",2.461303478718926
"RNU1-62P","",True,True,True,"RNU1","pseudogene","pseudogene",1.1436897974398292
"RNU1-63P","",False,False,False,"RNU1","pseudogene","pseudogene",1.016613153279848
"RNU1-64P","",False,False,False,"RNU1","pseudogene","pseudogene",1.3211813065630749
"RNU1-65P","",False,False,False,"RNU1","pseudogene","pseudogene",1.5020230372783343
"RNU1-67P","",False,True,True,"RNU1","pseudogene","pseudogene",0.8048187463465466
"RNU1-68P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2133208353357092
"RNU1-6P","",False,False,True,"RNU1","pseudogene","pseudogene",1.0613253058546563
"RNU1-70P","",False,False,False,"RNU1","pseudogene","pseudogene",1.0589720346665086
"RNU1-72P","",False,False,False,"RNU1","pseudogene","pseudogene",0.9534901143507074
"RNU1-73P","",False,False,False,"RNU1","pseudogene","pseudogene",0.995433712586518
"RNU1-74P","",False,True,False,"RNU1","pseudogene","pseudogene",0.7312480576223469
"RNU1-75P","",False,False,False,"RNU1","pseudogene","pseudogene",1.103957823425985
"RNU1-76P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2015003462505542
"RNU1-77P","",True,True,True,"RNU1","pseudogene","pseudogene",1.3078958314572533
"RNU1-78P","",False,True,False,"RNU1","pseudogene","pseudogene",1.3051669876956435
"RNU1-79P","",False,False,False,"RNU1","pseudogene","pseudogene",""
"RNU1-7P","",False,True,True,"RNU1","pseudogene","pseudogene",1.5037402892264422
"RNU1-80P","",False,True,True,"RNU1","pseudogene","pseudogene",1.4670380286460751
"RNU1-82P","",False,False,False,"RNU1","pseudogene","pseudogene",1.4946267117159788
"RNU1-83P","",False,False,False,"RNU1","pseudogene","pseudogene",1.3131253229864706
"RNU1-84P","",False,True,True,"RNU1","pseudogene","pseudogene",1.080151475359839
"RNU1-86P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0451094581000798
"RNU1-88P","",False,False,False,"RNU1","pseudogene","pseudogene",1.13971865230983
"RNU1-89P","",False,False,False,"RNU1","pseudogene","pseudogene",1.842611340319725
"RNU1-8P","",False,True,True,"RNU1","pseudogene","pseudogene",0.7578388960813414
"RNU1-91P","",False,False,False,"RNU1","pseudogene","pseudogene",1.150706299264613
"RNU1-93P","",False,False,False,"RNU1","pseudogene","pseudogene",0.6576905607017558
"RNU1-94P","",False,False,False,"RNU1","pseudogene","pseudogene",1.1444243445158986
"RNU1-95P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0
"RNU1-96P","",False,False,False,"RNU1","pseudogene","pseudogene",0.8147547802520594
"RNU1-97P","",False,False,False,"RNU1","pseudogene","pseudogene",0.0
"RNU1-98P","",False,False,False,"RNU1","pseudogene","pseudogene",1.2808266759291422
"RNU2-1","",True,True,True,"RNU2","RNA, small nuclear","functional",2.235557559140659
"RNU2-10P","",False,False,False,"RNU2","pseudogene","pseudogene",1.3334013752142089
"RNU2-11P","",False,True,True,"RNU2","pseudogene","pseudogene",0.9844475855958602
"RNU2-12P","",False,False,False,"RNU2","pseudogene","pseudogene",1.0130832464976265
"RNU2-13P","",False,True,False,"RNU2","pseudogene","pseudogene",0.7684575826783514
"RNU2-14P","",True,True,True,"RNU2","pseudogene","pseudogene",1.1638712540167198
"RNU2-15P","",False,False,False,"RNU2","pseudogene","pseudogene",0.9820163705766074
"RNU2-16P","",False,True,True,"RNU2","pseudogene","pseudogene",1.123756206199048
"RNU2-17P","",False,False,False,"RNU2","pseudogene","pseudogene",1.078590884992962
"RNU2-18P","",True,True,True,"RNU2","pseudogene","pseudogene",1.3722185772666264
"RNU2-19P","",False,False,False,"RNU2","pseudogene","pseudogene",0.7856563952430573
"RNU2-20P","",False,False,False,"RNU2","pseudogene","pseudogene",1.0547583239526523
"RNU2-21P","",False,False,False,"RNU2","pseudogene","pseudogene",0.6836002453570611
"RNU2-22P","",True,True,True,"RNU2","pseudogene","pseudogene",0.6553638252275752
"RNU2-23P","",False,False,False,"RNU2","pseudogene","pseudogene",1.0865596138260258
"RNU2-24P","",True,True,True,"RNU2","pseudogene","pseudogene",1.457382492464118
"RNU2-25P","",False,False,False,"RNU2","pseudogene","pseudogene",1.4184680908328773
"RNU2-26P","",True,True,True,"RNU2","pseudogene","pseudogene",0.9638308822325962
"RNU2-27P","",False,False,False,"RNU2","pseudogene","pseudogene",1.2230381245444182
"RNU2-28P","",False,False,False,"RNU2","pseudogene","pseudogene",1.249699061439249
"RNU2-29P","",False,False,False,"RNU2","pseudogene","pseudogene",1.2129432066910355
"RNU2-2P","",False,False,False,"RNU2","pseudogene","pseudogene",""
"RNU2-30P","",True,True,True,"RNU2","pseudogene","pseudogene",1.3056148830242968
"RNU2-31P","",False,False,False,"RNU2","pseudogene","pseudogene",1.0756423041154524
"RNU2-32P","",False,True,False,"RNU2","pseudogene","pseudogene",0.9820163705766074
"RNU2-33P","",False,True,False,"RNU2","pseudogene","pseudogene",1.230172513604261
"RNU2-34P","",False,False,False,"RNU2","pseudogene","pseudogene",0.8037685261468772
"RNU2-35P","",False,True,True,"RNU2","pseudogene","pseudogene",0.7827443997084278
"RNU2-36P","",True,True,True,"RNU2","pseudogene","pseudogene",1.254798695736776
"RNU2-37P","",False,False,False,"RNU2","pseudogene","pseudogene",0.9026988733925584
"RNU2-38P","",False,False,False,"RNU2","pseudogene","pseudogene",0.9233163765547988
"RNU2-39P","",False,False,False,"RNU2","pseudogene","pseudogene",0.6139898463621979
"RNU2-3P","",False,False,False,"RNU2","pseudogene","pseudogene",1.327540649112821
"RNU2-40P","",False,False,False,"RNU2","pseudogene","pseudogene",1.4177258260025094
"RNU2-41P","",False,False,False,"RNU2","pseudogene","pseudogene",0.8781138894200936
"RNU2-42P","",False,False,False,"RNU2","pseudogene","pseudogene",1.4139619521281666
"RNU2-43P","",False,False,False,"RNU2","pseudogene","pseudogene",1.2979653022796658
"RNU2-44P","",False,False,False,"RNU2","pseudogene","pseudogene",1.342820208907016
"RNU2-45P","",False,True,True,"RNU2","pseudogene","pseudogene",1.1144689648255022
"RNU2-46P","",False,False,False,"RNU2","pseudogene","pseudogene",1.13731722236396
"RNU2-47P","",False,True,True,"RNU2","pseudogene","pseudogene",1.6246680635077144
"RNU2-48P","",False,False,False,"RNU2","pseudogene","pseudogene",1.327540649112821
"RNU2-49P","",False,False,False,"RNU2","pseudogene","pseudogene",1.3402902577887854
"RNU2-4P","",True,False,False,"RNU2","pseudogene","pseudogene",1.3025356026398056
"RNU2-50P","",False,False,False,"RNU2","pseudogene","pseudogene",1.4088030760486474
"RNU2-51P","",False,True,True,"RNU2","pseudogene","pseudogene",1.0226337049490182
"RNU2-52P","",False,False,False,"RNU2","pseudogene","pseudogene",0.8774976691468164
"RNU2-53P","",False,True,True,"RNU2","pseudogene","pseudogene",0.9451505506683398
"RNU2-54P","",False,False,False,"RNU2","pseudogene","pseudogene",1.2614028993985489
"RNU2-55P","",False,False,False,"RNU2","pseudogene","pseudogene",1.477205127898017
"RNU2-56P","",False,False,False,"RNU2","pseudogene","pseudogene",1.0968720864335204
"RNU2-57P","",True,True,True,"RNU2","pseudogene","pseudogene",0.0727419533760449
"RNU2-58P","",True,True,True,"RNU2","pseudogene","pseudogene",1.8790677546279164
"RNU2-59P","",False,True,True,"RNU2","pseudogene","pseudogene",1.545766509240956
"RNU2-5P","",False,True,True,"RNU2","pseudogene","pseudogene",1.2542935432827758
"RNU2-60P","",False,False,False,"RNU2","pseudogene","pseudogene",1.3025356026398056
"RNU2-61P","",True,True,True,"RNU2","pseudogene","pseudogene",1.0911293006406748
"RNU2-62P","",False,False,False,"RNU2","pseudogene","pseudogene",0.7637905104484723
"RNU2-63P","",False,False,False,"RNU2","pseudogene","pseudogene",4.149832727006819
"RNU2-64P","",False,False,False,"RNU2","pseudogene","pseudogene",1.618508462617001
"RNU2-65P","",True,True,True,"RNU2","pseudogene","pseudogene",1.351820733550501
"RNU2-66P","",False,False,False,"RNU2","pseudogene","pseudogene",1.4886121173026348
"RNU2-68P","",False,False,False,"RNU2","pseudogene","pseudogene",0.7819759987924836
"RNU2-69P","",True,True,True,"RNU2","pseudogene","pseudogene",1.458839874956582
"RNU2-6P","",True,True,True,"RNU2","pseudogene","pseudogene",1.078590884992962
"RNU2-70P","",False,False,False,"RNU2","pseudogene","pseudogene",0.8926128524607979
"RNU2-71P","",False,True,False,"RNU2","pseudogene","pseudogene",1.157809424568716
"RNU2-72P","",False,False,False,"RNU2","pseudogene","pseudogene",0.9163031642292292
"RNU2-7P","",False,False,False,"RNU2","pseudogene","pseudogene",1.1122775932654518
"RNU2-8P","",False,False,False,"RNU2","pseudogene","pseudogene",1.0968720864335204
"RNU2-9P","",False,False,False,"RNU2","pseudogene","pseudogene",0.6228216214921369
"RNU4-1","",True,True,True,"RNU4","RNA, small nuclear","functional",4.5274340946928415
"RNU4-10P","",False,False,False,"RNU4","pseudogene","pseudogene",0.9924080782017566
"RNU4-11P","",False,False,False,"RNU4","pseudogene","pseudogene",1.157809424568716
"RNU4-12P","",False,False,False,"RNU4","pseudogene","pseudogene",1.4993215569954594
"RNU4-13P","",False,False,False,"RNU4","pseudogene","pseudogene",1.3056148830242968
"RNU4-14P","",True,True,True,"RNU4","pseudogene","pseudogene",1.281182559973579
"RNU4-15P","",False,False,False,"RNU4","pseudogene","pseudogene",1.133175181492786
"RNU4-16P","",False,True,False,"RNU4","pseudogene","pseudogene",1.0592724522649954
"RNU4-17P","",False,False,False,"RNU4","pseudogene","pseudogene",1.0100039661131353
"RNU4-18P","",False,True,True,"RNU4","pseudogene","pseudogene",1.0723335610099518
"RNU4-2","",True,True,True,"RNU4","RNA, small nuclear","functional",3.928567150950402
"RNU4-20P","",False,True,False,"RNU4","pseudogene","pseudogene",1.265155993734027
"RNU4-21P","",True,True,True,"RNU4","pseudogene","pseudogene",1.2680769888133556
"RNU4-22P","",False,True,True,"RNU4","pseudogene","pseudogene",1.067137602162732
"RNU4-23P","",False,False,False,"RNU4","pseudogene","pseudogene",1.0420284821118444
"RNU4-24P","",False,False,False,"RNU4","pseudogene","pseudogene",1.0745137825134128
"RNU4-25P","",False,False,False,"RNU4","pseudogene","pseudogene",1.3742694474228672
"RNU4-26P","",False,False,False,"RNU4","pseudogene","pseudogene",1.5581734311952813
"RNU4-27P","",False,True,False,"RNU4","pseudogene","pseudogene",1.3743780939125043
"RNU4-28P","",True,True,True,"RNU4","pseudogene","pseudogene",0.9853697230372052
"RNU4-29P","",False,False,False,"RNU4","pseudogene","pseudogene",0.9382248785298216
"RNU4-30P","",True,True,True,"RNU4","pseudogene","pseudogene",1.2873545350099709
"RNU4-31P","",False,False,False,"RNU4","pseudogene","pseudogene",1.428786098403947
"RNU4-32P","",False,False,True,"RNU4","pseudogene","pseudogene",1.2563463968724369
"RNU4-33P","",False,False,False,"RNU4","pseudogene","pseudogene",0.6946856547412297
"RNU4-34P","",True,True,True,"RNU4","pseudogene","pseudogene",1.2605183251352958
"RNU4-35P","",False,True,False,"RNU4","pseudogene","pseudogene",1.2563463968724369
"RNU4-36P","",False,False,False,"RNU4","pseudogene","pseudogene",1.399019721353865
"RNU4-37P","",False,False,False,"RNU4","pseudogene","pseudogene",1.364561107527415
"RNU4-38P","",False,False,False,"RNU4","pseudogene","pseudogene",0.7808482165695992
"RNU4-39P","",True,True,True,"RNU4","pseudogene","pseudogene",1.0939931570728023
"RNU4-3P","",False,False,False,"RNU4","pseudogene","pseudogene",1.2148443715918056
"RNU4-40P","",False,True,False,"RNU4","pseudogene","pseudogene",1.0687471611403534
"RNU4-41P","",False,False,False,"RNU4","pseudogene","pseudogene",1.2873545350099709
"RNU4-42P","",False,True,True,"RNU4","pseudogene","pseudogene",0.8805874496719812
"RNU4-43P","",False,False,False,"RNU4","pseudogene","pseudogene",1.2169675703495997
"RNU4-44P","",False,False,False,"RNU4","pseudogene","pseudogene",0.7636615353538341
"RNU4-45P","",False,True,False,"RNU4","pseudogene","pseudogene",1.4534203414798776
"RNU4-46P","",False,True,True,"RNU4","pseudogene","pseudogene",1.4095071255619152
"RNU4-47P","",True,True,True,"RNU4","pseudogene","pseudogene",1.4929647843122915
"RNU4-48P","",False,False,False,"RNU4","pseudogene","pseudogene",0.7633908293859666
"RNU4-49P","",False,False,False,"RNU4","pseudogene","pseudogene",1.5382325212127226
"RNU4-4P","",False,False,False,"RNU4","pseudogene","pseudogene",1.1489031982258795
"RNU4-50P","",False,False,False,"RNU4","pseudogene","pseudogene",1.2563463968724369
"RNU4-51P","",False,False,False,"RNU4","pseudogene","pseudogene",0.6450652508311419
"RNU4-52P","",True,True,True,"RNU4","pseudogene","pseudogene",0.7802628730789173
"RNU4-53P","",False,True,True,"RNU4","pseudogene","pseudogene",1.0420284821118444
"RNU4-54P","",False,False,False,"RNU4","pseudogene","pseudogene",1.1308836239973503
"RNU4-55P","",False,False,False,"RNU4","pseudogene","pseudogene",0.9887861509090494
"RNU4-56P","",False,False,False,"RNU4","pseudogene","pseudogene",0.8805874496719812
"RNU4-57P","",False,False,False,"RNU4","pseudogene","pseudogene",0.7461438513887281
"RNU4-58P","",False,False,False,"RNU4","pseudogene","pseudogene",1.4041518553280172
"RNU4-59P","",False,False,False,"RNU4","pseudogene","pseudogene",0.9282437628007808
"RNU4-5P","",False,False,False,"RNU4","pseudogene","pseudogene",1.260725817863713
"RNU4-60P","",False,False,False,"RNU4","pseudogene","pseudogene",1.36364221115871
"RNU4-61P","",False,True,True,"RNU4","pseudogene","pseudogene",0.7141628226311706
"RNU4-62P","",False,True,True,"RNU4","pseudogene","pseudogene",1.442808667539477
"RNU4-63P","",False,False,False,"RNU4","pseudogene","pseudogene",1.707278304025056
"RNU4-64P","",False,False,False,"RNU4","pseudogene","pseudogene",0.7954415893983545
"RNU4-65P","",False,False,False,"RNU4","pseudogene","pseudogene",1.5382325212127226
"RNU4-66P","",False,False,False,"RNU4","pseudogene","pseudogene",1.2584885049659955
"RNU4-67P","",False,False,False,"RNU4","pseudogene","pseudogene",1.0839066953409258
"RNU4-68P","",True,True,True,"RNU4","pseudogene","pseudogene",1.108540938416856
"RNU4-69P","",False,False,False,"RNU4","pseudogene","pseudogene",1.4816722006718532
"RNU4-6P","",False,False,False,"RNU4","pseudogene","pseudogene",0.8541217066490528
"RNU4-70P","",False,False,False,"RNU4","pseudogene","pseudogene",1.1244911677465947
"RNU4-71P","",False,False,False,"RNU4","pseudogene","pseudogene",0.9836257058282896
"RNU4-72P","",False,False,False,"RNU4","pseudogene","pseudogene",1.2247348248328036
"RNU4-73P","",False,False,False,"RNU4","pseudogene","pseudogene",1.3056148830242968
"RNU4-74P","",False,False,False,"RNU4","pseudogene","pseudogene",1.0787044328279962
"RNU4-75P","",False,False,False,"RNU4","pseudogene","pseudogene",0.8088805568904728
"RNU4-76P","",False,False,False,"RNU4","pseudogene","pseudogene",1.0346382091890651
"RNU4-77P","",False,False,False,"RNU4","pseudogene","pseudogene",0.4898424488559952
"RNU4-78P","",False,False,False,"RNU4","pseudogene","pseudogene",1.461045226241475
"RNU4-79P","",False,False,False,"RNU4","pseudogene","pseudogene",0.8621985076575545
"RNU4-7P","",False,False,False,"RNU4","pseudogene","pseudogene",1.157809424568716
"RNU4-80P","",False,False,False,"RNU4","pseudogene","pseudogene",1.4780545845558075
"RNU4-81P","",False,False,False,"RNU4","pseudogene","pseudogene",0.603025741962873
"RNU4-82P","",False,False,False,"RNU4","pseudogene","pseudogene",1.3149407036173275
"RNU4-83P","",False,True,True,"RNU4","pseudogene","pseudogene",1.2013360946652842
"RNU4-84P","",False,False,False,"RNU4","pseudogene","pseudogene",0.6746947006479569
"RNU4-85P","",False,False,False,"RNU4","pseudogene","pseudogene",1.4402019671464517
"RNU4-86P","",True,True,True,"RNU4","pseudogene","pseudogene",2.236316833756013
"RNU4-87P","",False,False,False,"RNU4","pseudogene","pseudogene",0.6353832207999052
"RNU4-88P","",False,False,False,"RNU4","pseudogene","pseudogene",1.37321582913964
"RNU4-89P","",False,False,False,"RNU4","pseudogene","pseudogene",1.331916104954989
"RNU4-8P","",False,True,True,"RNU4","pseudogene","pseudogene",0.7390272922779039
"RNU4-90P","",True,True,True,"RNU4","pseudogene","pseudogene",1.133175181492786
"RNU4-91P","",False,False,False,"RNU4","pseudogene","pseudogene",1.3379131128349608
"RNU4-92P","",False,False,False,"RNU4","pseudogene","pseudogene",1.0726763786445457
"RNU4-9P","",False,True,False,"RNU4","pseudogene","pseudogene",1.1994572455963677
"RNU5A-1","",False,False,False,"RNU5","RNA, small nuclear","functional",4.126551538847475
"RNU5A-2P","",False,False,False,"RNU5","pseudogene","pseudogene",0.9282437628007808
"RNU5A-3P","",True,True,True,"RNU5","pseudogene","pseudogene",1.310152769906705
"RNU5A-4P","",False,False,False,"RNU5","pseudogene","pseudogene",1.2829780110085771
"RNU5A-5P","",False,False,False,"RNU5","pseudogene","pseudogene",0.898300415613659
"RNU5A-6P","",False,False,False,"RNU5","pseudogene","pseudogene",1.0779604987363909
"RNU5A-7P","",False,True,False,"RNU5","pseudogene","pseudogene",0.9881304571750248
"RNU5A-8P","",False,False,False,"RNU5","pseudogene","pseudogene",4.143738993193299
"RNU5B-1","",False,False,False,"RNU5","RNA, small nuclear","functional",4.215613802275837
"RNU5B-2P","",False,False,False,"RNU5","pseudogene","pseudogene",1.2602704355924963
"RNU5B-3P","",False,False,False,"RNU5","pseudogene","pseudogene",1.3893713094824591
"RNU5B-4P","",False,True,True,"RNU5","pseudogene","pseudogene",0.7510115186391672
"RNU5B-5P","",False,False,False,"RNU5","pseudogene","pseudogene",0.6315324134011179
"RNU5B-6P","",False,False,False,"RNU5","pseudogene","pseudogene",1.6345544817440696
"RNU5D-1","",False,False,False,"RNU5","RNA, small nuclear","functional",5.142035973819886
"RNU5D-2P","",False,False,False,"RNU5","pseudogene","pseudogene",0.4168113928447378
"RNU5E-1","",False,True,True,"RNU5","RNA, small nuclear","functional",5.425437551491421
"RNU5E-10P","",False,True,True,"RNU5","pseudogene","pseudogene",1.5600991398849648
"RNU5E-2P","",True,True,True,"RNU5","pseudogene","pseudogene",0.8336227856894756
"RNU5E-3P","",False,False,False,"RNU5","pseudogene","pseudogene",1.2769956888625544
"RNU5E-4P","",False,False,False,"RNU5","pseudogene","pseudogene",3.9365520435336334
"RNU5E-5P","",True,True,True,"RNU5","pseudogene","pseudogene",1.3474506234204884
"RNU5E-6P","",False,False,False,"RNU5","pseudogene","pseudogene",4.288928824924113
"RNU5E-7P","",False,False,False,"RNU5","pseudogene","pseudogene",1.454683635996592
"RNU5E-8P","",False,True,True,"RNU5","pseudogene","pseudogene",1.3474506234204884
"RNU5E-9P","",False,False,False,"RNU5","pseudogene","pseudogene",0.5677719293558127
"RNU5F-1","",False,False,False,"RNU5","RNA, small nuclear","functional",4.92811190970274
"RNU5F-2P","",False,False,False,"RNU5","pseudogene","pseudogene",0.5930243394132448
"RNU5F-3P","",False,False,False,"RNU5","pseudogene","pseudogene",1.2468716879970787
"RNU5F-4P","",True,True,True,"RNU5","pseudogene","pseudogene",0.8531227338927381
"RNU5F-5P","",False,False,False,"RNU5","pseudogene","pseudogene",1.376264032977908
"RNU5F-6P","",False,False,False,"RNU5","pseudogene","pseudogene",1.4073373177947324
"RNU5F-7P","",False,False,False,"RNU5","pseudogene","pseudogene",0.8155005512179653
"RNU5F-8P","",False,True,True,"RNU5","pseudogene","pseudogene",0.7197193720292019
"RNU6-1","Type 3",True,True,True,"RNU6","RNA, small nuclear","functional",3.733123845572029
"RNU6-1000P","Type 3",False,False,True,"RNU6","pseudogene","pseudogene",1.2779594591937713
"RNU6-1001P","Type 3",False,False,False,"RNU6","pseudogene","pseudogene",0.9030913511635984
"RNU6-1003P","Type 3",True,True,True,"RNU6","pseudogene","pseudogene",1.0254883474751486
"RNU6-1004P","Type 3",False,True,True,"RNU6","pseudogene","pseudogene",1.032640838128855
"RNU6-1005P","Type 3",False,False,True,"RNU6","pseudogene","pseudogene",1.168630073396461
"RNU6-1006P","Type 3",False,False,True,"RNU6","pseudogene","pseudogene",1.0116781379726645
"RNU6-1007P","Type 3",True,True,True,"RNU6","pseudogene","pseudogene",0.8440106085641107
"RNU6-1008P","Type 3",False,False,True,"RNU6","pseudogene","pseudogene",0.9351537659978092
