gene_name,expected_promoter,contains_type1_promoter,contains_type2_promoter,contains_type3_promoter,gene_group,locus_type,gene_type
RNU1-48P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-49P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-51P,None,True,False,False,RNU1,pseudogene,pseudogene
RNU1-52P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-54P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-55P,None,True,True,True,RNU1,pseudogene,pseudogene
RNU1-56P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-57P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-58P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-5P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-61P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-62P,None,True,True,True,RNU1,pseudogene,pseudogene
RNU1-63P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-64P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-65P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-67P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-68P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-6P,None,False,False,True,RNU1,pseudogene,pseudogene
RNU1-70P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-72P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-73P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-74P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-75P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-76P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-77P,None,True,True,True,RNU1,pseudogene,pseudogene
RNU1-78P,None,False,True,False,RNU1,pseudogene,pseudogene
RNU1-79P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-7P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-80P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-82P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-83P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-84P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-86P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-88P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-89P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-8P,None,False,True,True,RNU1,pseudogene,pseudogene
RNU1-91P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-93P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-94P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-95P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-96P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-97P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU1-98P,None,False,False,False,RNU1,pseudogene,pseudogene
RNU2-1,None,True,True,True,RNU2,"RNA, small nuclear",functional
RNU2-10P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-11P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-12P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-13P,None,False,True,False,RNU2,pseudogene,pseudogene
RNU2-14P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-15P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-16P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-17P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-18P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-19P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-20P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-21P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-22P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-23P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-24P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-25P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-26P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-27P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-28P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-29P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-2P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-30P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-31P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-32P,None,False,True,False,RNU2,pseudogene,pseudogene
RNU2-33P,None,False,True,False,RNU2,pseudogene,pseudogene
RNU2-34P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-35P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-36P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-37P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-38P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-39P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-3P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-40P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-41P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-42P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-43P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-44P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-45P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-46P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-47P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-48P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-49P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-4P,None,True,False,False,RNU2,pseudogene,pseudogene
RNU2-50P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-51P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-52P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-53P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-54P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-55P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-56P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-57P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-58P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-59P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-5P,None,False,True,True,RNU2,pseudogene,pseudogene
RNU2-60P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-61P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-62P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-63P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-64P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-65P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-66P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-68P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-69P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-6P,None,True,True,True,RNU2,pseudogene,pseudogene
RNU2-70P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-71P,None,False,True,False,RNU2,pseudogene,pseudogene
RNU2-72P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-7P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-8P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU2-9P,None,False,False,False,RNU2,pseudogene,pseudogene
RNU4-1,None,True,True,True,RNU4,"RNA, small nuclear",functional
RNU4-10P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-11P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-12P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-13P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-14P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-15P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-16P,None,False,True,False,RNU4,pseudogene,pseudogene
RNU4-17P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-18P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-2,None,True,True,True,RNU4,"RNA, small nuclear",functional
RNU4-20P,None,False,True,False,RNU4,pseudogene,pseudogene
RNU4-21P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-22P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-23P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-24P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-25P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-26P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-27P,None,False,True,False,RNU4,pseudogene,pseudogene
RNU4-28P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-29P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-30P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-31P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-32P,None,False,False,True,RNU4,pseudogene,pseudogene
RNU4-33P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-34P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-35P,None,False,True,False,RNU4,pseudogene,pseudogene
RNU4-36P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-37P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-38P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-39P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-3P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-40P,None,False,True,False,RNU4,pseudogene,pseudogene
RNU4-41P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-42P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-43P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-44P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-45P,None,False,True,False,RNU4,pseudogene,pseudogene
RNU4-46P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-47P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-48P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-49P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-4P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-50P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-51P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-52P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-53P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-54P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-55P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-56P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-57P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-58P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-59P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-5P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-60P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-61P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-62P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-63P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-64P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-65P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-66P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-67P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-68P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-69P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-6P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-70P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-71P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-72P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-73P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-74P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-75P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-76P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-77P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-78P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-79P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-7P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-80P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-81P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-82P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-83P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-84P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-85P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-86P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-87P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-88P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-89P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-8P,None,False,True,True,RNU4,pseudogene,pseudogene
RNU4-90P,None,True,True,True,RNU4,pseudogene,pseudogene
RNU4-91P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-92P,None,False,False,False,RNU4,pseudogene,pseudogene
RNU4-9P,None,False,True,False,RNU4,pseudogene,pseudogene
RNU5A-1,None,False,False,False,RNU5,"RNA, small nuclear",functional
RNU5A-2P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5A-3P,None,True,True,True,RNU5,pseudogene,pseudogene
RNU5A-4P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5A-5P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5A-6P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5A-7P,None,False,True,False,RNU5,pseudogene,pseudogene
RNU5A-8P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5B-1,None,False,False,False,RNU5,"RNA, small nuclear",functional
RNU5B-2P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5B-3P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5B-4P,None,False,True,True,RNU5,pseudogene,pseudogene
RNU5B-5P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5B-6P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5D-1,None,False,False,False,RNU5,"RNA, small nuclear",functional
RNU5D-2P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5E-1,None,False,True,True,RNU5,"RNA, small nuclear",functional
RNU5E-10P,None,False,True,True,RNU5,pseudogene,pseudogene
RNU5E-2P,None,True,True,True,RNU5,pseudogene,pseudogene
RNU5E-3P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5E-4P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5E-5P,None,True,True,True,RNU5,pseudogene,pseudogene
RNU5E-6P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5E-7P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5E-8P,None,False,True,True,RNU5,pseudogene,pseudogene
RNU5E-9P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5F-1,None,False,False,False,RNU5,"RNA, small nuclear",functional
RNU5F-2P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5F-3P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5F-4P,None,True,True,True,RNU5,pseudogene,pseudogene
RNU5F-5P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5F-6P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5F-7P,None,False,False,False,RNU5,pseudogene,pseudogene
RNU5F-8P,None,False,True,True,RNU5,pseudogene,pseudogene
RNU6-1,Type 3,True,True,True,RNU6,"RNA, small nuclear",functional
RNU6-1000P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1001P,Type 3,False,False,False,RNU6,pseudogene,pseudogene
RNU6-1003P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1004P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1005P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1006P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1007P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1008P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1009P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-100P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1010P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1011P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1012P,Type 3,False,False,False,RNU6,pseudogene,pseudogene
RNU6-1013P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1014P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1015P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1016P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1017P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1018P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1019P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-101P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1020P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1021P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1022P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1023P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1024P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1025P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1026P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1027P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1028P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1029P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-102P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1031P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1032P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1034P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1035P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1036P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1037P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1038P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1039P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-103P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1040P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1041P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1042P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1043P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1044P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1045P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1046P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1047P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1048P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1049P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-104P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1050P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1051P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1052P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1053P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1054P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1055P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1056P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1057P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1059P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-105P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1060P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1061P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1062P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1064P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1065P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1066P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1067P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1068P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1069P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-106P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1071P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1072P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1073P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1074P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1075P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1076P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1077P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1078P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1079P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-107P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1080P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1081P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1082P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1083P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1084P,Type 3,False,True,True,RNU6,pseudogene,pseudogene
RNU6-1085P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1086P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1087P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-1088P,Type 3,True,True,True,RNU6,pseudogene,pseudogene
RNU6-1089P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
RNU6-108P,Type 3,False,False,True,RNU6,pseudogene,pseudogene
