"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","Gene_Type","Gene_group"
"RNU1-27P",0.346000000834465,0.898999989032745,2.00200003385544,47,"Pseudogene","RNU1"
"RNU1-28P",0.438500002026558,1.32599997520447,2.4264999628067,3,"Pseudogene","RNU1"
"RNU1-29P",0.0179999992251396,0.211999997496605,0.199000000953674,0,"Pseudogene","RNU1"
"RNU1-3",0.145499996840954,0.446000009775162,0.0445000007748604,35,"Functional","RNU1"
"RNU1-30P",0.00999999977648258,-0.233999997377396,0.0489999987185001,7,"Pseudogene","RNU1"
"RNU1-31P",0.00800000037997961,-0.19200000166893,0.0394999999552965,6,"Pseudogene","RNU1"
"RNU1-32P",0.0130000002682209,-0.0219999998807907,0.0439999997615814,2,"Pseudogene","RNU1"
"RNU1-33P",0.00499999988824129,-0.114000000059605,-0.0200000004842877,2,"Pseudogene","RNU1"
"RNU1-34P",0.00499999988824129,-0.29899999499321,0.462000012397766,2,"Pseudogene","RNU1"
"RNU1-35P",0.00700000021606683,-0.17399999499321,0.0399999991059303,0,"Pseudogene","RNU1"
"RNU1-36P",0.0780000016093254,0.296000003814697,0.0430000014603138,121,"Pseudogene","RNU1"
"RNU1-38P",0.0224999999627471,0.305000007152557,0.0480000004172325,6,"Pseudogene","RNU1"
"RNU1-39P",0.0149999996647239,-0.13400000333786,0.00800000037997961,32,"Pseudogene","RNU1"
"RNU1-4",0.0285000000149012,0.266000002622604,0.0469999983906746,4,"Functional","RNU1"
"RNU1-40P",0.0140000004321337,-0.116500001400709,0.0640000030398369,0,"Pseudogene","RNU1"
"RNU1-41P",0.00800000037997961,0.00549999973736703,0.0640000030398369,75,"Pseudogene","RNU1"
"RNU1-42P",0.0260000005364418,0.266999989748001,0.451999992132187,1,"Pseudogene","RNU1"
"RNU1-43P",0.00999999977648258,-0.0549999997019768,0.025000000372529,2,"Pseudogene","RNU1"
"RNU1-44P",0.0149999996647239,-0.208000004291534,-0.0920000001788139,1,"Pseudogene","RNU1"
"RNU1-45P",0.0350000001490116,0.266999989748001,0.0130000002682209,0,"Pseudogene","RNU1"
"RNU1-46P",0.00600000005215406,0.0255000004544854,0.00600000005215406,0,"Pseudogene","RNU1"
"RNU1-47P",0.00999999977648258,0.282999992370605,0.0430000014603138,23,"Pseudogene","RNU1"
"RNU1-48P",0.0040000001899898,-0.0410000011324883,0.0640000030398369,14,"Pseudogene","RNU1"
"RNU1-49P",0.0020000000949949,-0.0780000016093254,-0.0750000029802322,0,"Pseudogene","RNU1"
"RNU1-51P",0.00999999977648258,0.305000007152557,0,6,"Pseudogene","RNU1"
"RNU1-52P",0.0280000008642673,0.622500002384186,-0.214500002563,1,"Pseudogene","RNU1"
"RNU1-54P",0.557500004768372,0.309499993920326,0.892000019550323,1,"Pseudogene","RNU1"
"RNU1-55P",0.0179999992251396,0.30799999833107,-0.159999996423721,0,"Pseudogene","RNU1"
"RNU1-56P",0.0719999969005585,0.0279999997001141,0.762000024318695,4,"Pseudogene","RNU1"
"RNU1-57P",0.0270000007003546,0.319000005722046,0.262999996542931,1,"Pseudogene","RNU1"
"RNU1-58P",0.0480000004172325,0.30799999833107,0.0769999995827675,1,"Pseudogene","RNU1"
"RNU1-5P",0.00300000002607703,0.30799999833107,-2.22699999809265,11,"Pseudogene","RNU1"
"RNU1-61P",0.0020000000949949,0.397000014781952,-0.880999982357025,14,"Pseudogene","RNU1"
"RNU1-62P",0.0089999996125698,0.284000009298325,0.028999999165535,2,"Pseudogene","RNU1"
"RNU1-63P",0.00999999977648258,-0.131500001996756,-0.0430000014603138,4,"Pseudogene","RNU1"
"RNU1-64P",0.0769999995827675,0.430000007152557,0.0199999995529652,6,"Pseudogene","RNU1"
"RNU1-65P",0.00100000004749745,-0.142000004649162,-0.367500007152557,2,"Pseudogene","RNU1"
"RNU1-67P",0.0685000009834766,0.214000001549721,0.455000013113022,13,"Pseudogene","RNU1"
"RNU1-68P",0.00450000003911554,-0.0645000003278255,-2.39400005340576,8,"Pseudogene","RNU1"
"RNU1-6P",0.00549999997019768,0.296999990940094,-2.09549999237061,12,"Pseudogene","RNU1"
"RNU1-70P",0.00450000003911554,-0.129000000655651,0.0304999994114041,384,"Pseudogene","RNU1"
"RNU1-72P",0.0270000007003546,-0.217999994754791,0.108000002801418,13,"Pseudogene","RNU1"
"RNU1-73P",0.0109999999403954,0.284000009298325,0.0285000000149012,4,"Pseudogene","RNU1"
"RNU1-74P",0.0309999994933605,-0.109999999403954,0.0480000004172325,4,"Pseudogene","RNU1"
"RNU1-75P",0.0020000000949949,-0.17399999499321,-0.0040000001899898,9,"Pseudogene","RNU1"
"RNU1-76P",0.0149999996647239,-0.180999994277954,0.0450000017881393,2,"Pseudogene","RNU1"
"RNU1-77P",0.0689999982714653,0.300999999046326,0.0270000007003546,2,"Pseudogene","RNU1"
"RNU1-78P",0.00300000002607703,0.305000007152557,0.0299999993294477,1,"Pseudogene","RNU1"
"RNU1-79P",0.00100000004749745,-0.0590000003576279,-0.368999987840652,1,"Pseudogene","RNU1"
"RNU1-7P",0.159500002861023,0.214000001549721,0.462000012397766,1,"Pseudogene","RNU1"
"RNU1-80P",0.0040000001899898,0.30799999833107,0.00700000021606683,1,"Pseudogene","RNU1"
"RNU1-82P",0.00999999977648258,-0.130999997258186,0.00800000037997961,19,"Pseudogene","RNU1"
"RNU1-83P",0.00800000037997961,-0.250999987125397,0.0294999992474914,1,"Pseudogene","RNU1"
"RNU1-84P",0.063000001013279,0.0649999976158142,0.358999997377396,1,"Pseudogene","RNU1"
"RNU1-86P",0.0020000000949949,-0.295000001788139,0.0640000030398369,2,"Pseudogene","RNU1"
"RNU1-88P",0.228499993681908,0.282999992370605,0.0474999994039536,5,"Pseudogene","RNU1"
"RNU1-89P",0.0240000002086162,0.146999999880791,0.181999996304512,1,"Pseudogene","RNU1"
"RNU1-8P",0.0089999996125698,-0.0469999983906746,0.0469999983906746,2,"Pseudogene","RNU1"
"RNU1-91P",0.0020000000949949,-0.229000002145767,0.00700000021606683,5,"Pseudogene","RNU1"
"RNU1-93P",0.0199999995529652,-0.0790000036358833,0.284000009298325,2,"Pseudogene","RNU1"
"RNU1-94P",0.0590000003576279,0.263999998569489,0.61599999666214,6,"Pseudogene","RNU1"
"RNU1-95P",0.17850000411272,0.00900000031106173,0.0640000030398369,0,"Pseudogene","RNU1"
"RNU1-96P",0.0709999985992908,0.214000001549721,0.033500000834465,1,"Pseudogene","RNU1"
"RNU1-97P",0.229000002145767,-0.0500000007450581,0.0640000030398369,0,"Pseudogene","RNU1"
"RNU1-98P",0.00750000029802322,-0.240000002086163,0.0125000006519258,7,"Pseudogene","RNU1"
"RNU2-1",0.986999988555908,0.808000028133392,-0.425999999046326,5,"Functional","RNU2"
"RNU2-10P",0.0350000001490116,0.119000002741814,0.0700000002980232,2,"Pseudogene","RNU2"
"RNU2-11P",NA,NA,0.188999995589256,32,"Pseudogene","RNU2"
"RNU2-12P",0.333000004291534,0.186000004410744,0.449999988079071,3,"Pseudogene","RNU2"
"RNU2-13P",0.400999993085861,-0.127000004053116,0.347000002861023,8,"Pseudogene","RNU2"
"RNU2-14P",0.202999994158745,0.238000005483627,0.628000020980835,1,"Pseudogene","RNU2"
"RNU2-15P",0.0260000005364418,0.44200000166893,0.0549999997019768,16,"Pseudogene","RNU2"
"RNU2-16P",0.0135000003501773,0.284500002861023,0.415999993681908,2,"Pseudogene","RNU2"
"RNU2-17P",0.0640000030398369,0.421000003814697,0.353000000119209,9,"Pseudogene","RNU2"
"RNU2-18P",0.0219999998807907,-0.153499998152256,0.193999998271465,2,"Pseudogene","RNU2"
"RNU2-19P",0.0120000001043081,-0.300999999046326,0.200000002980232,2,"Pseudogene","RNU2"
"RNU2-20P",0.00700000021606683,-0.104999996721745,0.0820000022649765,4,"Pseudogene","RNU2"
"RNU2-21P",0.0040000001899898,0.127500001341105,0.0984999984502792,1,"Pseudogene","RNU2"
"RNU2-22P",0.0489999987185001,0.30799999833107,0.0635000020265579,15,"Pseudogene","RNU2"
"RNU2-23P",0.282999992370605,0.214000001549721,0.550000011920929,2,"Pseudogene","RNU2"
"RNU2-24P",0.025000000372529,0.398999989032745,0.0109999999403954,2,"Pseudogene","RNU2"
"RNU2-25P",0.00499999988824129,-0.0280000008642673,0.0489999987185001,4,"Pseudogene","RNU2"
"RNU2-26P",0.00800000037997961,0.305000007152557,-0.33500000834465,1,"Pseudogene","RNU2"
"RNU2-27P",0.0040000001899898,-0.0794999990612268,0.0224999999627471,25,"Pseudogene","RNU2"
"RNU2-28P",0.00100000004749745,-0.23199999332428,-0.00700000021606683,15,"Pseudogene","RNU2"
"RNU2-29P",0.0089999996125698,0.284000009298325,-0.0130000002682209,1,"Pseudogene","RNU2"
"RNU2-2P",0.763000011444092,1.35500001907349,1.59200000762939,45,"Pseudogene","RNU2"
"RNU2-30P",0.112000003457069,0.165999993681908,-0.00999999977648258,2,"Pseudogene","RNU2"
"RNU2-31P",0.0270000007003546,0.0120000001043081,0.0230000000447035,3,"Pseudogene","RNU2"
"RNU2-32P",0.0240000002086162,-0.0799999982118607,0.096000000834465,4,"Pseudogene","RNU2"
"RNU2-33P",0.00300000002607703,-0.212999999523163,0.079500000923872,6,"Pseudogene","RNU2"
"RNU2-34P",0.0230000000447035,-0.0309999994933605,0.0829999968409538,1,"Pseudogene","RNU2"
"RNU2-35P",0.236000001430511,-0.0820000022649765,0.0900000035762787,2,"Pseudogene","RNU2"
"RNU2-36P",0.225999996066093,0.206000000238419,0.456000000238419,0,"Pseudogene","RNU2"
"RNU2-37P",0.158999994397163,0.30799999833107,0.096000000834465,3,"Pseudogene","RNU2"
"RNU2-38P",0.00300000002607703,-0.0149999996647239,0.200000002980232,51,"Pseudogene","RNU2"
"RNU2-39P",0.00300000002607703,-0.010499999858439,0.0550000015646219,5,"Pseudogene","RNU2"
"RNU2-3P",0.0469999983906746,0.214000001549721,0.462000012397766,5,"Pseudogene","RNU2"
"RNU2-40P",0.0130000002682209,0.156000003218651,0.0710000023245811,3,"Pseudogene","RNU2"
"RNU2-41P",0.00650000013411045,-0.00500000012107193,-0.243000000715256,2,"Pseudogene","RNU2"
"RNU2-42P",0.00300000002607703,-0.209999993443489,0.0120000001043081,2,"Pseudogene","RNU2"
"RNU2-43P",0.00300000002607703,-0.0685000009834766,0.0320000005885959,1,"Pseudogene","RNU2"
"RNU2-44P",0.0584999993443489,0.239999994635582,0.421999990940094,2,"Pseudogene","RNU2"
"RNU2-45P",0.150999993085861,-0.0920000001788139,0.0529999993741512,1,"Pseudogene","RNU2"
"RNU2-46P",0.0209999997168779,0.212999999523163,0.456000000238419,4,"Pseudogene","RNU2"
"RNU2-47P",0.0020000000949949,0.00600000028498471,-0.267000004649162,1,"Pseudogene","RNU2"
"RNU2-48P",0.0309999994933605,0.30799999833107,0.0320000015199184,1,"Pseudogene","RNU2"
"RNU2-49P",0.0384999997913837,0.30799999833107,0.0210000006482005,1,"Pseudogene","RNU2"
"RNU2-4P",0.962500005960464,0.78600001335144,0.200000002980232,6,"Pseudogene","RNU2"
"RNU2-50P",0.0149999996647239,0.214000001549721,0.45100000500679,1,"Pseudogene","RNU2"
"RNU2-51P",0.123999997973442,0.30799999833107,0.0480000004172325,7,"Pseudogene","RNU2"
"RNU2-52P",0.0890000015497208,0.446000009775162,0.228499997407198,4,"Pseudogene","RNU2"
"RNU2-53P",0.00700000021606683,0.0579999983310699,0.00499999988824129,1,"Pseudogene","RNU2"
"RNU2-54P",0.0360000003129244,-0.160000003874302,0.0219999998807907,0,"Pseudogene","RNU2"
"RNU2-55P",0.0140000004321337,-0.241999998688698,0.155000001192093,0,"Pseudogene","RNU2"
"RNU2-56P",0.079500000923872,0.30799999833107,0.0379999997094274,0,"Pseudogene","RNU2"
"RNU2-57P",0.00700000021606683,-0.0829999968409538,-0.33500000834465,2,"Pseudogene","RNU2"
"RNU2-58P",0.0240000002086162,0.195999994874001,-0.0599999986588955,4,"Pseudogene","RNU2"
"RNU2-59P",0.160999998450279,0.146999999880791,0.193000003695488,2,"Pseudogene","RNU2"
"RNU2-5P",0.399499997496605,0.30799999833107,0.0390000008046627,8,"Pseudogene","RNU2"
"RNU2-60P",0.0240000002086162,0.306500002741814,0.140999998897314,1,"Pseudogene","RNU2"
"RNU2-61P",0.148000001907349,0.207000002264977,0.455000013113022,0,"Pseudogene","RNU2"
"RNU2-62P",0.351999998092651,0.164000004529953,0.200000002980232,2,"Pseudogene","RNU2"
"RNU2-63P",0,-0.462999999523163,-2.71150004863739,6,"Pseudogene","RNU2"
"RNU2-64P",0.00100000004749745,0.206000000238419,0.446999996900558,1,"Pseudogene","RNU2"
"RNU2-65P",0.0160000007599592,0.239999994635582,0.0469999983906746,3,"Pseudogene","RNU2"
"RNU2-66P",0.128000006079674,0.243000000715256,0.398999989032745,0,"Pseudogene","RNU2"
"RNU2-68P",0.46900001168251,0.252000004053116,0.791999995708466,4,"Pseudogene","RNU2"
"RNU2-69P",0.0279999999329448,-0.198499999940395,0.110999997705221,6,"Pseudogene","RNU2"
"RNU2-6P",0.0120000001043081,0.28999999165535,-0.0020000000949949,7,"Pseudogene","RNU2"
"RNU2-70P",0.0240000002086162,0.239999994635582,0.460999995470047,8,"Pseudogene","RNU2"
"RNU2-71P",0.00100000004749745,-0.28999999165535,0.0419999994337559,2,"Pseudogene","RNU2"
"RNU2-72P",0.0130000002682209,-0.0309999994933605,0.100000001490116,6,"Pseudogene","RNU2"
"RNU2-7P",0.0584999993443489,0.246999993920326,0.487000003457069,12,"Pseudogene","RNU2"
"RNU2-8P",0.0844999998807907,0.30799999833107,0.0755000002682209,0,"Pseudogene","RNU2"
"RNU2-9P",0.0280000008642673,0.282999992370605,0.0399999991059303,0,"Pseudogene","RNU2"
"RNU4-1",1,2.8840000629425,7.25099992752075,12,"Functional","RNU4"
"RNU4-10P",0.0850000008940697,-0.20100000500679,0.431500004604459,1,"Pseudogene","RNU4"
"RNU4-11P",0.0189999993890524,0.284000009298325,0.00800000037997961,0,"Pseudogene","RNU4"
"RNU4-12P",0.111000001430511,0.263999998569489,0.391000002622604,5,"Pseudogene","RNU4"
"RNU4-13P",0.0540000014007092,-0.136000007390976,0.0410000011324883,1,"Pseudogene","RNU4"
"RNU4-14P",0.0199999995529652,-0.201999999582767,0.714000016450882,4,"Pseudogene","RNU4"
"RNU4-15P",0.00800000037997961,0.379000008106232,0.025000000372529,1,"Pseudogene","RNU4"
"RNU4-16P",0.0309999994933605,-0.101000003516674,0.0280000008642673,4,"Pseudogene","RNU4"
"RNU4-17P",0.0020000000949949,-0.0230000000447035,0.0810000002384186,1,"Pseudogene","RNU4"
"RNU4-18P",0.0020000000949949,-0.172999992966652,0.0399999991059303,1,"Pseudogene","RNU4"
"RNU4-2",1,2.83999991416931,0.816999971866608,58,"Functional","RNU4"
"RNU4-20P",0.00700000021606683,0.30799999833107,0.0820000022649765,0,"Pseudogene","RNU4"
"RNU4-21P",0.0260000005364418,0.30799999833107,0.033500000834465,5,"Pseudogene","RNU4"
"RNU4-22P",0.0599999986588955,0.238000005483627,0.225499995052814,18,"Pseudogene","RNU4"
"RNU4-23P",0.0355000011622906,0.305000007152557,0.0810000002384186,8,"Pseudogene","RNU4"
"RNU4-24P",0.00100000004749745,0.0140000004321337,0.0469999983906746,4,"Pseudogene","RNU4"
"RNU4-25P",0.0089999996125698,0.207000002264977,-0.020000000949949,91,"Pseudogene","RNU4"
"RNU4-26P",0.00700000021606683,0.0890000015497208,0.0489999987185001,2,"Pseudogene","RNU4"
"RNU4-27P",0.0109999999403954,0.282000005245209,0.0790000036358833,0,"Pseudogene","RNU4"
"RNU4-28P",0.0149999996647239,0.187999993562698,-0.0689999982714653,3,"Pseudogene","RNU4"
"RNU4-29P",0.0165000008419156,-0.0695000011473894,0.0519999992102385,13,"Pseudogene","RNU4"
"RNU4-30P",0.025000000372529,0.239999994635582,0.317999988794327,2,"Pseudogene","RNU4"
"RNU4-31P",0.342000007629395,0.146999999880791,0.398000001907349,3,"Pseudogene","RNU4"
"RNU4-32P",0.0130000002682209,0.301999986171722,0.0419999994337559,13,"Pseudogene","RNU4"
"RNU4-33P",0.314000010490417,0.300000011920929,0.800000011920929,1,"Pseudogene","RNU4"
"RNU4-34P",0.0214999997988343,0.214000001549721,0.456999987363815,2,"Pseudogene","RNU4"
"RNU4-35P",0.0500000007450581,0.282999992370605,0.0469999983906746,2,"Pseudogene","RNU4"
"RNU4-36P",0.0915000028908253,0.30799999833107,0.0489999987185001,10,"Pseudogene","RNU4"
"RNU4-37P",0.00499999988824129,-0.119500000029802,0.0274999998509884,0,"Pseudogene","RNU4"
"RNU4-38P",0.0820000022649765,-0.0930000022053719,0.723999977111816,2,"Pseudogene","RNU4"
"RNU4-39P",0.151999995112419,0.207000002264977,0.446999996900558,32,"Pseudogene","RNU4"
"RNU4-3P",0.170999996364117,0.30799999833107,0.0130000002682209,13,"Pseudogene","RNU4"
"RNU4-40P",0.167999997735023,-0.0790000036358833,0.815999984741211,4,"Pseudogene","RNU4"
"RNU4-41P",0.0270000007003546,-0.0879999995231628,0.096000000834465,1,"Pseudogene","RNU4"
"RNU4-42P",0.0490000005811453,0.189999997615814,-0.0179999992251396,4,"Pseudogene","RNU4"
"RNU4-43P",0.0540000014007092,-0.398999989032745,-0.0839999988675117,0,"Pseudogene","RNU4"
"RNU4-44P",0.0430000014603138,0.30799999833107,0.0209999997168779,1,"Pseudogene","RNU4"
"RNU4-45P",0.0189999993890524,0.00350000010803342,0.0135000003501773,2,"Pseudogene","RNU4"
"RNU4-46P",0.0419999994337559,0.30799999833107,-0.0120000001043081,51,"Pseudogene","RNU4"
"RNU4-47P",0.0194999994710088,0.30799999833107,0.00800000037997961,43,"Pseudogene","RNU4"
"RNU4-48P",0.0020000000949949,-0.10249999910593,-0.254000008106232,4,"Pseudogene","RNU4"
"RNU4-49P",0.0315000005066395,-0.105000000447035,0.431999992579222,1,"Pseudogene","RNU4"
"RNU4-4P",0.0865000002086163,0.0850000008940697,0.096000000834465,1,"Pseudogene","RNU4"
"RNU4-50P",0.146999999880791,-0.158000007271767,0.810000002384186,5,"Pseudogene","RNU4"
"RNU4-51P",0.210499994456768,0.30799999833107,0.815999984741211,4,"Pseudogene","RNU4"
"RNU4-52P",0.0280000008642673,0.211999997496605,0.266500011086464,5,"Pseudogene","RNU4"
"RNU4-53P",0.0810000002384186,0.203999996185303,0.446000009775162,4,"Pseudogene","RNU4"
"RNU4-54P",0.0089999996125698,0.115000002086163,0.0309999994933605,2,"Pseudogene","RNU4"
"RNU4-55P",0.34799998998642,0.305000007152557,0.0829999968409538,1,"Pseudogene","RNU4"
"RNU4-56P",0.0435000006109476,0.30799999833107,0.0370000004768372,3,"Pseudogene","RNU4"
"RNU4-57P",0.214000001549721,0.0689999982714653,0.172000005841255,2,"Pseudogene","RNU4"
"RNU4-58P",0.0089999996125698,0.30799999833107,0.00600000005215406,0,"Pseudogene","RNU4"
"RNU4-59P",0.121499996632338,-0.0815000012516975,0.0850000008940697,2,"Pseudogene","RNU4"
"RNU4-5P",0.0450000017881393,0.151999995112419,0.214000001549721,430,"Pseudogene","RNU4"
"RNU4-60P",0.00300000002607703,-0.0759999975562096,0.0160000007599592,1,"Pseudogene","RNU4"
"RNU4-61P",0.388000011444092,0.347000002861023,0.0179999992251396,2,"Pseudogene","RNU4"
"RNU4-62P",0.0040000001899898,0.0549999997019768,0.0474999994039536,44,"Pseudogene","RNU4"
"RNU4-63P",0.194499999284744,0.819499999284744,1.6085000038147,0,"Pseudogene","RNU4"
"RNU4-64P",0.00100000004749745,-0.216999992728233,-0.275999993085861,2,"Pseudogene","RNU4"
"RNU4-65P",0.0394999999552965,-0.207000002264976,0.281999990344048,9,"Pseudogene","RNU4"
"RNU4-66P",0.00750000029802322,-0.00549999997019768,0.0865000002086163,0,"Pseudogene","RNU4"
"RNU4-67P",0.363000005483627,0.282999992370605,0.755999982357025,0,"Pseudogene","RNU4"
"RNU4-68P",0.0140000004321337,0.204999998211861,0.446000009775162,10,"Pseudogene","RNU4"
"RNU4-69P",0.196999996900558,0.0979999974370003,0.768999993801117,2,"Pseudogene","RNU4"
"RNU4-6P",0.0509999990463257,0.305000007152557,0.482500001788139,1,"Pseudogene","RNU4"
"RNU4-70P",0.017000000923872,0.30799999833107,0.0299999993294477,0,"Pseudogene","RNU4"
"RNU4-71P",0.19200000166893,-0.0240000002086162,0.804000020027161,0,"Pseudogene","RNU4"
"RNU4-72P",0.0790000036358833,0.194999992847443,0.405000001192093,4,"Pseudogene","RNU4"
"RNU4-73P",0.0109999999403954,0.414000004529953,-0.0850000008940697,1,"Pseudogene","RNU4"
"RNU4-74P",0.0109999999403954,0.305000007152557,0.164000004529953,0,"Pseudogene","RNU4"
"RNU4-75P",0.0824999995529652,0.30799999833107,0.0405000001192093,2,"Pseudogene","RNU4"
"RNU4-76P",0.063000001013279,0.239999994635582,0.462000012397766,1,"Pseudogene","RNU4"
"RNU4-77P",0.0130000002682209,-0.0195000004023314,-0.0665000006556511,0,"Pseudogene","RNU4"
"RNU4-78P",0.00300000002607703,-0.0819999985396862,0.00800000037997961,15,"Pseudogene","RNU4"
"RNU4-79P",0.136999994516373,0.214000001549721,0.458000004291534,2,"Pseudogene","RNU4"
"RNU4-7P",0.0390000008046627,0.30799999833107,0.388000011444092,0,"Pseudogene","RNU4"
"RNU4-80P",0.0089999996125698,0.30799999833107,0.00700000021606683,3,"Pseudogene","RNU4"
"RNU4-81P",0.0604999996721745,0.0179999992251396,0.814000010490417,1,"Pseudogene","RNU4"
"RNU4-82P",0.0130000002682209,-0.0274999998509884,0.118999999016523,13,"Pseudogene","RNU4"
"RNU4-83P",0.118000000715256,0.30799999833107,0.0469999983906746,0,"Pseudogene","RNU4"
"RNU4-84P",0.303000003099442,0.30799999833107,0.0419999994337559,1,"Pseudogene","RNU4"
"RNU4-85P",0.499000012874603,0.26800000667572,0.449999988079071,4,"Pseudogene","RNU4"
"RNU4-86P",0.0130000002682209,0.140000000596046,0.178000003099442,2,"Pseudogene","RNU4"
"RNU4-87P",0.253499999642372,0.207999996840954,0.77700001001358,2,"Pseudogene","RNU4"
