GeneName,GeneGroup,Transcript_ID,EnsemblID,NCBI_Accession,Chromosome,Start,End
RN7SL564P,outliers,ENST00000496309.3,ENSG00000240606,NG_043468,chr6,122745280,122745529
RN7SL565P,outliers,ENST00000618246.1,ENSG00000276562,NG_044329,chr9,41578903,41579186
RN7SL584P,outliers,ENST00000492309.3,ENSG00000239471,NG_043970,chr15,20095733,20096029
RN7SL592P,outliers,ENST00000585082.2,ENSG00000264615,NG_044390,chr9,2228961,2229241
RN7SL5P,outliers,ENST00000581458.2,ENSG00000265735,NG_002426,chr9,9442060,9442380
RN7SL602P,outliers,ENST00000578326.2,ENSG00000264352,NG_043573,chr2,34809233,34809556
RN7SL622P,outliers,ENST00000585292.2,ENSG00000265052,NG_045854,chr17,67977698,67977972
RN7SL628P,outliers,ENST00000619139.1,ENSG00000277467,NG_045525,chr15,30612724,30612960
RN7SL635P,outliers,ENST00000492123.3,ENSG00000243029,NG_043671,chr2,65545401,65545696
RN7SL640P,outliers,ENST00000622591.1,ENSG00000278825,NG_043685,chr9,39191100,39191360
RN7SL652P,outliers,ENST00000577769.2,ENSG00000265559,NG_043714,chr11,47557534,47557833
RN7SL656P,outliers,ENST00000579044.1,ENSG00000265411,NG_045542,chr17,46319679,46319959
RN7SL65P,outliers,ENST00000485221.3,ENSG00000243770,NG_045686,chr2,174240143,174240457
RN7SL66P,outliers,ENST00000582099.2,ENSG00000264030,NG_043726,chr2,10280628,10280891
RN7SL670P,outliers,ENST00000577235.2,ENSG00000264041,NG_007956,chr2,203259604,203259897
RN7SL673P,outliers,ENST00000616262.1,ENSG00000273818,NG_045684,chr15,30091662,30091898
RN7SL677P,outliers,ENST00000466970.3,ENSG00000242863,NG_043791,chr15,97353497,97353815
RN7SL681P,outliers,ENST00000482763.3,ENSG00000240966,NG_045582,chr4,87386883,87387174
RN7SL690P,outliers,ENST00000582087.2,ENSG00000264879,NG_045592,chr20,20316755,20316994
RN7SL693P,outliers,ENST00000579576.2,ENSG00000265272,NG_043847,chr19,58490797,58491075
RN7SL717P,outliers,ENST00000478343.3,ENSG00000240302,NG_045188,chr2,199901081,199901377
RN7SL718P,outliers,ENST00000581254.2,ENSG00000264423,NG_043903,chr19,41190927,41191229
RN7SL719P,outliers,ENST00000620196.1,ENSG00000274632,NG_045942,chr15,28703554,28703790
RN7SL722P,outliers,ENST00000617780.1,ENSG00000273940,NG_043909,chr9,61789143,61789426
RN7SL741P,outliers,ENST00000482473.3,ENSG00000242381,NG_042855,chr13,25944478,25944766
RN7SL753P,outliers,ENST00000581238.1,ENSG00000264275,NG_045114,chr2,202333439,202333728
RN7SL759P,outliers,ENST00000620768.1,ENSG00000278497,NG_045673,chr15,20570886,20571175
RN7SL763P,outliers,ENST00000620922.1,ENSG00000277774,NG_044764,chr9,39886861,39887144
RN7SL774P,outliers,ENST00000577467.2,ENSG00000263882,NG_045545,chr17,4364164,4364453
RN7SL778P,outliers,ENST00000607160.2,ENSG00000272412,NG_044036,chr11,130310180,130310476
RN7SL784P,outliers,ENST00000577319.2,ENSG00000264113,NG_028005,chr17,4882975,4883316
RN7SL787P,outliers,ENST00000613000.1,ENSG00000274098,NG_045127,chr9,67791499,67791782
RN7SL811P,outliers,ENST00000580735.2,ENSG00000265439,NG_028283,chr6,44209766,44210063
RN7SL814P,outliers,ENST00000487715.3,ENSG00000244326,NG_044872,chr5,74317986,74318285
RN7SL82P,outliers,ENST00000611435.1,ENSG00000278696,NG_045396,chr15,30800160,30800396
RN7SL832P,outliers,ENST00000607781.1,ENSG00000243819,NR_144555,chr2,10690344,10692099
RN7SL835P,outliers,ENST00000579920.2,ENSG00000264250,NG_044205,chr19,16907462,16907723
RN7SL842P,outliers,ENST00000477654.3,ENSG00000243066,NG_045774,chr19,14588357,14588656
RN7SL847P,outliers,ENST00000582819.2,ENSG00000265319,NG_045235,chr10,33034655,33034924
RN7SL850P,outliers,ENST00000579959.2,ENSG00000263955,NG_044255,chr16,4633591,4633881
RN7SL853P,outliers,ENST00000617250.1,ENSG00000274350,NG_045239,chr15,72664577,72664799
RN7SL92P,outliers,not found,ENSG00000265592,NG_045712,chr3,75713012,75713314
RN7SL96P,outliers,ENST00000582641.2,ENSG00000265905,NG_045092,chr2,38936876,38937158
RNU1-108P,outliers,ENST00000362556.1,ENSG00000199426,NG_047169,chr17,58666537,58666697
RNU1-114P,outliers,ENST00000365297.1,ENSG00000202167,NG_045920,chr1,143652050,143652215
RNU1-11P,outliers,ENST00000383975.1,ENSG00000206702,NG_001264,chr6,13214056,13214219
RNU1-125P,outliers,ENST00000516752.1,ENSG00000252561,NG_029254,chr16,3069523,3069651
RNU1-129P,outliers,ENST00000384064.1,ENSG00000206791,NG_044664,chr1,148014417,148014583
RNU1-136P,outliers,ENST00000384181.1,ENSG00000206908,NG_044677,chr6,53219261,53219424
RNU1-14P,outliers,ENST00000362759.1,ENSG00000199629,NG_001262,chr7,53366058,53366209
RNU1-152P,outliers,not found,not found,NG_046845,chr6,32576277,32576423
RNU1-154P,outliers,ENST00000580816.1,ENSG00000270384,NG_066034,chr1,145431527,145431693
RNU1-2,outliers,ENST00000384278.1,ENSG00000207005.1,NR_004427.1,chr1,16895980,16896143
RNU1-27P,outliers,ENST00000383869.1,ENSG00000206596,NR_004424,chr14,34546714,34546877
RNU1-28P,outliers,ENST00000383861.1,ENSG00000206588,NR_004402,chr14,34556226,34556389
RNU1-3,outliers,ENST00000384782.1,ENSG00000207513.1,NR_004408.1,chr1,16666785,16666948
RNU1-42P,outliers,ENST00000364033.1,ENSG00000200903,NG_044496,chr17,48949361,48949520
RNU1-52P,outliers,ENST00000384190.1,ENSG00000206917,NG_047169,chr17,58677574,58677737
RNU1-5P,outliers,ENST00000362684.1,ENSG00000277234,NG_046579,chr1,16873708,16873851
RNU1-61P,outliers,ENST00000516107.1,ENSG00000251916,NG_045441,chr6,32549940,32550090
RNU11-2P,outliers,ENST00000516898.1,ENSG00000252707,NG_033952,chr17,12036496,12036637
RNU11-3P,outliers,ENST00000391111.1,ENSG00000212413,NG_045873,chr10,103312436,103312568
RNU11-4P,outliers,ENST00000391149.1,ENSG00000212451,NG_043089,chr8,126671522,126671654
RNU11-5P,outliers,ENST00000391216.1,ENSG00000212518,NG_044509,chr14,29476784,29476912
RNU11-6P,outliers,ENST00000391127.1,ENSG00000212429,NG_045741,chr8,80749561,80749693
RNU12-2P,outliers,ENST00000364789.1,ENSG00000201659,NG_013273,chrX,47132671,47132826
RNU2-2,outliers,ENST00000410396.1,ENSG00000222328.1,NR_199791.1,chr11,62841619,62841809
RNU2-24P,outliers,ENST00000516830.1,ENSG00000252639,NG_043557,chr10,27193358,27193500
RNU2-39P,outliers,ENST00000410604.1,ENSG00000222536,NG_050967,chr2,72721806,72722003
RNU2-4P,outliers,ENST00000606190.1,ENSG00000277084,NG_001257,chr17,43387226,43387417
RNU2-58P,outliers,ENST00000516403.1,ENSG00000252212,NG_046008,chr17,59129276,59129458
RNU2-63P,outliers,ENST00000410792.2,ENSG00000222724.2,NR_199865.1,chr2,88016358,88016547
RNU2-70P,outliers,ENST00000410718.1,ENSG00000222650,NG_045549,chr1,236267780,236267958
RNU4-1,outliers,ENST00000363925.2,ENSG00000200795.2,NR_003925.2,chr12,120293093,120293237
RNU4-2,outliers,ENST00000365668.2,ENSG00000202538.2,NR_003137.3,chr12,120291759,120291903
RNU4-21P,outliers,ENST00000362802.1,ENSG00000199672,NG_045324,chr1,229535064,229535189
RNU4-62P,outliers,ENST00000410125.1,ENSG00000222057,NG_045952,chr3,121655475,121655604
RNU4-63P,outliers,ENST00000411313.1,ENSG00000223245,NG_044700,chr2,41871271,41871388
RNU4-65P,outliers,ENST00000410473.1,ENSG00000222405,NG_043243,chr12,70443784,70443923
RNU4-81P,outliers,ENST00000363561.1,ENSG00000200431,NG_015849,chrX,70450879,70451022
RNU4-86P,outliers,ENST00000410135.1,ENSG00000222067,NG_017156,chr11,126214260,126214478
RNU4ATAC10P,outliers,ENST00000516967.1,ENSG00000252776,NG_044341,chr11,122449210,122449331
RNU4ATAC11P,outliers,ENST00000515939.1,ENSG00000251748,NG_045260,chr9,33868540,33868665
RNU4ATAC12P,outliers,ENST00000516460.1,ENSG00000252269,NG_044497,chr12,132995190,132995302
RNU4ATAC13P,outliers,ENST00000515932.1,ENSG00000251741,NG_044351,chr5,113493835,113493960
RNU4ATAC14P,outliers,ENST00000516204.1,ENSG00000252013,NG_042959,chr14,75202081,75202169
RNU4ATAC15P,outliers,ENST00000516415.1,ENSG00000252224,NG_044361,chr9,33174170,33174295
RNU4ATAC16P,outliers,ENST00000408512.1,ENSG00000221439,NG_045266,chr12,781133,781258
RNU4ATAC18P,outliers,ENST00000516179.1,ENSG00000251988,NG_008729,chr6,159720415,159720540
RNU4ATAC2P,outliers,ENST00000408674.1,ENSG00000221601,NG_032648,chr5,159318042,159318167
RNU4ATAC4P,outliers,ENST00000516307.1,ENSG00000252116,NG_044315,chr1,67267601,67267726
RNU4ATAC5P,outliers,ENST00000517226.1,ENSG00000253035,NG_042935,chr11,122451474,122451599
RNU4ATAC9P,outliers,ENST00000517146.1,ENSG00000252955,NG_044333,chr4,72965178,72965303
RNU5A-8P,outliers,ENST00000364102.1,ENSG00000200972,NG_032618,chr1,210374154,210374267
RNU5B-5P,outliers,not found,not found,NG_007592,chr9,125425789,125425876
RNU5D-1,outliers,ENST00000363299.2,ENSG00000200169.2,NR_002755.4,chr1,44731069,44731170
RNU5E-1,outliers,ENST00000362477.2,ENSG00000199347.2,NR_002754.3,chr1,11908152,11908272
RNU5E-4P,outliers,ENST00000364931.1,ENSG00000201801,NG_032609,chr1,11909808,11909927
RNU5E-6P,outliers,ENST00000365574.1,ENSG00000202444,NG_013369,chr1,44819883,44819997
RNU5F-1,outliers,ENST00000362507.3,ENSG00000199377,NR_002753,chr1,44721785,44721901
RNU6-1004P,outliers,ENST00000516584.1,ENSG00000252393,NG_043985,chr12,121604902,121605012
RNU6-1024P,outliers,ENST00000384199.1,ENSG00000206926,NG_043692,chr3,15433110,15433216
RNU6-1049P,outliers,ENST00000516414.1,ENSG00000252223,NG_045595,chr2,130109204,130109310
RNU6-104P,outliers,ENST00000459597.1,ENSG00000238509,NG_046032,chr8,43303376,43303482
RNU6-1051P,outliers,ENST00000365471.1,ENSG00000202341,NG_043004,chr2,237015204,237015305
RNU6-1059P,outliers,ENST00000363752.1,ENSG00000200622,NG_044156,chr4,95868667,95868764
RNU6-1064P,outliers,ENST00000410626.1,ENSG00000222558,NG_043772,chr9,107797744,107797847
RNU6-1071P,outliers,ENST00000364919.1,ENSG00000201789,NG_043790,chr1,146288596,146288696
RNU6-1076P,outliers,ENST00000410397.1,ENSG00000222329,NG_044207,chr19,223158,223261
RNU6-1077P,outliers,ENST00000410506.1,ENSG00000222438,NG_044215,chr12,130869736,130869837
RNU6-1078P,outliers,ENST00000364522.1,ENSG00000201392,NG_043805,chrX,71965972,71966074
RNU6-1083P,outliers,ENST00000384022.1,ENSG00000206749,NG_045589,chr12,57806154,57806260
RNU6-1101P,outliers,ENST00000516244.1,ENSG00000252053,NG_044307,chr3,194533503,194533583
RNU6-110P,outliers,ENST00000384508.1,ENSG00000207237,NG_044929,chr1,25964197,25964300
RNU6-1146P,outliers,ENST00000516282.1,ENSG00000252091,NG_044471,chr20,56667430,56667531
RNU6-1151P,outliers,ENST00000384684.1,ENSG00000207415,NG_043973,chr8,9287472,9287578
RNU6-1171P,outliers,ENST00000516706.2,ENSG00000252515,NG_043072,chr1,148739379,148739479
RNU6-1175P,outliers,ENST00000365200.1,ENSG00000202070,NG_044564,chr11,70075363,70075469
RNU6-1176P,outliers,ENST00000390955.1,ENSG00000212257,NG_044034,chr1,65022968,65023074
RNU6-1177P,outliers,ENST00000391058.1,ENSG00000212360,NG_045255,chr1,61852499,61852602
RNU6-1180P,outliers,ENST00000364935.1,ENSG00000201805,NG_045124,chr2,113086805,113086911
RNU6-1189P,outliers,ENST00000383958.1,ENSG00000206685,NG_045259,chrX,47087506,47087612
RNU6-1191P,outliers,ENST00000516799.1,ENSG00000252608,NG_033236,chr16,81106533,81106639
RNU6-1194P,outliers,ENST00000516208.1,ENSG00000252017,NG_044083,chr3,282689,282792
RNU6-1199P,outliers,ENST00000411249.1,ENSG00000223181,NG_045923,chr1,758233,758336
RNU6-11P,outliers,ENST00000364234.1,ENSG00000201104,NG_045055,chr7,123790605,123790711
RNU6-1205P,outliers,ENST00000363625.1,ENSG00000200495,NG_044653,chr1,248912690,248912795
RNU6-1213P,outliers,ENST00000517075.1,ENSG00000252884,NG_044134,chr8,80405516,80405609
RNU6-1216P,outliers,ENST00000362590.2,ENSG00000199460,NG_045953,chr2,69182877,69182983
RNU6-1218P,outliers,ENST00000458990.1,ENSG00000239175,NG_044701,chr8,30043801,30043908
RNU6-1229P,outliers,ENST00000364295.1,ENSG00000201165,NG_044169,chr7,65023204,65023310
RNU6-1235P,outliers,ENST00000384559.1,ENSG00000207289,NG_043417,chr15,21307749,21307855
RNU6-1239P,outliers,ENST00000391310.1,ENSG00000212612,NG_045753,chr14,18978847,18978953
RNU6-1242P,outliers,ENST00000391052.1,ENSG00000212354,NG_045977,chr18,39678520,39678622
RNU6-1248P,outliers,ENST00000391096.1,ENSG00000212398,NG_044803,chr1,223690051,223690114
RNU6-125P,outliers,ENST00000384505.1,ENSG00000207234,NG_045254,chr1,88816779,88816885
RNU6-1264P,outliers,ENST00000383891.1,ENSG00000206618,NG_044854,chr17,6207163,6207269
RNU6-1268P,outliers,ENST00000391214.1,ENSG00000212516,NG_045285,chr14,19422815,19422921
RNU6-1269P,outliers,ENST00000391139.1,ENSG00000212441,NG_046018,chr9,40233923,40234029
RNU6-1276P,outliers,ENST00000365372.1,ENSG00000202242,NG_008117,chr8,27773645,27773748
RNU6-1278P,outliers,ENST00000516130.1,ENSG00000251939,NG_044910,chr18,46121615,46121721
RNU6-1279P,outliers,ENST00000383917.1,ENSG00000206644,NG_045287,chr3,196393710,196393812
RNU6-1292P,outliers,ENST00000383856.1,ENSG00000206583,NG_021375,chr11,85509938,85510044
RNU6-12P,outliers,ENST00000384604.1,ENSG00000207334,NG_043356,chr8,118976513,118976619
RNU6-1300P,outliers,ENST00000391046.1,ENSG00000212348,NG_042948,chr8,74048677,74048784
RNU6-1305P,outliers,ENST00000364353.1,ENSG00000201223,NG_045814,chr5,36155119,36155222
RNU6-1315P,outliers,ENST00000517187.1,ENSG00000252996,NG_043157,chr12,2954240,2954338
RNU6-1334P,outliers,ENST00000516032.1,ENSG00000251841,NG_043070,chrY,2784749,2784853
RNU6-13P,outliers,ENST00000384248.1,ENSG00000206975,NG_043232,chr8,56917084,56917190
RNU6-15P,outliers,ENST00000384534.1,ENSG00000207264,NR_028372,chr10,21321961,21322067
RNU6-16P,outliers,ENST00000384385.1,ENSG00000207113,NR_046486,chr11,88612805,88612911
RNU6-172P,outliers,ENST00000411000.1,ENSG00000222932,NG_045322,chr12,101796410,101796502
RNU6-187P,outliers,ENST00000384139.1,ENSG00000206866,NG_044622,chr2,176929985,176930090
RNU6-18P,outliers,ENST00000384527.1,ENSG00000207257,NG_043466,chr15,32284152,32284258
RNU6-194P,outliers,ENST00000363862.1,ENSG00000200732,NG_043200,chr6,119327281,119327385
RNU6-2,outliers,ENST00000384627.1,ENSG00000207357.1,NR_125730.1,chr19,1021522,1021628
RNU6-202P,outliers,ENST00000515998.1,ENSG00000251807,NG_016754,chrX,41919254,41919349
RNU6-206P,outliers,ENST00000384116.1,ENSG00000206843,NG_044638,chr7,139315291,139315394
RNU6-218P,outliers,ENST00000517120.1,ENSG00000252929,NG_043302,chr7,6057500,6057604
RNU6-231P,outliers,ENST00000517122.1,ENSG00000252931,NG_043709,chr15,85821855,85821957
RNU6-23P,outliers,ENST00000363283.1,ENSG00000200153,NR_046488,chr16,70445293,70445399
RNU6-254P,outliers,ENST00000363377.1,ENSG00000200247,NG_043431,chr12,19445949,19446055
RNU6-25P,outliers,ENST00000383873.1,ENSG00000206600,NG_043441,chr3,195214787,195214893
RNU6-262P,outliers,ENST00000410317.1,ENSG00000222249,NG_016808,chr11,119289562,119289677
RNU6-275P,outliers,ENST00000364910.1,ENSG00000201780,NG_043821,chr12,8484746,8484852
RNU6-276P,outliers,ENST00000516114.1,ENSG00000251923,NG_043504,chr4,55798636,55798731
RNU6-289P,outliers,ENST00000364093.1,ENSG00000200963,NG_043555,chr4,111331412,111331518
RNU6-312P,outliers,ENST00000364629.1,ENSG00000201499,NG_045523,chr2,200881715,200881821
RNU6-319P,outliers,ENST00000516025.1,ENSG00000251834,NG_043922,chr9,15431899,15432006
RNU6-325P,outliers,ENST00000411132.1,ENSG00000223064,NG_042949,chr10,85537379,85537483
RNU6-328P,outliers,ENST00000390887.1,ENSG00000212189,NG_011881,chr16,7004007,7004112
RNU6-335P,outliers,ENST00000364563.1,ENSG00000201433,NG_043707,chr4,183675603,183675715
RNU6-34P,outliers,ENST00000364874.1,ENSG00000201744,NR_046492,chr4,96152297,96152403
RNU6-353P,outliers,ENST00000364266.1,ENSG00000201136,NG_045572,chr15,43702363,43702470
RNU6-360P,outliers,ENST00000390944.1,ENSG00000212246,NG_045578,chr2,208019638,208019741
RNU6-368P,outliers,ENST00000620928.1,ENSG00000278551,NG_045586,chr9,67869947,67870053
RNU6-369P,outliers,ENST00000362515.1,ENSG00000199385,NG_043825,chr1,44390722,44390823
RNU6-36P,outliers,ENST00000384172.1,ENSG00000206899,NR_046494,chr12,97721716,97721822
RNU6-370P,outliers,ENST00000411008.1,ENSG00000222940,NG_045123,chr2,24045835,24045938
RNU6-37P,outliers,ENST00000362692.1,ENSG00000199562,NG_008069,chr1,10298966,10299072
RNU6-381P,outliers,ENST00000391259.1,ENSG00000212561,NG_044429,chr5,44066624,44066731
RNU6-395P,outliers,ENST00000365662.1,ENSG00000202532,NG_045106,chr2,127845236,127845341
RNU6-397P,outliers,ENST00000516226.1,ENSG00000252035,NG_008899,chr8,14487776,14487879
RNU6-417P,outliers,ENST00000384712.1,ENSG00000207443,NG_043961,chr7,63011463,63011569
RNU6-41P,outliers,ENST00000384741.1,ENSG00000207472,NG_043436,chr1,182982212,182982318
RNU6-428P,outliers,ENST00000362942.1,ENSG00000199812,NG_044734,chr3,146571477,146571583
RNU6-42P,outliers,ENST00000384165.1,ENSG00000206892,NR_028373,chr3,196784980,196785086
