gene_symbol,current_annotation,predicted_annotation,functional_probability,last_modified_in_hgnc,prev_symbols
RNU6ATAC37P,Pseudogene,Functional,0.7,2013-04-03T00:00:00Z,[]
RNU6ATAC38P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC3P,Pseudogene,Functional,0.78,2014-11-19T00:00:00Z,[]
RNU6ATAC41P,Pseudogene,Functional,0.7,2013-04-03T00:00:00Z,[]
RNU6ATAC4P,Pseudogene,Functional,0.77,2014-11-19T00:00:00Z,[]
RNU6ATAC5P,Pseudogene,Functional,0.78,2014-11-19T00:00:00Z,[]
RNU6ATAC6P,Pseudogene,Functional,0.76,2013-04-03T00:00:00Z,[]
RNU6ATAC7P,Pseudogene,Functional,0.78,2013-04-03T00:00:00Z,[]
RNU6ATAC8P,Pseudogene,Functional,0.72,2013-04-03T00:00:00Z,[]
RNU11-3P,Pseudogene,Functional,0.7,2013-04-03T00:00:00Z,[]
RNU11-4P,Pseudogene,Functional,0.56,2013-04-03T00:00:00Z,[]
RNU11-6P,Pseudogene,Functional,0.71,2013-04-03T00:00:00Z,[]
RNU12-2P,Pseudogene,Functional,0.7,2014-11-19T00:00:00Z,"['RNU12', 'RNU12P']"
VTRNA2-1,Functional,Pseudogene,0.29,2021-10-15T00:00:00Z,"['MIR886', 'MIRN886', 'VTRNA2']"
TRA-AGC15-1,Functional,Pseudogene,0.43,2019-04-03T00:00:00Z,['TRNAA17']
TRA-TGC10-1,Functional,Pseudogene,0.0,2018-11-16T00:00:00Z,['TRNAA45P']
TRA-TGC9-1,Pseudogene,Functional,1.0,2019-05-01T00:00:00Z,['TRNAA46P']
TRC-GCA25-1,Pseudogene,Functional,0.91,2019-05-01T00:00:00Z,['TRNAC31P']
TRC-GCA7-1,Functional,Pseudogene,0.15,2020-02-13T00:00:00Z,['TRNAC33']
TRD-GTC10-1,Functional,Pseudogene,0.03,2018-11-16T00:00:00Z,['TRNAD20P']
TRD-GTC2-1,Functional,Pseudogene,0.3,2019-04-03T00:00:00Z,['TRNAD18']
TRE-CTC1-3,Functional,Pseudogene,0.04,2019-04-03T00:00:00Z,['TRNAE22']
TRE-CTC1-4,Functional,Pseudogene,0.49,2019-04-03T00:00:00Z,['TRNAE18']
TRE-CTC1-5,Functional,Pseudogene,0.49,2019-04-03T00:00:00Z,['TRNAE5']
TRE-CTC11-1,Functional,Pseudogene,0.33,2018-11-16T00:00:00Z,['TRNAE35P']
TRE-CTC12-1,Functional,Pseudogene,0.33,2018-11-16T00:00:00Z,['TRNAE27P']
TRE-CTC13-1,Functional,Pseudogene,0.16,2018-11-16T00:00:00Z,['TRNAE31P']
TRE-CTC14-1,Functional,Pseudogene,0.01,2018-11-16T00:00:00Z,['TRNAE28P']
TRE-CTC15-1,Functional,Pseudogene,0.28,2018-11-16T00:00:00Z,['TRNAE41P']
TRE-CTC18-1,Functional,Pseudogene,0.16,2018-11-16T00:00:00Z,['TRNAE37P']
TRE-CTC4-1,Functional,Pseudogene,0.03,2018-11-16T00:00:00Z,['TRNAE39P']
TRE-CTC9-1,Functional,Pseudogene,0.0,2018-11-16T00:00:00Z,['TRNAE38P']
TRE-TTC14-1,Functional,Pseudogene,0.02,2019-04-03T00:00:00Z,['TRNAE34P']
TRE-TTC15-1,Functional,Pseudogene,0.0,2018-11-16T00:00:00Z,['TRNAE33P']
TRG-CCC7-1,Functional,Pseudogene,0.14,2018-11-16T00:00:00Z,['TRNAG32P']
TRG-GCC1-1,Functional,Pseudogene,0.2,2019-04-04T00:00:00Z,['TRNAG30']
TRG-TCC2-3,Functional,Pseudogene,0.47,2019-04-04T00:00:00Z,['TRNAG13']
TRG-TCC2-4,Functional,Pseudogene,0.47,2019-04-04T00:00:00Z,['TRNAG17']
TRG-TCC2-5,Functional,Pseudogene,0.47,2019-04-04T00:00:00Z,['TRNAG9']
TRK-CTT6-1,Functional,Pseudogene,0.11,2018-11-20T00:00:00Z,['TRNAK4']
TRK-CTT7-1,Functional,Pseudogene,0.12,2020-02-13T00:00:00Z,"['TRNAL48', 'TRNAQ49P']"
TRK-CTT9-1,Functional,Pseudogene,0.14,2019-04-04T00:00:00Z,['TRNAK18']
TRK-TTT14-1,Functional,Pseudogene,0.2,2018-11-20T00:00:00Z,['TRNAK40P']
TRK-TTT8-1,Functional,Pseudogene,0.06,2018-11-20T00:00:00Z,['TRNAK11']
TRL-CAA5-1,Functional,Pseudogene,0.11,2019-03-28T00:00:00Z,['TRNAL36']
TRL-CAA7-1,Functional,Pseudogene,0.02,2018-11-21T00:00:00Z,['TRNAL44P']
TRL-TAA5-1,Pseudogene,Functional,0.99,2019-05-01T00:00:00Z,['TRNAL18']
TRN-GTT2-8,Functional,Pseudogene,0.36,2020-02-13T00:00:00Z,[]
TRP-AGG5-1,Functional,Pseudogene,0.02,2019-04-05T00:00:00Z,['TRNAP25P']
TRP-GGG1-1,Functional,Pseudogene,0.0,2019-03-28T00:00:00Z,['TRNAP22P']
TRQ-CTG1-3,Functional,Pseudogene,0.49,2019-05-01T00:00:00Z,"['TRNAQ11', 'TRQ-CTG1-5']"
TRQ-CTG9-1,Pseudogene,Functional,1.0,2019-05-01T00:00:00Z,['TRNAQ51P']
TRQ-TTG10-1,Pseudogene,Functional,0.99,2019-05-01T00:00:00Z,['TRNAQ5']
TRQ-TTG8-1,Functional,Pseudogene,0.0,2019-05-01T00:00:00Z,['TRNAQ45P']
TRQ-TTG9-1,Functional,Pseudogene,0.01,2019-05-01T00:00:00Z,['TRNAQ46P']
TRR-CCT6-2,Functional,Pseudogene,0.0,2019-05-01T00:00:00Z,['TRNAR31P']
TRR-CCT8-1,Functional,Pseudogene,0.05,2019-05-01T00:00:00Z,['TRNAR32P']
TRS-ACT1-1,Pseudogene,Functional,1.0,2019-05-01T00:00:00Z,['TRNAS32P']
TRS-AGA7-1,Functional,Pseudogene,0.08,2019-05-01T00:00:00Z,['TRNAS29P']
TRSUP-CTA2-1,Functional,Pseudogene,0.0,2019-05-01T00:00:00Z,['TRNASUP4P']
TRSUP-CTA3-1,Functional,Pseudogene,0.03,2019-05-01T00:00:00Z,['TRNASUP6P']
TRU-TCA2-1,Functional,Pseudogene,0.02,2019-05-01T00:00:00Z,"['TRSPP1', 'TRNAU2']"
TRUND-NNN1-1,Functional,Pseudogene,0.01,2019-03-28T00:00:00Z,[]
TRUND-NNN5-1,Functional,Pseudogene,0.0,2019-05-01T00:00:00Z,[]
TRV-CAC1-2,Functional,Pseudogene,0.48,2019-05-01T00:00:00Z,"['TRV2', 'TRNAV2']"
TRV-CAC13-1,Functional,Pseudogene,0.01,2019-03-28T00:00:00Z,['TRNAV36P']
TRY-ATA1-1,Functional,Pseudogene,0.03,2019-05-01T00:00:00Z,['TRNAY9']
TRY-GTA11-1,Pseudogene,Functional,0.85,2019-05-01T00:00:00Z,['TRNAY17P']
RN7SL134P,Pseudogene,Functional,0.62,2013-04-02T00:00:00Z,[]
RN7SL275P,Pseudogene,Functional,0.53,2013-04-02T00:00:00Z,[]
RN7SL318P,Pseudogene,Functional,0.65,2013-04-02T00:00:00Z,[]
RN7SL381P,Pseudogene,Functional,0.65,2013-04-02T00:00:00Z,[]
RN7SL440P,Pseudogene,Functional,0.67,2013-04-02T00:00:00Z,[]
RN7SL471P,Pseudogene,Functional,0.72,2016-04-01T00:00:00Z,['RN7SL257P']
RN7SL52P,Pseudogene,Functional,0.54,2013-04-02T00:00:00Z,[]
RN7SL584P,Pseudogene,Functional,0.64,2013-04-02T00:00:00Z,[]
RN7SL774P,Pseudogene,Functional,0.66,2013-04-02T00:00:00Z,[]
RN7SL787P,Pseudogene,Functional,0.64,2015-02-12T00:00:00Z,[]
RN7SL850P,Pseudogene,Functional,0.59,2013-04-02T00:00:00Z,[]
RN7SL96P,Pseudogene,Functional,0.54,2013-04-02T00:00:00Z,[]
RN7SKP253,Pseudogene,Functional,0.59,2019-03-27T00:00:00Z,[]
RN7SKP261,Pseudogene,Functional,0.62,2019-03-27T00:00:00Z,[]
RN7SKP70,Pseudogene,Functional,0.8,2019-03-27T00:00:00Z,[]
RN7SKP80,Pseudogene,Functional,0.51,2019-03-27T00:00:00Z,[]
