"gene_name","gene_group","chromosome","start","end","gene_length","flank_length","intergenic_density_1000genomes","intergenic_density_gnomad","intergenic_density_pangenome","intergenic_density_dbsnp","locus_type","gene_type","Gene_group","Gene_Type","source","snp_count","snp_density","flank_count","flank_density","enrichment","enrichment_intergenic","Gene_Type_combined","Gene_group_f","y_num","y_offset","y_pos","q1","q3","iqr","is_outlier"
"RNU1-42P","RNU1","chr17",48949361,48949520,160,16000,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",66,0.4125,683,0.0426875,9.66325036603221,1.94695863415447,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-27P","RNU1","chr14",34546714,34546877,164,16400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",0,0,110,0.0067073170731707,0,0,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU1-28P","RNU1","chr14",34556226,34556389,164,16400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU1","Pseudogene","gnomad",0,0,92,0.0056097560975609,0,0,"RNU1.Pseudogene","RNU1",14,-0.15,13.85,0.984217330241998,1.34957062962983,0.365353299387832,TRUE
"RNU2-2","RNU2","chr11",62841619,62841809,191,19099,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"RNA, small nuclear","functional","RNU2","Functional","gnomad",413,2.16230366492147,1330,0.0696371537776847,31.0510057867181,10.2058564608066,"RNU2.Functional","RNU2",13,0.15,13.15,1.27830617393981,2.39278394458405,1.11447777064424,TRUE
"RNU2-63P","RNU2","chr2",88016358,88016547,190,19000,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU2","Pseudogene","gnomad",418,2.2,799,0.0420526315789473,52.3153942428035,10.3837793821572,"RNU2.Pseudogene","RNU2",13,-0.15,12.85,0.914326123607368,1.32157192136546,0.407245797758093,TRUE
"RNU2-58P","RNU2","chr17",59129276,59129458,183,18299,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU2","Pseudogene","gnomad",106,0.579234972677596,571,0.0312038909230012,18.562908520188,2.73393098487,"RNU2.Pseudogene","RNU2",13,-0.15,12.85,0.914326123607368,1.32157192136546,0.407245797758093,TRUE
"RNU2-39P","RNU2","chr2",72721806,72722003,198,19800,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU2","Pseudogene","gnomad",85,0.429292929292929,707,0.0357070707070707,12.022630834512,2.02621957640808,"RNU2.Pseudogene","RNU2",13,-0.15,12.85,0.914326123607368,1.32157192136546,0.407245797758093,TRUE
"RNU2-24P","RNU2","chr10",27193358,27193500,143,14299,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU2","Pseudogene","gnomad",59,0.412587412587413,438,0.0306315126931953,13.4693776543092,1.94737121280125,"RNU2.Pseudogene","RNU2",13,-0.15,12.85,0.914326123607368,1.32157192136546,0.407245797758093,TRUE
"RNU4-1","RNU4","chr12",120293093,120293237,145,14499,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"RNA, small nuclear","functional","RNU4","Functional","gnomad",320,2.20689655172414,2067,0.142561555969377,15.4803062909764,10.4163304147031,"RNU4.Functional","RNU4",12,0.15,12.15,1.23800648371472,1.51711062401647,0.279104140301756,TRUE
"RNU4-2","RNU4","chr12",120291759,120291903,145,14499,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"RNA, small nuclear","functional","RNU4","Functional","gnomad",230,1.58620689655172,2157,0.148768880612456,10.6622224353748,7.48673748556788,"RNU4.Functional","RNU4",12,0.15,12.15,1.23800648371472,1.51711062401647,0.279104140301756,TRUE
"SNORD41","RNU4","chr19",12706449,12706518,70,7000,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"RNA, small nucleolar","functional","RNU4","Functional","gnomad",11,0.157142857142857,107,0.0152857142857142,10.2803738317757,0.741698527296942,"RNU4.Functional","RNU4",12,0.15,12.15,1.23800648371472,1.51711062401647,0.279104140301756,TRUE
"RNU4-65P","RNU4","chr12",70443784,70443923,140,14000,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU4","Pseudogene","gnomad",234,1.67142857142857,234,0.0167142857142857,100,7.88897524488566,"RNU4.Pseudogene","RNU4",12,-0.15,11.85,0.933606537856291,1.25179949073437,0.318192952878074,TRUE
"RNU4-86P","RNU4","chr11",126214260,126214478,219,21899,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU4","Pseudogene","gnomad",305,1.39269406392694,1146,0.0523311566738207,26.613095380398,6.57337632120785,"RNU4.Pseudogene","RNU4",12,-0.15,11.85,0.933606537856291,1.25179949073437,0.318192952878074,TRUE
"RNU4-62P","RNU4","chr3",121655475,121655604,130,13000,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU4","Pseudogene","gnomad",102,0.784615384615385,916,0.0704615384615384,11.1353711790393,3.70330593349662,"RNU4.Pseudogene","RNU4",12,-0.15,11.85,0.933606537856291,1.25179949073437,0.318192952878074,TRUE
"RNU4-21P","RNU4","chr1",229535064,229535189,126,12600,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU4","Pseudogene","gnomad",63,0.5,531,0.0421428571428571,11.864406779661,2.35994985958118,"RNU4.Pseudogene","RNU4",12,-0.15,11.85,0.933606537856291,1.25179949073437,0.318192952878074,TRUE
"RNU4-63P","RNU4","chr2",41871271,41871388,118,11800,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU4","Pseudogene","gnomad",45,0.38135593220339,317,0.026864406779661,14.1955835962145,1.79996175730768,"RNU4.Pseudogene","RNU4",12,-0.15,11.85,0.933606537856291,1.25179949073437,0.318192952878074,TRUE
"RNU4-81P","RNU4","chrX",70450879,70451022,144,14400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU4","Pseudogene","gnomad",12,0.0833333333333333,172,0.0119444444444444,6.97674418604651,0.393324976596863,"RNU4.Pseudogene","RNU4",12,-0.15,11.85,0.933606537856291,1.25179949073437,0.318192952878074,TRUE
"RNU5E-6P","RNU5","chr1",44819883,44819997,115,11499,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU5","Pseudogene","gnomad",250,2.17391304347826,582,0.0506130967910253,42.9515912147019,10.2606515633964,"RNU5.Pseudogene","RNU5",11,-0.15,10.85,0.920956042763387,1.32157192136546,0.400615878602073,TRUE
"RNU5A-8P","RNU5","chr1",210374154,210374267,114,11400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU5","Pseudogene","gnomad",225,1.97368421052632,595,0.0521929824561403,37.8151260504202,9.31559155097834,"RNU5.Pseudogene","RNU5",11,-0.15,10.85,0.920956042763387,1.32157192136546,0.400615878602073,TRUE
"RNU5E-4P","RNU5","chr1",11909808,11909927,120,12000,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU5","Pseudogene","gnomad",164,1.36666666666667,1951,0.162583333333333,8.40594566888775,6.45052961618856,"RNU5.Pseudogene","RNU5",11,-0.15,10.85,0.920956042763387,1.32157192136546,0.400615878602073,TRUE
"RNU6-9","RNU6","chr19",893484,893590,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"RNA, small nuclear","functional","RNU6","Functional","gnomad",202,1.88785046728972,486,0.0454248060566408,41.5599015422484,8.91046489038128,"RNU6.Functional","RNU6",10,0.15,10.15,1.14787919419478,3.62814721402901,2.48026801983423,TRUE
"RNU6-2","RNU6","chr19",1021522,1021628,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"RNA, small nuclear","functional","RNU6","Functional","gnomad",173,1.61682242990654,584,0.054584540611272,29.6205191396748,7.63123973285129,"RNU6.Functional","RNU6",10,0.15,10.15,1.14787919419478,3.62814721402901,2.48026801983423,TRUE
"RNU6-1218P","RNU6","chr8",30043801,30043908,108,10800,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",151,1.39814814814815,1537,0.142314814814815,9.82433311646064,6.59911905179182,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-437P","RNU6","chr6",107930088,107930182,95,9499,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",118,1.24210526315789,299,0.0314769975786924,39.4607287449393,5.86261228274904,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-758P","RNU6","chr16",75286712,75286800,89,8899,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",103,1.15730337078652,226,0.0253961119226879,45.5701004275629,5.46235585476093,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-194P","RNU6","chr6",119327281,119327385,105,10499,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",111,1.05714285714286,320,0.0304790932469759,34.6841964285714,4.98960827454307,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-703P","RNU6","chr8",98048856,98048962,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",112,1.04672897196262,252,0.0235536031404804,44.4402907580478,4.94045578080546,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1101P","RNU6","chr3",194533503,194533583,81,8099,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",80,0.987654320987654,320,0.0395110507470058,24.9969135802469,4.66162935225912,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-319P","RNU6","chr9",15431899,15432006,108,10800,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",86,0.796296296296296,368,0.034074074074074,23.3695652173913,3.75843866525892,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1191P","RNU6","chr16",81106533,81106639,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",83,0.775700934579439,250,0.0233666697822226,33.1968971962617,3.66123062327547,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-328P","RNU6","chr16",7004007,7004112,106,10600,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",82,0.773584905660377,525,0.0495283018867924,15.6190476190476,3.65124317897466,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-473P","RNU6","chr2",130497743,130497849,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",76,0.710280373831776,371,0.0346761379568183,20.483260699801,3.35245213697513,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1242P","RNU6","chr18",39678520,39678622,103,10299,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",73,0.70873786407767,230,0.0223322652684726,31.7360489658084,3.34517164561993,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-510P","RNU6","chr1",37991462,37991569,108,10800,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",73,0.675925925925926,213,0.0197222222222222,34.2723004694836,3.19030258795234,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-830P","RNU6","chr1",55398514,55398620,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",70,0.654205607476635,397,0.0371062716141695,17.6305939405353,3.08778486300341,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-781P","RNU6","chr12",6709452,6709552,101,10099,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",65,0.643564356435644,591,0.058520645608476,10.9972190112412,3.0375592252035,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1077P","RNU6","chr12",130869736,130869837,102,10200,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",63,0.617647058823529,473,0.0463725490196078,13.3192389006343,2.91523217948263,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-544P","RNU6","chr11",80527960,80528066,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",66,0.616822429906542,318,0.0297224039629871,20.7527772879563,2.91134001368893,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-11P","RNU6","chr7",123790605,123790711,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",63,0.588785046728972,278,0.0259837367978315,22.6597525717744,2.77900637670307,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-37P","RNU6","chr1",10298966,10299072,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",62,0.579439252336449,225,0.0210300028040003,27.5529802699896,2.73489516437445,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1083P","RNU6","chr12",57806154,57806260,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",61,0.570093457943925,442,0.0413122721749696,13.7996151731721,2.69078395204583,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1064P","RNU6","chr9",107797744,107797847,104,10400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",59,0.567307692307692,446,0.0428846153846153,13.2286995515695,2.67763541760172,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-369P","RNU6","chr1",44390722,44390823,102,10200,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",56,0.549019607843137,316,0.0309803921568627,17.7215189873418,2.59131749287345,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-516P","RNU6","chr15",40529570,40529673,104,10400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",57,0.548076923076923,249,0.0239423076923076,22.8915662650602,2.58686811531014,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1216P","RNU6","chr2",69182877,69182983,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",57,0.532710280373832,199,0.0185998691466492,28.6405391443197,2.51433910273135,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-482P","RNU6","chr5",112778363,112778469,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",56,0.523364485981308,422,0.0394429385923918,13.268901979891,2.47022789040273,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-553P","RNU6","chr4",105406997,105407092,96,9600,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",50,0.520833333333333,185,0.0192708333333333,27.027027027027,2.4582811037304,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1315P","RNU6","chr12",2954240,2954338,99,9899,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",51,0.515151515151515,662,0.0668754419638347,7.70314931795294,2.4314634916897,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-457P","RNU6","chr16",6873899,6874005,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",55,0.514018691588785,520,0.048602673147023,10.5759345794393,2.42611667807411,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-628P","RNU6","chr8",123262843,123262949,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",55,0.514018691588785,481,0.0449574726609963,11.433442788583,2.42611667807411,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-450P","RNU6","chr17",59847438,59847544,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",52,0.485981308411215,296,0.0276661370221516,17.5659257388229,2.29378304108825,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-558P","RNU6","chr12",116782105,116782208,104,10400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",49,0.471153846153846,552,0.053076923076923,8.8768115942029,2.2237989061438,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-276P","RNU6","chr4",55798636,55798731,96,9600,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",45,0.46875,178,0.0185416666666666,25.2808988764045,2.21245299335736,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1292P","RNU6","chr11",85509938,85510044,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",50,0.467289719626168,395,0.0369193382559117,12.6570448361528,2.20556061643101,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-262P","RNU6","chr11",119289562,119289677,116,11600,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",54,0.46551724137931,215,0.0185344827586206,25.1162790697674,2.19719469685144,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-36P","RNU6","chr12",97721716,97721822,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",49,0.457943925233645,403,0.0376670716889428,12.157672595719,2.16144940410239,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-848P","RNU6","chr2",130622838,130622944,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",49,0.457943925233645,298,0.0278530703804093,16.4414162955529,2.16144940410239,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1151P","RNU6","chr8",9287472,9287578,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",49,0.457943925233645,678,0.0633704084493878,7.2264632095498,2.16144940410239,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1175P","RNU6","chr11",70075363,70075469,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",48,0.448598130841121,257,0.0240209365361248,18.6752972835376,2.11733819177377,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-458P","RNU6","chr14",18343038,18343144,107,10699,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",48,0.448598130841121,473,0.0442097392279652,10.1470431329158,2.11733819177377,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-56P","RNU6","chr13",38779424,38779516,93,9299,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",41,0.440860215053763,268,0.0288203032584148,15.2968624618841,2.08081600522212,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-1213P","RNU6","chr8",80405516,80405609,94,9400,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",41,0.436170212765957,489,0.0520212765957446,8.38445807770961,2.05867966474103,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
"RNU6-822P","RNU6","chr3",20268965,20269070,106,10600,0.0213713703515028,0.211868908133809,0.0071013333333333,0.2879,"pseudogene","pseudogene","RNU6","Pseudogene","gnomad",46,0.433962264150943,312,0.0294339622641509,14.7435897435897,2.0482583686931,"RNU6.Pseudogene","RNU6",10,-0.15,9.85,0.916485382361623,1.35322521710111,0.43673983473949,TRUE
