Gene,Max Expression,Location
RNU6-94P,62.0,Brain Cerebellar Hemisphere
RNU6-95P,2.0,Vagina
RNU6-97P,7.0,Testis
RNU6-98P,0.0,Esophagus Muscularis
RNU6-99P,0.0,Esophagus Muscularis
RNU6-100P,10.0,Testis
RNU6-101P,9.0,Brain Cerebellum
RNU6-102P,2.0,Muscle Skeletal
RNU6-103P,49.0,Testis
RNU6-104P,0.0,Esophagus Muscularis
RNU6-105P,33.0,Testis
RNU6-106P,3.0,Adipose Subcutaneous
RNU6-107P,5.0,Testis
RNU6-108P,1.0,Cells EBV-transformed lymphocytes
RNU6-109P,0.0,Esophagus Muscularis
RNU6-110P,3.0,Testis
RNU6-111P,0.0,Esophagus Muscularis
RNU6-112P,56.0,Testis
RNU6-113P,0.0,Esophagus Muscularis
RNU6-114P,1.0,Skin Sun Exposed Lower leg
RNU6-115P,1.0,Brain Nucleus accumbens basal ganglia
RNU6-116P,1.0,Artery Coronary
RNU6-117P,7.0,Pancreas
RNU6-118P,12.0,Testis
RNU6-119P,1.0,Brain Cerebellum
RNU6-120P,1.0,Testis
RNU6-121P,1.0,Ovary
RNU6-122P,4.0,Brain Cerebellar Hemisphere
RNU6-123P,4.0,Testis
RNU6-125P,13.0,Brain Cerebellum
RNU6-126P,7.0,Testis
RNU6-127P,1.0,Skin Not Sun Exposed Suprapubic
RNU6-128P,1.0,Brain Cerebellar Hemisphere
RNU6-129P,0.0,Esophagus Muscularis
RNU6-130P,9.0,Cells Cultured fibroblasts
RNU6-131P,1.0,Brain Cerebellar Hemisphere
RNU6-132P,4.0,Uterus
RNU6-133P,0.0,Esophagus Muscularis
RNU6-135P,2.0,Colon Transverse
RNU6-136P,8.0,Brain Cortex
RNU6-137P,12.0,Adrenal Gland
RNU6-138P,0.0,Esophagus Muscularis
RNU6-139P,0.0,Esophagus Muscularis
RNU6-140P,8.0,Skin Sun Exposed Lower leg
RNU6-141P,3.0,Brain Nucleus accumbens basal ganglia
RNU6-142P,3.0,Pituitary
RNU6-143P,17.0,Brain Cortex
RNU6-144P,1.0,Testis
RNU6-145P,2.0,Pancreas
RNU6-146P,115.0,Thyroid
RNU6-147P,1.0,Skin Not Sun Exposed Suprapubic
RNU6-148P,0.0,Esophagus Muscularis
RNU6-150P,2.0,Uterus
RNU6-151P,2.0,Skin Sun Exposed Lower leg
RNU6-152P,1.0,Ovary
RNU6-153P,2.0,Testis
RNU6-154P,0.0,Esophagus Muscularis
RNU6-155P,2.0,Adipose Subcutaneous
RNU6-156P,5.0,Brain Cortex
RNU6-157P,1.0,Brain Cerebellar Hemisphere
RNU6-158P,4.0,Brain Frontal Cortex BA9
RNU6-159P,1.0,Whole Blood
RNU6-160P,8.0,Vagina
RNU6-161P,0.0,Esophagus Muscularis
RNU6-162P,1.0,Esophagus Muscularis
RNU6-163P,2.0,Esophagus Muscularis
RNU6-164P,2.0,Testis
RNU6-165P,0.0,Esophagus Muscularis
RNU6-166P,0.0,Esophagus Muscularis
RNU6-167P,29.0,Skin Sun Exposed Lower leg
RNU6-168P,0.0,Esophagus Muscularis
RNU6-169P,0.0,Esophagus Muscularis
RNU6-170P,1.0,Thyroid
RNU6-171P,6.0,Brain Cortex
RNU6-172P,5.0,Adipose Subcutaneous
RNU6-173P,3.0,Adrenal Gland
RNU6-174P,0.0,Esophagus Muscularis
RNU6-175P,0.0,Esophagus Muscularis
RNU6-176P,7.0,Whole Blood
RNU6-177P,2.0,Artery Aorta
RNU6-178P,13.0,Brain Nucleus accumbens basal ganglia
RNU6-179P,8.0,Brain Cortex
RNU6-180P,1.0,Brain Amygdala
RNU6-181P,13.0,Brain Cortex
RNU6-182P,19.0,Adrenal Gland
RNU6-183P,0.0,Esophagus Muscularis
RNU6-184P,0.0,Esophagus Muscularis
RNU6-185P,0.0,Esophagus Muscularis
RNU6-187P,0.0,Esophagus Muscularis
RNU6-188P,2.0,Colon Transverse
RNU6-189P,2.0,Artery Coronary
RNU6-190P,7.0,Testis
RNU6-191P,8.0,Heart Atrial Appendage
RNU6-192P,0.0,Esophagus Muscularis
RNU6-193P,0.0,Esophagus Muscularis
RNU6-194P,7.0,Nerve Tibial
RNU6-195P,11.0,Colon Sigmoid
RNU6-196P,8.0,Lung
RNU6-197P,3.0,Testis
RNU6-198P,2.0,Skin Not Sun Exposed Suprapubic
RNU6-199P,5.0,Colon Sigmoid
RNU6-200P,2.0,Uterus
RNU6-201P,5.0,Minor Salivary Gland
RNU6-202P,2.0,Kidney Cortex
RNU6-203P,0.0,Esophagus Muscularis
RNU6-204P,16.0,Brain Cerebellar Hemisphere
RNU6-205P,0.0,Esophagus Muscularis
RNU6-206P,0.0,Esophagus Muscularis
RNU6-207P,0.0,Esophagus Muscularis
RNU6-208P,6.0,Testis
RNU6-209P,2.0,Whole Blood
RNU6-210P,1.0,Vagina
RNU6-211P,2.0,Testis
RNU6-212P,2.0,Kidney Medulla
RNU6-213P,4.0,Testis
RNU6-214P,0.0,Esophagus Muscularis
RNU6-215P,0.0,Esophagus Muscularis
RNU6-216P,17.0,Cells EBV-transformed lymphocytes
RNU6-217P,0.0,Esophagus Muscularis
RNU6-218P,3.0,Lung
RNU6-219P,0.0,Esophagus Muscularis
RNU6-220P,1.0,Heart Left Ventricle
RNU6-221P,1.0,Testis
RNU6-222P,22.0,Colon Sigmoid
RNU6-223P,3.0,Small Intestine Terminal Ileum
RNU6-224P,1.0,Testis
RNU6-225P,2.0,Brain Nucleus accumbens basal ganglia
RNU6-226P,16.0,Whole Blood
RNU6-227P,1.0,Nerve Tibial
RNU6-228P,5.0,Fallopian Tube
RNU6-229P,1.0,Testis
RNU6-230P,5.0,Thyroid
RNU6-231P,0.0,Esophagus Muscularis
RNU6-232P,0.0,Esophagus Muscularis
RNU6-233P,2.0,Esophagus Gastroesophageal Junction
RNU6-234P,1.0,Artery Coronary
RNU6-235P,4.0,Esophagus Mucosa
RNU6-236P,3.0,Artery Aorta
RNU6-237P,12.0,Skin Sun Exposed Lower leg
RNU6-238P,3.0,Adipose Subcutaneous
RNU6-239P,1.0,Cells EBV-transformed lymphocytes
RNU6-240P,0.0,Esophagus Muscularis
RNU6-241P,1.0,Brain Amygdala
RNU6-242P,9.0,Small Intestine Terminal Ileum
RNU6-243P,0.0,Esophagus Muscularis
RNU6-244P,142.0,Brain Cortex
RNU6-245P,1.0,Colon Transverse
RNU6-246P,3.0,Brain Cerebellar Hemisphere
RNU6-247P,6.0,Testis
RNU6-248P,0.0,Esophagus Muscularis
RNU6-249P,3.0,Brain Cerebellum
RNU6-250P,2.0,Thyroid
RNU6-251P,2.0,Bladder
RNU6-252P,1.0,Testis
RNU6-253P,2.0,Kidney Medulla
RNU6-254P,2.0,Testis
RNU6-255P,3.0,Brain Frontal Cortex BA9
RNU6-256P,0.0,Esophagus Muscularis
RNU6-257P,1.0,Adipose Subcutaneous
RNU6-258P,2.0,Brain Cerebellum
RNU6-259P,0.0,Esophagus Muscularis
RNU6-260P,2.0,Artery Coronary
RNU6-261P,0.0,Esophagus Muscularis
RNU6-262P,4.0,Adipose Subcutaneous
RNU6-263P,2.0,Cells Cultured fibroblasts
RNU6-264P,1.0,Brain Hypothalamus
RNU6-266P,0.0,Esophagus Muscularis
RNU6-267P,1.0,Artery Coronary
RNU6-268P,3.0,Nerve Tibial
RNU6-269P,3.0,Colon Sigmoid
RNU6-270P,2.0,Pancreas
RNU6-271P,1.0,Pancreas
RNU6-272P,3.0,Testis
RNU6-273P,2.0,Thyroid
RNU6-274P,0.0,Esophagus Muscularis
RNU6-275P,0.0,Esophagus Muscularis
RNU6-276P,0.0,Esophagus Muscularis
RNU6-277P,15.0,Brain Cerebellum
RNU6-278P,2.0,Colon Sigmoid
RNU6-279P,1.0,Brain Hippocampus
RNU6-280P,0.0,Esophagus Muscularis
RNU6-281P,0.0,Esophagus Muscularis
RNU6-282P,10.0,Brain Cortex
RNU6-283P,2.0,Brain Substantia nigra
RNU6-284P,0.0,Esophagus Muscularis
RNU6-285P,2.0,Bladder
RNU6-286P,1.0,Prostate
RNU6-287P,8.0,Kidney Cortex
RNU6-288P,8.0,Small Intestine Terminal Ileum
RNU6-289P,0.0,Esophagus Muscularis
RNU6-290P,1.0,Skin Sun Exposed Lower leg
RNU6-291P,3.0,Colon Transverse
RNU6-293P,1.0,Pancreas
RNU6-294P,1.0,Artery Aorta
RNU6-295P,0.0,Esophagus Muscularis
RNU6-296P,1.0,Testis
RNU6-297P,0.0,Esophagus Muscularis
RNU6-298P,5.0,Brain Cortex
RNU6-299P,1.0,Testis
RNU6-300P,1.0,Testis
RNU6-301P,10.0,Cells Cultured fibroblasts
RNU6-302P,4.0,Artery Coronary
RNU6-303P,0.0,Esophagus Muscularis
RNU6-304P,3.0,Small Intestine Terminal Ileum
RNU6-306P,2.0,Brain Cerebellar Hemisphere
RNU6-307P,7.0,Testis
RNU6-308P,3.0,Small Intestine Terminal Ileum
RNU6-309P,0.0,Esophagus Muscularis
RNU6-310P,2.0,Skin Sun Exposed Lower leg
RNU6-311P,1.0,Brain Cerebellar Hemisphere
RNU6-312P,92.0,Brain Cortex
RNU6-313P,2.0,Colon Transverse
RNU6-314P,7.0,Testis
RNU6-315P,5.0,Esophagus Muscularis
RNU6-316P,6.0,Minor Salivary Gland
RNU6-317P,1.0,Pancreas
RNU6-318P,1.0,Brain Caudate basal ganglia
RNU6-319P,2.0,Minor Salivary Gland
RNU6-320P,1.0,Muscle Skeletal
RNU6-321P,1.0,Thyroid
RNU6-322P,43.0,Small Intestine Terminal Ileum
RNU6-323P,15.0,Testis
RNU6-324P,12.0,Pancreas
RNU6-325P,5.0,Brain Nucleus accumbens basal ganglia
RNU6-326P,0.0,Esophagus Muscularis
RNU6-327P,10.0,Cells EBV-transformed lymphocytes
RNU6-328P,1.0,Thyroid
RNU6-329P,0.0,Esophagus Muscularis
RNU6-330P,0.0,Esophagus Muscularis
RNU6-331P,2.0,Kidney Cortex
RNU6-332P,0.0,Esophagus Muscularis
RNU6-333P,1.0,Liver
RNU6-334P,0.0,Esophagus Muscularis
RNU6-335P,5.0,Skin Sun Exposed Lower leg
RNU6-336P,2.0,Testis
RNU6-337P,3.0,Testis
RNU6-338P,0.0,Esophagus Muscularis
RNU6-339P,5.0,Liver
RNU6-340P,7.0,Nerve Tibial
RNU6-341P,9.0,Testis
RNU6-342P,4.0,Colon Transverse
RNU6-343P,50.0,Lung
RNU6-344P,2.0,Breast Mammary Tissue
RNU6-345P,2.0,Thyroid
RNU6-346P,21.0,Testis
RNU6-347P,1.0,Skin Sun Exposed Lower leg
RNU6-348P,0.0,Esophagus Muscularis
RNU6-349P,0.0,Esophagus Muscularis
RNU6-351P,0.0,Esophagus Muscularis
RNU6-352P,0.0,Esophagus Muscularis
RNU6-353P,204.0,Brain Cerebellar Hemisphere
RNU6-354P,41.0,Brain Cerebellar Hemisphere
RNU6-355P,5.0,Whole Blood
RNU6-356P,0.0,Esophagus Muscularis
RNU6-358P,2.0,Brain Nucleus accumbens basal ganglia
RNU6-359P,2.0,Brain Cerebellum
RNU6-360P,1.0,Kidney Cortex
RNU6-361P,2.0,Brain Cerebellar Hemisphere
RNU6-362P,1.0,Brain Cerebellar Hemisphere
RNU6-363P,0.0,Esophagus Muscularis
RNU6-364P,1.0,Testis
RNU6-365P,3.0,Brain Caudate basal ganglia
RNU6-366P,0.0,Esophagus Muscularis
RNU6-367P,6.0,Brain Cortex
RNU6-368P,0.0,Esophagus Muscularis
RNU6-369P,0.0,Esophagus Muscularis
RNU6-370P,2.0,Brain Cerebellar Hemisphere
RNU6-371P,0.0,Esophagus Muscularis
RNU6-373P,2.0,Brain Putamen basal ganglia
RNU6-374P,1.0,Testis
RNU6-375P,6.0,Lung
RNU6-376P,2.0,Adipose Visceral Omentum
RNU6-377P,4.0,Brain Caudate basal ganglia
RNU6-378P,2.0,Esophagus Mucosa
RNU6-379P,3.0,Skin Sun Exposed Lower leg
RNU6-380P,2.0,Brain Putamen basal ganglia
RNU6-381P,0.0,Esophagus Muscularis
RNU6-382P,0.0,Esophagus Muscularis
RNU6-383P,1.0,Bladder
RNU6-384P,8.0,Kidney Cortex
RNU6-386P,2.0,Brain Anterior cingulate cortex BA24
RNU6-387P,19.0,Nerve Tibial
RNU6-388P,18.0,Nerve Tibial
RNU6-389P,4.0,Pituitary
RNU6-390P,3.0,Brain Cortex
RNU6-391P,1.0,Pituitary
RNU6-392P,0.0,Esophagus Muscularis
RNU6-393P,1.0,Colon Transverse
RNU6-394P,0.0,Esophagus Muscularis
RNU6-395P,160.0,Testis
RNU6-396P,2.0,Skin Not Sun Exposed Suprapubic
RNU6-397P,2.0,Brain Cerebellar Hemisphere
RNU6-398P,27.0,Testis
RNU6-399P,2.0,Testis
RNU6-400P,0.0,Esophagus Muscularis
RNU6-401P,1.0,Skin Sun Exposed Lower leg
RNU6-402P,4.0,Colon Transverse
RNU6-403P,23.0,Vagina
RNU6-405P,6.0,Testis
RNU6-406P,17.0,Skin Not Sun Exposed Suprapubic
RNU6-407P,7.0,Artery Aorta
RNU6-408P,0.0,Esophagus Muscularis
RNU6-409P,4.0,Brain Substantia nigra
RNU6-410P,2.0,Artery Aorta
RNU6-411P,5.0,Thyroid
RNU6-412P,0.0,Esophagus Muscularis
RNU6-413P,0.0,Esophagus Muscularis
RNU6-414P,3.0,Vagina
RNU6-415P,59.0,Brain Cerebellar Hemisphere
RNU6-416P,2.0,Testis
RNU6-417P,0.0,Esophagus Muscularis
RNU6-418P,45.0,Stomach
RNU6-419P,5.0,Pituitary
RNU6-420P,1.0,Spleen
RNU6-421P,1.0,Kidney Medulla
RNU6-422P,3.0,Testis
RNU6-424P,0.0,Esophagus Muscularis
RNU6-425P,2.0,Thyroid
RNU6-426P,0.0,Esophagus Muscularis
RNU6-428P,2.0,Adrenal Gland
RNU6-429P,2.0,Testis
RNU6-430P,4.0,Testis
RNU6-431P,12.0,Lung
RNU6-432P,3.0,Artery Aorta
RNU6-433P,6.0,Skin Not Sun Exposed Suprapubic
RNU6-434P,2.0,Liver
RNU6-435P,6.0,Brain Cortex
RNU6-436P,2.0,Brain Nucleus accumbens basal ganglia
RNU6-437P,3.0,Brain Hippocampus
RNU6-438P,1.0,Brain Putamen basal ganglia
RNU6-439P,0.0,Esophagus Muscularis
RNU6-440P,0.0,Esophagus Muscularis
RNU6-441P,0.0,Esophagus Muscularis
RNU6-442P,11.0,Small Intestine Terminal Ileum
RNU6-444P,14.0,Brain Cerebellar Hemisphere
RNU6-445P,1.0,Brain Hypothalamus
RNU6-446P,19.0,Artery Aorta
RNU6-447P,3.0,Testis
RNU6-448P,1.0,Colon Transverse
RNU6-449P,0.0,Esophagus Muscularis
RNU6-450P,2.0,Pancreas
RNU6-451P,12.0,Small Intestine Terminal Ileum
RNU6-452P,1.0,Pancreas
RNU6-453P,4.0,Brain Cerebellar Hemisphere
RNU6-454P,2.0,Lung
RNU6-455P,3.0,Nerve Tibial
RNU6-456P,0.0,Esophagus Muscularis
RNU6-457P,4.0,Brain Cerebellar Hemisphere
RNU6-458P,0.0,Esophagus Muscularis
RNU6-460P,12.0,Brain Substantia nigra
RNU6-461P,0.0,Esophagus Muscularis
RNU6-462P,1.0,Prostate
RNU6-463P,1.0,Vagina
RNU6-464P,0.0,Esophagus Muscularis
RNU6-465P,2.0,Prostate
RNU6-466P,4.0,Lung
RNU6-467P,3.0,Testis
RNU6-468P,1.0,Colon Transverse
RNU6-469P,4.0,Artery Aorta
RNU6-470P,11.0,Skin Sun Exposed Lower leg
RNU6-471P,0.0,Esophagus Muscularis
RNU6-472P,0.0,Esophagus Muscularis
RNU6-473P,0.0,Esophagus Muscularis
RNU6-474P,0.0,Esophagus Muscularis
RNU6-475P,0.0,Esophagus Muscularis
RNU6-476P,11.0,Nerve Tibial
RNU6-477P,0.0,Esophagus Muscularis
RNU6-478P,0.0,Esophagus Muscularis
RNU6-479P,6.0,Testis
RNU6-480P,1.0,Brain Putamen basal ganglia
RNU6-481P,8.0,Testis
RNU6-482P,2.0,Nerve Tibial
RNU6-483P,16.0,Nerve Tibial
RNU6-484P,7.0,Artery Aorta
RNU6-485P,63.0,Kidney Cortex
RNU6-486P,2.0,Stomach
RNU6-487P,3.0,Fallopian Tube
RNU6-488P,0.0,Esophagus Muscularis
RNU6-489P,0.0,Esophagus Muscularis
RNU6-490P,3.0,Bladder
RNU6-491P,0.0,Esophagus Muscularis
RNU6-492P,0.0,Esophagus Muscularis
RNU6-493P,2.0,Bladder
RNU6-494P,2.0,Skin Not Sun Exposed Suprapubic
RNU6-495P,13.0,Nerve Tibial
RNU6-496P,0.0,Esophagus Muscularis
RNU6-497P,0.0,Esophagus Muscularis
RNU6-498P,1.0,Nerve Tibial
RNU6-499P,0.0,Esophagus Muscularis
RNU6-500P,1.0,Testis
RNU6-501P,2.0,Brain Putamen basal ganglia
RNU6-502P,2.0,Testis
RNU6-503P,0.0,Esophagus Muscularis
RNU6-504P,8.0,Artery Aorta
RNU6-505P,2.0,Brain Cerebellar Hemisphere
RNU6-506P,2.0,Cervix Endocervix
RNU6-507P,1.0,Skin Not Sun Exposed Suprapubic
RNU6-508P,0.0,Esophagus Muscularis
RNU6-509P,8.0,Ovary
RNU6-510P,43.0,Muscle Skeletal
RNU6-511P,2.0,Lung
RNU6-512P,2.0,Vagina
RNU6-513P,25.0,Ovary
RNU6-514P,1.0,Brain Putamen basal ganglia
RNU6-516P,36.0,Brain Cerebellar Hemisphere
RNU6-517P,2.0,Kidney Cortex
RNU6-518P,3.0,Brain Hippocampus
RNU6-519P,3.0,Brain Cortex
RNU6-520P,2.0,Adipose Subcutaneous
RNU6-521P,0.0,Esophagus Muscularis
RNU6-522P,1.0,Skin Sun Exposed Lower leg
RNU6-523P,2.0,Bladder
RNU6-524P,3.0,Liver
RNU6-525P,2.0,Testis
RNU6-526P,1.0,Testis
RNU6-527P,1.0,Testis
RNU6-528P,2.0,Skin Sun Exposed Lower leg
RNU6-529P,76.0,Brain Putamen basal ganglia
RNU6-530P,2.0,Thyroid
RNU6-531P,10.0,Adipose Subcutaneous
RNU6-532P,0.0,Esophagus Muscularis
RNU6-533P,2.0,Brain Hypothalamus
RNU6-534P,2.0,Pancreas
RNU6-535P,3.0,Brain Hypothalamus
RNU6-536P,2.0,Adipose Subcutaneous
RNU6-537P,4.0,Adipose Subcutaneous
RNU6-538P,1.0,Minor Salivary Gland
RNU6-539P,6.0,Adipose Subcutaneous
RNU6-540P,9.0,Testis
RNU6-541P,5.0,Adipose Subcutaneous
RNU6-542P,4.0,Testis
RNU6-543P,0.0,Esophagus Muscularis
RNU6-544P,0.0,Esophagus Muscularis
RNU6-545P,0.0,Esophagus Muscularis
RNU6-546P,0.0,Esophagus Muscularis
RNU6-547P,2.0,Brain Caudate basal ganglia
RNU6-548P,11.0,Brain Cortex
RNU6-549P,7.0,Artery Aorta
RNU6-550P,3.0,Artery Aorta
RNU6-551P,0.0,Esophagus Muscularis
RNU6-552P,1.0,Skin Sun Exposed Lower leg
RNU6-553P,8.0,Colon Transverse
RNU6-554P,95.0,Brain Cerebellar Hemisphere
RNU6-555P,0.0,Esophagus Muscularis
RNU6-556P,0.0,Esophagus Muscularis
RNU6-557P,0.0,Esophagus Muscularis
RNU6-558P,2.0,Brain Cortex
RNU6-559P,1.0,Heart Left Ventricle
RNU6-560P,0.0,Esophagus Muscularis
RNU6-561P,2.0,Brain Cerebellar Hemisphere
RNU6-562P,6.0,Brain Cortex
RNU6-563P,0.0,Esophagus Muscularis
RNU6-564P,26.0,Brain Cortex
RNU6-565P,1.0,Brain Hippocampus
RNU6-566P,1.0,Adipose Subcutaneous
RNU6-567P,0.0,Esophagus Muscularis
RNU6-570P,4.0,Pancreas
RNU6-571P,1.0,Brain Hypothalamus
RNU6-572P,1.0,Small Intestine Terminal Ileum
RNU6-573P,0.0,Esophagus Muscularis
RNU6-574P,12.0,Lung
RNU6-575P,2.0,Brain Nucleus accumbens basal ganglia
RNU6-576P,1.0,Testis
RNU6-577P,4.0,Testis
RNU6-578P,1.0,Testis
RNU6-579P,1.0,Heart Left Ventricle
RNU6-580P,2.0,Skin Not Sun Exposed Suprapubic
RNU6-581P,2.0,Brain Cerebellar Hemisphere
RNU6-582P,2.0,Pancreas
RNU6-583P,7.0,Cells EBV-transformed lymphocytes
RNU6-584P,27.0,Nerve Tibial
RNU6-586P,0.0,Esophagus Muscularis
RNU6-587P,0.0,Esophagus Muscularis
RNU6-588P,5.0,Nerve Tibial
RNU6-589P,8.0,Brain Cortex
RNU6-590P,0.0,Esophagus Muscularis
RNU6-591P,0.0,Esophagus Muscularis
RNU6-592P,1.0,Minor Salivary Gland
RNU6-593P,19.0,Testis
RNU6-595P,24.0,Testis
RNU6-596P,1.0,Brain Putamen basal ganglia
RNU6-597P,0.0,Esophagus Muscularis
RNU6-598P,2.0,Colon Transverse
RNU6-599P,0.0,Esophagus Muscularis
RNU6-600P,5.0,Brain Nucleus accumbens basal ganglia
RNU6-601P,1.0,Testis
RNU6-602P,1.0,Brain Frontal Cortex BA9
RNU6-603P,6.0,Nerve Tibial
RNU6-604P,3.0,Testis
RNU6-605P,6.0,Brain Cortex
RNU6-606P,6.0,Brain Cerebellar Hemisphere
RNU6-607P,1.0,Esophagus Muscularis
RNU6-608P,2.0,Skin Sun Exposed Lower leg
RNU6-609P,0.0,Esophagus Muscularis
RNU6-610P,142.0,Brain Cerebellar Hemisphere
RNU6-611P,32.0,Testis
RNU6-612P,0.0,Esophagus Muscularis
RNU6-613P,1.0,Skin Sun Exposed Lower leg
RNU6-614P,3.0,Testis
RNU6-615P,1.0,Kidney Cortex
RNU6-616P,4.0,Brain Caudate basal ganglia
RNU6-617P,1.0,Vagina
RNU6-618P,4.0,Artery Aorta
RNU6-619P,3.0,Cells EBV-transformed lymphocytes
RNU6-620P,0.0,Esophagus Muscularis
RNU6-621P,2.0,Testis
RNU6-622P,0.0,Esophagus Muscularis
RNU6-623P,8.0,Lung
RNU6-624P,5.0,Heart Left Ventricle
RNU6-625P,1.0,Artery Coronary
RNU6-626P,1.0,Brain Cerebellum
RNU6-627P,0.0,Esophagus Muscularis
RNU6-628P,2.0,Skin Sun Exposed Lower leg
RNU6-629P,1.0,Lung
RNU6-630P,0.0,Esophagus Muscularis
RNU6-631P,0.0,Esophagus Muscularis
RNU6-632P,0.0,Esophagus Muscularis
RNU6-633P,5.0,Lung
RNU6-634P,1.0,Brain Anterior cingulate cortex BA24
RNU6-635P,1.0,Brain Hippocampus
RNU6-636P,0.0,Esophagus Muscularis
RNU6-637P,1.0,Thyroid
RNU6-638P,13.0,Cells EBV-transformed lymphocytes
RNU6-639P,0.0,Esophagus Muscularis
RNU6-640P,4.0,Testis
RNU6-641P,0.0,Esophagus Muscularis
RNU6-642P,2.0,Vagina
RNU6-643P,0.0,Esophagus Muscularis
RNU6-644P,8.0,Brain Spinal cord cervical c-1
RNU6-645P,2.0,Brain Hippocampus
RNU6-646P,7.0,Testis
RNU6-647P,2.0,Vagina
RNU6-648P,2.0,Testis
RNU6-649P,0.0,Esophagus Muscularis
RNU6-650P,1.0,Thyroid
RNU6-651P,2.0,Brain Cerebellar Hemisphere
RNU6-652P,17.0,Testis
RNU6-653P,4.0,Brain Cortex
RNU6-654P,0.0,Esophagus Muscularis
RNU6-655P,0.0,Esophagus Muscularis
RNU6-656P,1.0,Artery Tibial
RNU6-657P,1.0,Esophagus Gastroesophageal Junction
RNU6-658P,19.0,Testis
RNU6-659P,3.0,Brain Cortex
RNU6-660P,0.0,Esophagus Muscularis
RNU6-661P,3.0,Nerve Tibial
RNU6-662P,2.0,Artery Coronary
